innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,RV Uthappa,L Balaji,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,0.2,RV Uthappa,L Balaji,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,0.3,RV Uthappa,L Balaji,NA,AJ Finch,4,0,4,0,NA,NA,NA
1,0.4,RV Uthappa,L Balaji,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,0.5,RV Uthappa,L Balaji,NA,AJ Finch,2,0,2,0,NA,NA,NA
1,0.6,RV Uthappa,L Balaji,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,1.1,AJ Finch,SMSM Senanayake,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,1.2,RV Uthappa,SMSM Senanayake,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,1.3,AJ Finch,SMSM Senanayake,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,1.4,AJ Finch,SMSM Senanayake,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,1.5,AJ Finch,SMSM Senanayake,NA,RV Uthappa,3,0,3,0,NA,NA,NA
1,1.6,RV Uthappa,SMSM Senanayake,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,2.1,RV Uthappa,L Balaji,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,2.2,RV Uthappa,L Balaji,NA,AJ Finch,6,0,6,0,NA,NA,NA
1,2.3,RV Uthappa,L Balaji,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,2.4,AJ Finch,L Balaji,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,2.5,AJ Finch,L Balaji,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,2.6,RV Uthappa,L Balaji,NA,AJ Finch,6,0,6,0,NA,NA,NA
1,3.1,AJ Finch,SMSM Senanayake,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,3.2,AJ Finch,SMSM Senanayake,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,3.3,RV Uthappa,SMSM Senanayake,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,3.4,AJ Finch,SMSM Senanayake,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,3.5,AJ Finch,SMSM Senanayake,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,3.6,RV Uthappa,SMSM Senanayake,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,4.1,RV Uthappa,SP Narine,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,4.2,RV Uthappa,SP Narine,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,4.3,RV Uthappa,SP Narine,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,4.4,RV Uthappa,SP Narine,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,4.5,RV Uthappa,SP Narine,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,4.6,AJ Finch,SP Narine,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,5.1,RV Uthappa,SMSM Senanayake,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,5.2,AJ Finch,SMSM Senanayake,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,5.3,AJ Finch,SMSM Senanayake,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,5.4,RV Uthappa,SMSM Senanayake,NA,AJ Finch,0,0,0,1,NA,bowled,RV Uthappa
1,5.5,MK Pandey,SMSM Senanayake,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,5.6,MK Pandey,SMSM Senanayake,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,6.1,MK Pandey,JH Kallis,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,6.2,MK Pandey,JH Kallis,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,6.3,AJ Finch,JH Kallis,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,6.4,MK Pandey,JH Kallis,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,6.5,MK Pandey,JH Kallis,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,6.6,MK Pandey,JH Kallis,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,7.1,MK Pandey,R Bhatia,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,7.2,MK Pandey,R Bhatia,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,7.3,AJ Finch,R Bhatia,NA,MK Pandey,2,0,2,0,NA,NA,NA
1,7.4,AJ Finch,R Bhatia,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,7.5,AJ Finch,R Bhatia,NA,MK Pandey,0,0,0,0,NA,NA,NA
