innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,NV Ojha,BJ Hodge,NA,RJ Quiney,6,0,6,0,NA,NA,NA
1,0.2,NV Ojha,BJ Hodge,NA,RJ Quiney,2,0,2,0,NA,NA,NA
1,0.3,NV Ojha,BJ Hodge,NA,RJ Quiney,6,0,6,0,NA,NA,NA
1,0.4,NV Ojha,BJ Hodge,NA,RJ Quiney,1,0,1,0,NA,NA,NA
1,0.5,RJ Quiney,BJ Hodge,NA,NV Ojha,1,0,1,0,NA,NA,NA
1,0.6,NV Ojha,BJ Hodge,NA,RJ Quiney,6,0,6,0,NA,NA,NA
1,1.1,RJ Quiney,CK Langeveldt,NA,NV Ojha,0,0,0,1,SS Shaikh,caught,RJ Quiney
1,1.2,SA Asnodkar,CK Langeveldt,NA,NV Ojha,0,0,0,0,NA,NA,NA
1,1.3,SA Asnodkar,CK Langeveldt,NA,NV Ojha,4,0,4,0,NA,NA,NA
1,1.4,SA Asnodkar,CK Langeveldt,NA,NV Ojha,0,0,0,0,NA,NA,NA
1,1.5,SA Asnodkar,CK Langeveldt,NA,NV Ojha,0,0,0,0,NA,NA,NA
1,1.6,SA Asnodkar,CK Langeveldt,NA,NV Ojha,0,0,0,0,NA,NA,NA
1,2.1,NV Ojha,AB Dinda,NA,SA Asnodkar,0,0,0,0,NA,NA,NA
1,2.2,NV Ojha,AB Dinda,NA,SA Asnodkar,0,0,0,0,NA,NA,NA
1,2.3,NV Ojha,AB Dinda,NA,SA Asnodkar,0,0,0,0,NA,NA,NA
1,2.4,NV Ojha,AB Dinda,1wides,SA Asnodkar,0,1,1,0,NA,NA,NA
1,2.5,NV Ojha,AB Dinda,NA,SA Asnodkar,1,0,1,0,NA,NA,NA
1,2.6,SA Asnodkar,AB Dinda,NA,NV Ojha,0,0,0,1,AB Dinda,run out,SA Asnodkar
1,2.7,Niraj Patel,AB Dinda,NA,NV Ojha,0,0,0,0,NA,NA,NA
1,3.1,NV Ojha,CK Langeveldt,NA,Niraj Patel,0,0,0,0,NA,NA,NA
1,3.2,NV Ojha,CK Langeveldt,NA,Niraj Patel,0,0,0,0,NA,NA,NA
1,3.3,NV Ojha,CK Langeveldt,NA,Niraj Patel,0,0,0,1,SS Shaikh,caught,NV Ojha
1,3.4,J Botha,CK Langeveldt,NA,Niraj Patel,0,0,0,0,NA,NA,NA
1,3.5,J Botha,CK Langeveldt,NA,Niraj Patel,0,0,0,0,NA,NA,NA
