innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,SP Narine,JD Unadkat,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,0.2,SP Narine,JD Unadkat,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,0.3,SP Narine,JD Unadkat,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,0.4,SP Narine,JD Unadkat,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,0.5,SP Narine,JD Unadkat,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,0.6,SP Narine,JD Unadkat,NA,G Gambhir,0,0,0,1,NA,caught and bowled,SP Narine
1,1.1,G Gambhir,BA Stokes,4legbyes,SP Jackson,0,4,4,0,NA,NA,NA
1,1.2,G Gambhir,BA Stokes,NA,SP Jackson,2,0,2,0,NA,NA,NA
1,1.3,G Gambhir,BA Stokes,NA,SP Jackson,0,0,0,0,NA,NA,NA
1,1.4,G Gambhir,BA Stokes,NA,SP Jackson,1,0,1,0,NA,NA,NA
1,1.5,SP Jackson,BA Stokes,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,1.6,SP Jackson,BA Stokes,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,2.1,SP Jackson,JD Unadkat,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,2.2,SP Jackson,JD Unadkat,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,2.3,SP Jackson,JD Unadkat,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,2.4,SP Jackson,JD Unadkat,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,2.5,SP Jackson,JD Unadkat,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,2.6,G Gambhir,JD Unadkat,NA,SP Jackson,1,0,1,0,NA,NA,NA
1,3.1,G Gambhir,Washington Sundar,NA,SP Jackson,0,0,0,0,NA,NA,NA
1,3.2,G Gambhir,Washington Sundar,NA,SP Jackson,0,0,0,0,NA,NA,NA
1,3.3,G Gambhir,Washington Sundar,NA,SP Jackson,0,0,0,0,NA,NA,NA
1,3.4,G Gambhir,Washington Sundar,1legbyes,SP Jackson,0,1,1,0,NA,NA,NA
1,3.5,SP Jackson,Washington Sundar,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,3.6,SP Jackson,Washington Sundar,NA,G Gambhir,0,0,0,1,NA,hit wicket,SP Jackson
1,4.1,G Gambhir,BA Stokes,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,4.2,G Gambhir,BA Stokes,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,4.3,G Gambhir,BA Stokes,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,4.4,G Gambhir,BA Stokes,NA,MK Pandey,4,0,4,0,NA,NA,NA
1,4.5,G Gambhir,BA Stokes,NA,MK Pandey,4,0,4,0,NA,NA,NA
1,4.6,G Gambhir,BA Stokes,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,5.1,MK Pandey,Washington Sundar,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,5.2,G Gambhir,Washington Sundar,NA,MK Pandey,2,0,2,0,NA,NA,NA
1,5.3,G Gambhir,Washington Sundar,NA,MK Pandey,4,0,4,0,NA,NA,NA
1,5.4,G Gambhir,Washington Sundar,NA,MK Pandey,6,0,6,0,NA,NA,NA
1,5.5,G Gambhir,Washington Sundar,NA,MK Pandey,0,0,0,1,AM Rahane,caught,G Gambhir
1,5.6,MK Pandey,Washington Sundar,NA,YK Pathan,1,0,1,0,NA,NA,NA
1,6.1,MK Pandey,SN Thakur,NA,YK Pathan,0,0,0,0,NA,NA,NA
1,6.2,MK Pandey,SN Thakur,NA,YK Pathan,0,0,0,0,NA,NA,NA
1,6.3,MK Pandey,SN Thakur,NA,YK Pathan,1,0,1,0,NA,NA,NA
1,6.4,YK Pathan,SN Thakur,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,6.5,MK Pandey,SN Thakur,NA,YK Pathan,1,0,1,0,NA,NA,NA
1,6.6,YK Pathan,SN Thakur,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,7.1,MK Pandey,Imran Tahir,NA,YK Pathan,0,0,0,0,NA,NA,NA
1,7.2,MK Pandey,Imran Tahir,NA,YK Pathan,1,0,1,0,NA,NA,NA
1,7.3,YK Pathan,Imran Tahir,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,7.4,YK Pathan,Imran Tahir,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,7.5,MK Pandey,Imran Tahir,NA,YK Pathan,6,0,6,0,NA,NA,NA
1,7.6,MK Pandey,Imran Tahir,NA,YK Pathan,0,0,0,0,NA,NA,NA
1,8.1,YK Pathan,SN Thakur,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,8.2,MK Pandey,SN Thakur,NA,YK Pathan,0,0,0,0,NA,NA,NA
1,8.3,MK Pandey,SN Thakur,NA,YK Pathan,1,0,1,0,NA,NA,NA
1,8.4,YK Pathan,SN Thakur,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,8.5,YK Pathan,SN Thakur,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,8.6,YK Pathan,SN Thakur,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,9.1,YK Pathan,Imran Tahir,NA,MK Pandey,0,0,0,1,NA,lbw,YK Pathan
