innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AM Rahane,AD Russell,1legbyes,UT Khawaja,0,1,1,0,NA,NA,NA
1,0.2,UT Khawaja,AD Russell,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,0.3,UT Khawaja,AD Russell,NA,AM Rahane,2,0,2,0,NA,NA,NA
1,0.4,UT Khawaja,AD Russell,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,0.5,AM Rahane,AD Russell,NA,UT Khawaja,0,0,0,0,NA,NA,NA
1,0.6,AM Rahane,AD Russell,NA,UT Khawaja,0,0,0,0,NA,NA,NA
1,1.1,UT Khawaja,M Morkel,1noballs,AM Rahane,0,1,1,0,NA,NA,NA
1,1.2,UT Khawaja,M Morkel,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,1.3,UT Khawaja,M Morkel,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,1.4,AM Rahane,M Morkel,NA,UT Khawaja,1,0,1,0,NA,NA,NA
1,1.5,UT Khawaja,M Morkel,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.6,UT Khawaja,M Morkel,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.7,UT Khawaja,M Morkel,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,2.1,AM Rahane,AD Russell,NA,UT Khawaja,1,0,1,0,NA,NA,NA
1,2.2,UT Khawaja,AD Russell,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,2.3,UT Khawaja,AD Russell,NA,AM Rahane,3,0,3,0,NA,NA,NA
1,2.4,AM Rahane,AD Russell,NA,UT Khawaja,0,0,0,1,NA,bowled,AM Rahane
1,2.5,GJ Bailey,AD Russell,NA,UT Khawaja,0,0,0,0,NA,NA,NA
1,2.6,GJ Bailey,AD Russell,NA,UT Khawaja,0,0,0,0,NA,NA,NA
1,3.1,UT Khawaja,M Morkel,NA,GJ Bailey,4,0,4,0,NA,NA,NA
1,3.2,UT Khawaja,M Morkel,NA,GJ Bailey,0,0,0,0,NA,NA,NA
1,3.3,UT Khawaja,M Morkel,NA,GJ Bailey,0,0,0,0,NA,NA,NA
1,3.4,UT Khawaja,M Morkel,NA,GJ Bailey,1,0,1,0,NA,NA,NA
1,3.5,GJ Bailey,M Morkel,NA,UT Khawaja,0,0,0,0,NA,NA,NA
1,3.6,GJ Bailey,M Morkel,NA,UT Khawaja,0,0,0,0,NA,NA,NA
1,4.1,UT Khawaja,Shakib Al Hasan,NA,GJ Bailey,1,0,1,0,NA,NA,NA
1,4.2,GJ Bailey,Shakib Al Hasan,NA,UT Khawaja,1,0,1,0,NA,NA,NA
1,4.3,UT Khawaja,Shakib Al Hasan,NA,GJ Bailey,0,0,0,1,SA Yadav,caught,UT Khawaja
1,4.4,SS Tiwary,Shakib Al Hasan,NA,GJ Bailey,1,0,1,0,NA,NA,NA
1,4.5,GJ Bailey,Shakib Al Hasan,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,4.6,GJ Bailey,Shakib Al Hasan,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,5.1,SS Tiwary,M Morkel,NA,GJ Bailey,0,0,0,0,NA,NA,NA
1,5.2,SS Tiwary,M Morkel,NA,GJ Bailey,1,0,1,0,NA,NA,NA
1,5.3,GJ Bailey,M Morkel,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,5.4,GJ Bailey,M Morkel,NA,SS Tiwary,4,0,4,0,NA,NA,NA
1,5.5,GJ Bailey,M Morkel,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,5.6,SS Tiwary,M Morkel,NA,GJ Bailey,4,0,4,0,NA,NA,NA
1,6.1,GJ Bailey,Shakib Al Hasan,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,6.2,GJ Bailey,Shakib Al Hasan,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,6.3,SS Tiwary,Shakib Al Hasan,NA,GJ Bailey,1,0,1,0,NA,NA,NA
1,6.4,GJ Bailey,Shakib Al Hasan,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,6.5,SS Tiwary,Shakib Al Hasan,NA,GJ Bailey,1,0,1,0,NA,NA,NA
1,6.6,GJ Bailey,Shakib Al Hasan,NA,SS Tiwary,4,0,4,0,NA,NA,NA
1,7.1,SS Tiwary,AS Rajpoot,NA,GJ Bailey,1,0,1,0,NA,NA,NA
1,7.2,GJ Bailey,AS Rajpoot,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,7.3,GJ Bailey,AS Rajpoot,NA,SS Tiwary,4,0,4,0,NA,NA,NA
1,7.4,GJ Bailey,AS Rajpoot,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,7.5,SS Tiwary,AS Rajpoot,NA,GJ Bailey,1,0,1,0,NA,NA,NA
1,7.6,GJ Bailey,AS Rajpoot,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,8.1,GJ Bailey,Shakib Al Hasan,NA,SS Tiwary,6,0,6,0,NA,NA,NA
1,8.2,GJ Bailey,Shakib Al Hasan,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,8.3,GJ Bailey,Shakib Al Hasan,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,8.4,SS Tiwary,Shakib Al Hasan,NA,GJ Bailey,1,0,1,0,NA,NA,NA
1,8.5,GJ Bailey,Shakib Al Hasan,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,8.6,SS Tiwary,Shakib Al Hasan,NA,GJ Bailey,1,0,1,0,NA,NA,NA
1,9.1,SS Tiwary,AS Rajpoot,NA,GJ Bailey,1,0,1,0,NA,NA,NA
1,9.2,GJ Bailey,AS Rajpoot,NA,SS Tiwary,2,0,2,0,NA,NA,NA
1,9.3,GJ Bailey,AS Rajpoot,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,9.4,SS Tiwary,AS Rajpoot,NA,GJ Bailey,0,0,0,1,RV Uthappa,caught,SS Tiwary
1,9.5,IK Pathan,AS Rajpoot,1wides,GJ Bailey,0,1,1,0,NA,NA,NA
1,9.6,IK Pathan,AS Rajpoot,1legbyes,GJ Bailey,0,1,1,0,NA,NA,NA
1,9.7,GJ Bailey,AS Rajpoot,NA,IK Pathan,1,0,1,0,NA,NA,NA
1,10.1,GJ Bailey,PP Chawla,NA,IK Pathan,3,0,3,0,NA,NA,NA
1,10.2,IK Pathan,PP Chawla,NA,GJ Bailey,1,0,1,0,NA,NA,NA
1,10.3,GJ Bailey,PP Chawla,NA,IK Pathan,0,0,0,1,RV Uthappa,stumped,GJ Bailey
1,10.4,MS Dhoni,PP Chawla,NA,IK Pathan,0,0,0,0,NA,NA,NA
1,10.5,MS Dhoni,PP Chawla,NA,IK Pathan,0,0,0,0,NA,NA,NA
1,10.6,MS Dhoni,PP Chawla,NA,IK Pathan,0,0,0,0,NA,NA,NA
1,11.1,IK Pathan,SP Narine,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,11.2,MS Dhoni,SP Narine,NA,IK Pathan,0,0,0,0,NA,NA,NA
1,11.3,MS Dhoni,SP Narine,NA,IK Pathan,0,0,0,0,NA,NA,NA
1,11.4,MS Dhoni,SP Narine,NA,IK Pathan,1,0,1,0,NA,NA,NA
1,11.5,IK Pathan,SP Narine,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,11.6,IK Pathan,SP Narine,NA,MS Dhoni,2,0,2,0,NA,NA,NA
1,12.1,MS Dhoni,PP Chawla,NA,IK Pathan,1,0,1,0,NA,NA,NA
1,12.2,IK Pathan,PP Chawla,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,12.3,MS Dhoni,PP Chawla,NA,IK Pathan,2,0,2,0,NA,NA,NA
1,12.4,MS Dhoni,PP Chawla,NA,IK Pathan,1,0,1,0,NA,NA,NA
1,12.5,IK Pathan,PP Chawla,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,12.6,MS Dhoni,PP Chawla,NA,IK Pathan,0,0,0,0,NA,NA,NA
1,13.1,IK Pathan,SP Narine,NA,MS Dhoni,1,0,1,0,NA,NA,NA
