innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,CA Pujara,SMSM Senanayake,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,0.2,CA Pujara,SMSM Senanayake,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,0.3,CA Pujara,SMSM Senanayake,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,0.4,CA Pujara,SMSM Senanayake,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,0.5,CH Gayle,SMSM Senanayake,NA,CA Pujara,1,0,1,0,NA,NA,NA
1,0.6,CA Pujara,SMSM Senanayake,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,1.1,CA Pujara,L Balaji,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,1.2,CA Pujara,L Balaji,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,1.3,CA Pujara,L Balaji,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,1.4,CH Gayle,L Balaji,NA,CA Pujara,0,0,0,0,NA,NA,NA
1,1.5,CH Gayle,L Balaji,NA,CA Pujara,1,0,1,0,NA,NA,NA
1,1.6,CA Pujara,L Balaji,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,2.1,CH Gayle,SMSM Senanayake,NA,CA Pujara,0,0,0,0,NA,NA,NA
1,2.2,CH Gayle,SMSM Senanayake,NA,CA Pujara,4,0,4,0,NA,NA,NA
1,2.3,CH Gayle,SMSM Senanayake,NA,CA Pujara,0,0,0,0,NA,NA,NA
1,2.4,CH Gayle,SMSM Senanayake,NA,CA Pujara,0,0,0,0,NA,NA,NA
1,2.5,CH Gayle,SMSM Senanayake,NA,CA Pujara,1,0,1,0,NA,NA,NA
1,2.6,CA Pujara,SMSM Senanayake,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,3.1,CA Pujara,L Balaji,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,3.2,CA Pujara,L Balaji,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,3.3,CA Pujara,L Balaji,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,3.4,CH Gayle,L Balaji,NA,CA Pujara,0,0,0,0,NA,NA,NA
1,3.5,CH Gayle,L Balaji,NA,CA Pujara,0,0,0,0,NA,NA,NA
1,3.6,CH Gayle,L Balaji,1wides,CA Pujara,0,1,1,0,NA,NA,NA
1,3.7,CH Gayle,L Balaji,NA,CA Pujara,1,0,1,0,NA,NA,NA
1,4.1,CH Gayle,SMSM Senanayake,NA,CA Pujara,0,0,0,0,NA,NA,NA
1,4.2,CH Gayle,SMSM Senanayake,NA,CA Pujara,1,0,1,0,NA,NA,NA
1,4.3,CA Pujara,SMSM Senanayake,NA,CH Gayle,0,0,0,1,L Balaji,caught,CA Pujara
1,4.4,CH Gayle,SMSM Senanayake,NA,V Kohli,1,0,1,0,NA,NA,NA
1,4.5,V Kohli,SMSM Senanayake,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,4.6,V Kohli,SMSM Senanayake,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,5.1,CH Gayle,SP Narine,NA,V Kohli,0,0,0,0,NA,NA,NA
1,5.2,CH Gayle,SP Narine,NA,V Kohli,1,0,1,0,NA,NA,NA
1,5.3,V Kohli,SP Narine,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,5.4,V Kohli,SP Narine,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,5.5,V Kohli,SP Narine,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,5.6,V Kohli,SP Narine,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,6.1,V Kohli,JH Kallis,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,6.2,CH Gayle,JH Kallis,NA,V Kohli,0,0,0,0,NA,NA,NA
1,6.3,CH Gayle,JH Kallis,NA,V Kohli,1,0,1,0,NA,NA,NA
1,6.4,V Kohli,JH Kallis,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,6.5,CH Gayle,JH Kallis,NA,V Kohli,1,0,1,0,NA,NA,NA
1,6.6,V Kohli,JH Kallis,NA,CH Gayle,2,0,2,0,NA,NA,NA
1,7.1,CH Gayle,RN ten Doeschate,NA,V Kohli,1,0,1,0,NA,NA,NA
1,7.2,V Kohli,RN ten Doeschate,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,7.3,V Kohli,RN ten Doeschate,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,7.4,CH Gayle,RN ten Doeschate,NA,V Kohli,0,0,0,0,NA,NA,NA
1,7.5,CH Gayle,RN ten Doeschate,NA,V Kohli,6,0,6,0,NA,NA,NA
1,7.6,CH Gayle,RN ten Doeschate,NA,V Kohli,2,0,2,0,NA,NA,NA
1,8.1,V Kohli,JH Kallis,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,8.2,CH Gayle,JH Kallis,NA,V Kohli,1,0,1,0,NA,NA,NA
1,8.3,V Kohli,JH Kallis,NA,CH Gayle,2,0,2,0,NA,NA,NA
1,8.4,V Kohli,JH Kallis,NA,CH Gayle,0,0,0,1,NA,bowled,V Kohli
1,8.5,AB de Villiers,JH Kallis,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,8.6,CH Gayle,JH Kallis,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,9.1,AB de Villiers,YK Pathan,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,9.2,CH Gayle,YK Pathan,1legbyes,AB de Villiers,0,1,1,0,NA,NA,NA
1,9.3,AB de Villiers,YK Pathan,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,9.4,CH Gayle,YK Pathan,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,9.5,AB de Villiers,YK Pathan,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,9.6,CH Gayle,YK Pathan,NA,AB de Villiers,2,0,2,0,NA,NA,NA
1,10.1,AB de Villiers,JH Kallis,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,10.2,AB de Villiers,JH Kallis,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,10.3,AB de Villiers,JH Kallis,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,10.4,CH Gayle,JH Kallis,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,10.5,AB de Villiers,JH Kallis,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,10.6,AB de Villiers,JH Kallis,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,11.1,AB de Villiers,R Bhatia,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,11.2,CH Gayle,R Bhatia,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,11.3,AB de Villiers,R Bhatia,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,11.4,CH Gayle,R Bhatia,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,11.5,AB de Villiers,R Bhatia,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,11.6,CH Gayle,R Bhatia,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,12.1,CH Gayle,SMSM Senanayake,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,12.2,AB de Villiers,SMSM Senanayake,NA,CH Gayle,1,0,1,0,NA,NA,NA
