innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,SP Narine,B Kumar,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,0.2,G Gambhir,B Kumar,NA,SP Narine,1,0,1,0,NA,NA,NA
1,0.3,SP Narine,B Kumar,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,0.4,SP Narine,B Kumar,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,0.5,SP Narine,B Kumar,1legbyes,G Gambhir,0,1,1,0,NA,NA,NA
1,0.6,G Gambhir,B Kumar,NA,SP Narine,0,0,0,0,NA,NA,NA
1,1.1,SP Narine,A Nehra,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,1.2,SP Narine,A Nehra,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,1.3,SP Narine,A Nehra,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,1.4,SP Narine,A Nehra,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,1.5,G Gambhir,A Nehra,NA,SP Narine,0,0,0,0,NA,NA,NA
1,1.6,G Gambhir,A Nehra,NA,SP Narine,1,0,1,0,NA,NA,NA
1,2.1,G Gambhir,B Kumar,NA,SP Narine,1,0,1,0,NA,NA,NA
1,2.2,SP Narine,B Kumar,NA,G Gambhir,0,0,0,1,NA,bowled,SP Narine
1,2.3,RV Uthappa,B Kumar,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,2.4,RV Uthappa,B Kumar,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,2.5,RV Uthappa,B Kumar,NA,G Gambhir,3,0,3,0,NA,NA,NA
1,2.6,G Gambhir,B Kumar,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,3.1,G Gambhir,A Nehra,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,3.2,G Gambhir,A Nehra,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,3.3,G Gambhir,A Nehra,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,3.4,G Gambhir,A Nehra,1wides,RV Uthappa,0,1,1,0,NA,NA,NA
1,3.5,G Gambhir,A Nehra,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,3.6,G Gambhir,A Nehra,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,3.7,G Gambhir,A Nehra,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,4.1,G Gambhir,BCJ Cutting,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,4.2,RV Uthappa,BCJ Cutting,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,4.3,RV Uthappa,BCJ Cutting,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,4.4,G Gambhir,BCJ Cutting,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,4.5,G Gambhir,BCJ Cutting,1wides,RV Uthappa,0,1,1,0,NA,NA,NA
1,4.6,G Gambhir,BCJ Cutting,NA,RV Uthappa,1,0,1,0,NA,NA,NA
