innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,PA Patel,R McLaren,NA,ML Hayden,1,0,1,0,NA,NA,NA
1,0.2,ML Hayden,R McLaren,1wides,PA Patel,0,1,1,0,NA,NA,NA
1,0.3,ML Hayden,R McLaren,NA,PA Patel,1,0,1,0,NA,NA,NA
1,0.4,PA Patel,R McLaren,NA,ML Hayden,0,0,0,0,NA,NA,NA
1,0.5,PA Patel,R McLaren,NA,ML Hayden,0,0,0,0,NA,NA,NA
1,0.6,PA Patel,R McLaren,NA,ML Hayden,2,0,2,0,NA,NA,NA
1,0.7,PA Patel,R McLaren,NA,ML Hayden,0,0,0,0,NA,NA,NA
1,1.1,ML Hayden,Z Khan,1wides,PA Patel,0,1,1,0,NA,NA,NA
1,1.2,ML Hayden,Z Khan,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.3,ML Hayden,Z Khan,NA,PA Patel,4,0,4,0,NA,NA,NA
1,1.4,ML Hayden,Z Khan,NA,PA Patel,4,0,4,0,NA,NA,NA
1,1.5,ML Hayden,Z Khan,NA,PA Patel,4,0,4,0,NA,NA,NA
1,1.6,ML Hayden,Z Khan,NA,PA Patel,4,0,4,0,NA,NA,NA
1,1.7,ML Hayden,Z Khan,NA,PA Patel,0,0,0,0,NA,NA,NA
1,2.1,PA Patel,R McLaren,NA,ML Hayden,0,0,0,0,NA,NA,NA
1,2.2,PA Patel,R McLaren,1legbyes,ML Hayden,0,1,1,0,NA,NA,NA
1,2.3,ML Hayden,R McLaren,NA,PA Patel,2,0,2,0,NA,NA,NA
1,2.4,ML Hayden,R McLaren,NA,PA Patel,0,0,0,0,NA,NA,NA
1,2.5,ML Hayden,R McLaren,NA,PA Patel,1,0,1,0,NA,NA,NA
1,2.6,PA Patel,R McLaren,1wides,ML Hayden,0,1,1,0,NA,NA,NA
1,2.7,PA Patel,R McLaren,NA,ML Hayden,4,0,4,0,NA,NA,NA
1,3.1,ML Hayden,Harbhajan Singh,1wides,PA Patel,0,1,1,0,NA,NA,NA
1,3.2,ML Hayden,Harbhajan Singh,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.3,ML Hayden,Harbhajan Singh,NA,PA Patel,0,0,0,1,NA,lbw,ML Hayden
1,3.4,SK Raina,Harbhajan Singh,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.5,SK Raina,Harbhajan Singh,NA,PA Patel,2,0,2,0,NA,NA,NA
1,3.6,SK Raina,Harbhajan Singh,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.7,SK Raina,Harbhajan Singh,NA,PA Patel,2,0,2,0,NA,NA,NA
1,4.1,PA Patel,R McLaren,NA,SK Raina,0,0,0,0,NA,NA,NA
1,4.2,PA Patel,R McLaren,NA,SK Raina,0,0,0,0,NA,NA,NA
1,4.3,PA Patel,R McLaren,NA,SK Raina,1,0,1,0,NA,NA,NA
1,4.4,SK Raina,R McLaren,NA,PA Patel,0,0,0,0,NA,NA,NA
1,4.5,SK Raina,R McLaren,NA,PA Patel,1,0,1,0,NA,NA,NA
1,4.6,PA Patel,R McLaren,NA,SK Raina,0,0,0,1,NA,bowled,PA Patel
1,5.1,SK Raina,DJ Bravo,NA,S Badrinath,6,0,6,0,NA,NA,NA
1,5.2,SK Raina,DJ Bravo,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,5.3,SK Raina,DJ Bravo,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,5.4,S Badrinath,DJ Bravo,NA,SK Raina,1,0,1,0,NA,NA,NA
1,5.5,SK Raina,DJ Bravo,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,5.6,SK Raina,DJ Bravo,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,6.1,SK Raina,Harbhajan Singh,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,6.2,S Badrinath,Harbhajan Singh,NA,SK Raina,1,0,1,0,NA,NA,NA
1,6.3,SK Raina,Harbhajan Singh,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,6.4,S Badrinath,Harbhajan Singh,NA,SK Raina,1,0,1,0,NA,NA,NA
1,6.5,SK Raina,Harbhajan Singh,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,6.6,SK Raina,Harbhajan Singh,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,7.1,S Badrinath,DJ Bravo,NA,SK Raina,0,0,0,0,NA,NA,NA
1,7.2,S Badrinath,DJ Bravo,NA,SK Raina,0,0,0,0,NA,NA,NA
1,7.3,S Badrinath,DJ Bravo,NA,SK Raina,0,0,0,0,NA,NA,NA
1,7.4,S Badrinath,DJ Bravo,1legbyes,SK Raina,0,1,1,0,NA,NA,NA
1,7.5,SK Raina,DJ Bravo,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,7.6,SK Raina,DJ Bravo,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,8.1,SK Raina,Harbhajan Singh,NA,S Badrinath,2,0,2,0,NA,NA,NA
1,8.2,SK Raina,Harbhajan Singh,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,8.3,SK Raina,Harbhajan Singh,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,8.4,S Badrinath,Harbhajan Singh,NA,SK Raina,1,0,1,0,NA,NA,NA
1,8.5,SK Raina,Harbhajan Singh,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,8.6,S Badrinath,Harbhajan Singh,NA,SK Raina,1,0,1,0,NA,NA,NA
1,9.1,S Badrinath,DJ Bravo,NA,SK Raina,1,0,1,0,NA,NA,NA
1,9.2,SK Raina,DJ Bravo,NA,S Badrinath,6,0,6,0,NA,NA,NA
1,9.3,SK Raina,DJ Bravo,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,9.4,SK Raina,DJ Bravo,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,9.5,S Badrinath,DJ Bravo,NA,SK Raina,1,0,1,0,NA,NA,NA
1,9.6,SK Raina,DJ Bravo,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,10.1,SK Raina,SL Malinga,NA,S Badrinath,2,0,2,0,NA,NA,NA
1,10.2,SK Raina,SL Malinga,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,10.3,S Badrinath,SL Malinga,NA,SK Raina,0,0,0,0,NA,NA,NA
1,10.4,S Badrinath,SL Malinga,NA,SK Raina,4,0,4,0,NA,NA,NA
1,10.5,S Badrinath,SL Malinga,1wides,SK Raina,0,1,1,0,NA,NA,NA
1,10.6,S Badrinath,SL Malinga,NA,SK Raina,1,0,1,0,NA,NA,NA
1,10.7,SK Raina,SL Malinga,1legbyes,S Badrinath,0,1,1,0,NA,NA,NA
1,11.1,SK Raina,Z Khan,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,11.2,S Badrinath,Z Khan,NA,SK Raina,0,0,0,0,NA,NA,NA
1,11.3,S Badrinath,Z Khan,NA,SK Raina,2,0,2,0,NA,NA,NA
1,11.4,S Badrinath,Z Khan,NA,SK Raina,1,0,1,0,NA,NA,NA
1,11.5,SK Raina,Z Khan,1noballs,S Badrinath,0,1,1,0,NA,NA,NA
1,11.6,SK Raina,Z Khan,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,11.7,S Badrinath,Z Khan,NA,SK Raina,0,0,0,0,NA,NA,NA
1,12.1,SK Raina,SL Malinga,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,12.2,S Badrinath,SL Malinga,NA,SK Raina,4,0,4,0,NA,NA,NA
1,12.3,S Badrinath,SL Malinga,NA,SK Raina,0,0,0,0,NA,NA,NA
1,12.4,S Badrinath,SL Malinga,1wides,SK Raina,0,1,1,0,NA,NA,NA
1,12.5,S Badrinath,SL Malinga,NA,SK Raina,1,0,1,0,NA,NA,NA
1,12.6,SK Raina,SL Malinga,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,12.7,SK Raina,SL Malinga,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,13.1,S Badrinath,R McLaren,NA,SK Raina,4,0,4,0,NA,NA,NA
1,13.2,S Badrinath,R McLaren,NA,SK Raina,1,0,1,0,NA,NA,NA
1,13.3,SK Raina,R McLaren,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,13.4,S Badrinath,R McLaren,NA,SK Raina,0,0,0,0,NA,NA,NA
1,13.5,S Badrinath,R McLaren,1wides,SK Raina,0,1,1,0,NA,NA,NA
1,13.6,S Badrinath,R McLaren,NA,SK Raina,0,0,0,0,NA,NA,NA
1,13.7,S Badrinath,R McLaren,NA,SK Raina,1,0,1,0,NA,NA,NA
1,14.1,S Badrinath,Harbhajan Singh,NA,SK Raina,2,0,2,0,NA,NA,NA
1,14.2,S Badrinath,Harbhajan Singh,NA,SK Raina,1,0,1,0,NA,NA,NA
1,14.3,SK Raina,Harbhajan Singh,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,14.4,S Badrinath,Harbhajan Singh,NA,SK Raina,0,0,0,0,NA,NA,NA
1,14.5,S Badrinath,Harbhajan Singh,NA,SK Raina,1,0,1,0,NA,NA,NA
1,14.6,SK Raina,Harbhajan Singh,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,15.1,SK Raina,Z Khan,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,15.2,S Badrinath,Z Khan,NA,SK Raina,1,0,1,0,NA,NA,NA
1,15.3,SK Raina,Z Khan,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,15.4,S Badrinath,Z Khan,NA,SK Raina,2,0,2,0,NA,NA,NA
1,15.5,S Badrinath,Z Khan,NA,SK Raina,1,0,1,0,NA,NA,NA
1,15.6,SK Raina,Z Khan,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,16.1,S Badrinath,SL Malinga,1legbyes,SK Raina,0,1,1,0,NA,NA,NA
1,16.2,SK Raina,SL Malinga,NA,S Badrinath,0,0,0,0,NA,NA,NA
1,16.3,SK Raina,SL Malinga,NA,S Badrinath,6,0,6,0,NA,NA,NA
1,16.4,SK Raina,SL Malinga,NA,S Badrinath,2,0,2,0,NA,NA,NA
