innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,MJ Lumb,SL Malinga,NA,S Sohal,0,0,0,0,NA,NA,NA
1,0.2,MJ Lumb,SL Malinga,NA,S Sohal,0,0,0,1,NA,bowled,MJ Lumb
1,0.3,KC Sangakkara,SL Malinga,NA,S Sohal,0,0,0,0,NA,NA,NA
1,0.4,KC Sangakkara,SL Malinga,NA,S Sohal,1,0,1,0,NA,NA,NA
1,0.5,S Sohal,SL Malinga,NA,KC Sangakkara,0,0,0,0,NA,NA,NA
1,0.6,S Sohal,SL Malinga,NA,KC Sangakkara,0,0,0,0,NA,NA,NA
1,1.1,KC Sangakkara,MM Patel,NA,S Sohal,0,0,0,0,NA,NA,NA
1,1.2,KC Sangakkara,MM Patel,NA,S Sohal,0,0,0,0,NA,NA,NA
1,1.3,KC Sangakkara,MM Patel,NA,S Sohal,0,0,0,0,NA,NA,NA
1,1.4,KC Sangakkara,MM Patel,NA,S Sohal,0,0,0,0,NA,NA,NA
1,1.5,KC Sangakkara,MM Patel,NA,S Sohal,1,0,1,0,NA,NA,NA
1,1.6,S Sohal,MM Patel,NA,KC Sangakkara,0,0,0,0,NA,NA,NA
1,2.1,KC Sangakkara,Harbhajan Singh,NA,S Sohal,0,0,0,0,NA,NA,NA
1,2.2,KC Sangakkara,Harbhajan Singh,NA,S Sohal,0,0,0,0,NA,NA,NA
1,2.3,KC Sangakkara,Harbhajan Singh,NA,S Sohal,1,0,1,0,NA,NA,NA
1,2.4,S Sohal,Harbhajan Singh,NA,KC Sangakkara,0,0,0,0,NA,NA,NA
1,2.5,S Sohal,Harbhajan Singh,NA,KC Sangakkara,1,0,1,0,NA,NA,NA
1,2.6,KC Sangakkara,Harbhajan Singh,NA,S Sohal,1,0,1,0,NA,NA,NA
1,3.1,KC Sangakkara,MM Patel,NA,S Sohal,1,0,1,0,NA,NA,NA
1,3.2,S Sohal,MM Patel,NA,KC Sangakkara,6,0,6,0,NA,NA,NA
1,3.3,S Sohal,MM Patel,NA,KC Sangakkara,0,0,0,0,NA,NA,NA
1,3.4,S Sohal,MM Patel,NA,KC Sangakkara,0,0,0,0,NA,NA,NA
1,3.5,S Sohal,MM Patel,1legbyes,KC Sangakkara,0,1,1,0,NA,NA,NA
1,3.6,KC Sangakkara,MM Patel,NA,S Sohal,1,0,1,0,NA,NA,NA
1,4.1,KC Sangakkara,Harbhajan Singh,NA,S Sohal,6,0,6,0,NA,NA,NA
1,4.2,KC Sangakkara,Harbhajan Singh,NA,S Sohal,1,0,1,0,NA,NA,NA
1,4.3,S Sohal,Harbhajan Singh,NA,KC Sangakkara,1,0,1,0,NA,NA,NA
1,4.4,KC Sangakkara,Harbhajan Singh,NA,S Sohal,0,0,0,0,NA,NA,NA
1,4.5,KC Sangakkara,Harbhajan Singh,NA,S Sohal,1,0,1,0,NA,NA,NA
1,4.6,S Sohal,Harbhajan Singh,NA,KC Sangakkara,0,0,0,0,NA,NA,NA
1,5.1,KC Sangakkara,DS Kulkarni,NA,S Sohal,1,0,1,0,NA,NA,NA
1,5.2,S Sohal,DS Kulkarni,NA,KC Sangakkara,1,0,1,0,NA,NA,NA
1,5.3,KC Sangakkara,DS Kulkarni,NA,S Sohal,4,0,4,0,NA,NA,NA
1,5.4,KC Sangakkara,DS Kulkarni,NA,S Sohal,2,0,2,0,NA,NA,NA
1,5.5,KC Sangakkara,DS Kulkarni,NA,S Sohal,0,0,0,0,NA,NA,NA
1,5.6,KC Sangakkara,DS Kulkarni,NA,S Sohal,1,0,1,0,NA,NA,NA
1,6.1,KC Sangakkara,TL Suman,NA,S Sohal,0,0,0,0,NA,NA,NA
1,6.2,KC Sangakkara,TL Suman,NA,S Sohal,1,0,1,0,NA,NA,NA
