innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,RT Ponting,IK Pathan,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,0.2,RT Ponting,IK Pathan,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,0.3,RT Ponting,IK Pathan,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,0.4,RT Ponting,IK Pathan,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,0.5,RT Ponting,IK Pathan,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,0.6,RT Ponting,IK Pathan,NA,SR Tendulkar,0,0,0,1,DPMD Jayawardene,caught,RT Ponting
1,1.1,SR Tendulkar,A Nehra,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,1.2,KD Karthik,A Nehra,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,1.3,KD Karthik,A Nehra,NA,SR Tendulkar,0,0,0,1,DPMD Jayawardene,run out,SR Tendulkar
1,1.4,KD Karthik,A Nehra,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,1.5,KD Karthik,A Nehra,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,1.6,KD Karthik,A Nehra,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,2.1,KD Karthik,M Morkel,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,2.2,KD Karthik,M Morkel,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,2.3,KD Karthik,M Morkel,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,2.4,KD Karthik,M Morkel,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,2.5,KD Karthik,M Morkel,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,2.6,KD Karthik,M Morkel,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,3.1,RG Sharma,IK Pathan,1legbyes,KD Karthik,0,1,1,0,NA,NA,NA
1,3.2,KD Karthik,IK Pathan,NA,RG Sharma,2,0,2,0,NA,NA,NA
1,3.3,KD Karthik,IK Pathan,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,3.4,RG Sharma,IK Pathan,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,3.5,RG Sharma,IK Pathan,1legbyes,KD Karthik,0,1,1,0,NA,NA,NA
1,3.6,KD Karthik,IK Pathan,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,4.1,KD Karthik,UT Yadav,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,4.2,RG Sharma,UT Yadav,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,4.3,RG Sharma,UT Yadav,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,4.4,RG Sharma,UT Yadav,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,4.5,RG Sharma,UT Yadav,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,4.6,RG Sharma,UT Yadav,1wides,KD Karthik,0,1,1,0,NA,NA,NA
1,4.7,RG Sharma,UT Yadav,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,5.1,KD Karthik,A Nehra,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,5.2,KD Karthik,A Nehra,NA,RG Sharma,6,0,6,0,NA,NA,NA
1,5.3,KD Karthik,A Nehra,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,5.4,KD Karthik,A Nehra,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,5.5,RG Sharma,A Nehra,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,5.6,KD Karthik,A Nehra,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,6.1,RG Sharma,M Morkel,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,6.2,RG Sharma,M Morkel,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,6.3,KD Karthik,M Morkel,3legbyes,RG Sharma,0,3,3,0,NA,NA,NA
1,6.4,RG Sharma,M Morkel,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,6.5,KD Karthik,M Morkel,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,6.6,KD Karthik,M Morkel,1noballs,RG Sharma,1,1,2,0,NA,NA,NA
1,6.7,RG Sharma,M Morkel,NA,KD Karthik,6,0,6,0,NA,NA,NA
1,7.1,KD Karthik,S Nadeem,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,7.2,KD Karthik,S Nadeem,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,7.3,RG Sharma,S Nadeem,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,7.4,KD Karthik,S Nadeem,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,7.5,RG Sharma,S Nadeem,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,7.6,RG Sharma,S Nadeem,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,8.1,RG Sharma,UT Yadav,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,8.2,KD Karthik,UT Yadav,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,8.3,KD Karthik,UT Yadav,1wides,RG Sharma,0,1,1,0,NA,NA,NA
1,8.4,KD Karthik,UT Yadav,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,8.5,KD Karthik,UT Yadav,NA,RG Sharma,2,0,2,0,NA,NA,NA
1,8.6,KD Karthik,UT Yadav,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,8.7,KD Karthik,UT Yadav,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,9.1,RG Sharma,S Nadeem,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,9.2,KD Karthik,S Nadeem,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,9.3,RG Sharma,S Nadeem,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,9.4,KD Karthik,S Nadeem,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,9.5,KD Karthik,S Nadeem,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,9.6,RG Sharma,S Nadeem,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,10.1,RG Sharma,BMAJ Mendis,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,10.2,KD Karthik,BMAJ Mendis,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,10.3,RG Sharma,BMAJ Mendis,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,10.4,RG Sharma,BMAJ Mendis,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,10.5,RG Sharma,BMAJ Mendis,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,10.6,KD Karthik,BMAJ Mendis,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,11.1,RG Sharma,S Nadeem,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,11.2,KD Karthik,S Nadeem,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,11.3,KD Karthik,S Nadeem,NA,RG Sharma,6,0,6,0,NA,NA,NA
1,11.4,KD Karthik,S Nadeem,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,11.5,RG Sharma,S Nadeem,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,11.6,KD Karthik,S Nadeem,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,12.1,RG Sharma,BMAJ Mendis,NA,KD Karthik,6,0,6,0,NA,NA,NA
1,12.2,RG Sharma,BMAJ Mendis,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,12.3,KD Karthik,BMAJ Mendis,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,12.4,KD Karthik,BMAJ Mendis,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,12.5,RG Sharma,BMAJ Mendis,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,12.6,KD Karthik,BMAJ Mendis,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,13.1,RG Sharma,IK Pathan,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,13.2,KD Karthik,IK Pathan,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,13.3,KD Karthik,IK Pathan,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,13.4,RG Sharma,IK Pathan,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,13.5,KD Karthik,IK Pathan,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,13.6,KD Karthik,IK Pathan,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,14.1,RG Sharma,M Morkel,NA,KD Karthik,4,0,4,0,NA,NA,NA
1,14.2,RG Sharma,M Morkel,NA,KD Karthik,4,0,4,0,NA,NA,NA
1,14.3,RG Sharma,M Morkel,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,14.4,KD Karthik,M Morkel,NA,RG Sharma,0,0,0,1,BMAJ Mendis,caught,KD Karthik
1,14.5,KA Pollard,M Morkel,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,14.6,RG Sharma,M Morkel,NA,KA Pollard,4,0,4,0,NA,NA,NA
1,15.1,KA Pollard,UT Yadav,1legbyes,RG Sharma,0,1,1,0,NA,NA,NA
1,15.2,RG Sharma,UT Yadav,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,15.3,RG Sharma,UT Yadav,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,15.4,KA Pollard,UT Yadav,1wides,RG Sharma,0,1,1,0,NA,NA,NA
1,15.5,KA Pollard,UT Yadav,NA,RG Sharma,6,0,6,0,NA,NA,NA
1,15.6,KA Pollard,UT Yadav,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,15.7,RG Sharma,UT Yadav,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,16.1,RG Sharma,M Morkel,NA,KA Pollard,4,0,4,0,NA,NA,NA
1,16.2,RG Sharma,M Morkel,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,16.3,RG Sharma,M Morkel,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,16.4,KA Pollard,M Morkel,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,16.5,KA Pollard,M Morkel,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,16.6,RG Sharma,M Morkel,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,17.1,RG Sharma,A Nehra,NA,KA Pollard,2,0,2,0,NA,NA,NA
1,17.2,RG Sharma,A Nehra,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,17.3,KA Pollard,A Nehra,NA,RG Sharma,0,0,0,1,S Nadeem,caught,KA Pollard
