innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,DR Smith,MJ McClenaghan,1wides,BB McCullum,0,1,1,0,NA,NA,NA
1,0.2,DR Smith,MJ McClenaghan,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,0.3,DR Smith,MJ McClenaghan,NA,BB McCullum,0,0,0,1,N Rana,caught,DR Smith
1,0.4,SK Raina,MJ McClenaghan,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,0.5,BB McCullum,MJ McClenaghan,NA,SK Raina,0,0,0,0,NA,NA,NA
1,0.6,BB McCullum,MJ McClenaghan,NA,SK Raina,0,0,0,0,NA,NA,NA
1,0.7,BB McCullum,MJ McClenaghan,NA,SK Raina,1,0,1,0,NA,NA,NA
1,1.1,BB McCullum,SL Malinga,NA,SK Raina,0,0,0,0,NA,NA,NA
1,1.2,BB McCullum,SL Malinga,NA,SK Raina,1,0,1,0,NA,NA,NA
1,1.3,SK Raina,SL Malinga,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.4,SK Raina,SL Malinga,1noballs,BB McCullum,4,1,5,0,NA,NA,NA
1,1.5,SK Raina,SL Malinga,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,1.6,SK Raina,SL Malinga,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,1.7,BB McCullum,SL Malinga,NA,SK Raina,1,0,1,0,NA,NA,NA
1,2.1,BB McCullum,MJ McClenaghan,NA,SK Raina,4,0,4,0,NA,NA,NA
1,2.2,BB McCullum,MJ McClenaghan,NA,SK Raina,1,0,1,0,NA,NA,NA
1,2.3,SK Raina,MJ McClenaghan,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,2.4,BB McCullum,MJ McClenaghan,NA,SK Raina,0,0,0,0,NA,NA,NA
1,2.5,BB McCullum,MJ McClenaghan,NA,SK Raina,0,0,0,0,NA,NA,NA
1,2.6,BB McCullum,MJ McClenaghan,NA,SK Raina,0,0,0,0,NA,NA,NA
1,3.1,SK Raina,Harbhajan Singh,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,3.2,SK Raina,Harbhajan Singh,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,3.3,SK Raina,Harbhajan Singh,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,3.4,BB McCullum,Harbhajan Singh,NA,SK Raina,0,0,0,0,NA,NA,NA
1,3.5,BB McCullum,Harbhajan Singh,NA,SK Raina,1,0,1,0,NA,NA,NA
1,3.6,SK Raina,Harbhajan Singh,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,4.1,SK Raina,JJ Bumrah,NA,BB McCullum,0,0,0,0,NA,NA,NA
