innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,DR Smith,P Kumar,NA,SR Tendulkar,1,0,1,0,NA,NA,NA
1,0.2,SR Tendulkar,P Kumar,NA,DR Smith,0,0,0,0,NA,NA,NA
1,0.3,SR Tendulkar,P Kumar,NA,DR Smith,0,0,0,0,NA,NA,NA
1,0.4,SR Tendulkar,P Kumar,NA,DR Smith,1,0,1,0,NA,NA,NA
1,0.5,DR Smith,P Kumar,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,0.6,DR Smith,P Kumar,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,1.1,SR Tendulkar,Azhar Mahmood,NA,DR Smith,0,0,0,0,NA,NA,NA
1,1.2,SR Tendulkar,Azhar Mahmood,NA,DR Smith,4,0,4,0,NA,NA,NA
1,1.3,SR Tendulkar,Azhar Mahmood,NA,DR Smith,0,0,0,0,NA,NA,NA
1,1.4,SR Tendulkar,Azhar Mahmood,NA,DR Smith,4,0,4,0,NA,NA,NA
1,1.5,SR Tendulkar,Azhar Mahmood,NA,DR Smith,0,0,0,0,NA,NA,NA
1,1.6,SR Tendulkar,Azhar Mahmood,NA,DR Smith,0,0,0,0,NA,NA,NA
1,2.1,DR Smith,P Kumar,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,2.2,DR Smith,P Kumar,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,2.3,DR Smith,P Kumar,NA,SR Tendulkar,1,0,1,0,NA,NA,NA
1,2.4,SR Tendulkar,P Kumar,NA,DR Smith,0,0,0,1,NA,bowled,SR Tendulkar
1,2.5,KD Karthik,P Kumar,1wides,DR Smith,0,1,1,0,NA,NA,NA
1,2.6,KD Karthik,P Kumar,NA,DR Smith,0,0,0,0,NA,NA,NA
1,2.7,KD Karthik,P Kumar,NA,DR Smith,1,0,1,0,NA,NA,NA
1,3.1,KD Karthik,Azhar Mahmood,NA,DR Smith,0,0,0,0,NA,NA,NA
1,3.2,KD Karthik,Azhar Mahmood,NA,DR Smith,1,0,1,0,NA,NA,NA
1,3.3,DR Smith,Azhar Mahmood,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,3.4,DR Smith,Azhar Mahmood,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,3.5,KD Karthik,Azhar Mahmood,NA,DR Smith,0,0,0,0,NA,NA,NA
1,3.6,KD Karthik,Azhar Mahmood,NA,DR Smith,1,0,1,0,NA,NA,NA
1,4.1,KD Karthik,P Kumar,NA,DR Smith,0,0,0,0,NA,NA,NA
1,4.2,KD Karthik,P Kumar,NA,DR Smith,4,0,4,0,NA,NA,NA
1,4.3,KD Karthik,P Kumar,NA,DR Smith,6,0,6,0,NA,NA,NA
1,4.4,KD Karthik,P Kumar,1legbyes,DR Smith,0,1,1,0,NA,NA,NA
1,4.5,DR Smith,P Kumar,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,4.6,DR Smith,P Kumar,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,5.1,DR Smith,Azhar Mahmood,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,5.2,DR Smith,Azhar Mahmood,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,5.3,DR Smith,Azhar Mahmood,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,5.4,KD Karthik,Azhar Mahmood,NA,DR Smith,5,0,5,0,NA,NA,NA
1,5.5,DR Smith,Azhar Mahmood,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,5.6,KD Karthik,Azhar Mahmood,NA,DR Smith,1,0,1,0,NA,NA,NA
1,6.1,KD Karthik,P Awana,NA,DR Smith,1,0,1,0,NA,NA,NA
1,6.2,DR Smith,P Awana,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,6.3,KD Karthik,P Awana,NA,DR Smith,0,0,0,0,NA,NA,NA
1,6.4,KD Karthik,P Awana,NA,DR Smith,1,0,1,0,NA,NA,NA
1,6.5,DR Smith,P Awana,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,6.6,DR Smith,P Awana,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,7.1,KD Karthik,MS Gony,NA,DR Smith,0,0,0,0,NA,NA,NA
1,7.2,KD Karthik,MS Gony,NA,DR Smith,0,0,0,0,NA,NA,NA
1,7.3,KD Karthik,MS Gony,NA,DR Smith,4,0,4,0,NA,NA,NA
1,7.4,KD Karthik,MS Gony,NA,DR Smith,0,0,0,1,NA,bowled,KD Karthik
1,7.5,RG Sharma,MS Gony,NA,DR Smith,1,0,1,0,NA,NA,NA
1,7.6,DR Smith,MS Gony,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,8.1,RG Sharma,P Awana,NA,DR Smith,0,0,0,0,NA,NA,NA
1,8.2,RG Sharma,P Awana,NA,DR Smith,1,0,1,0,NA,NA,NA
1,8.3,DR Smith,P Awana,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,8.4,DR Smith,P Awana,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,8.5,RG Sharma,P Awana,NA,DR Smith,2,0,2,0,NA,NA,NA
1,8.6,RG Sharma,P Awana,NA,DR Smith,0,0,0,0,NA,NA,NA
1,9.1,DR Smith,PP Chawla,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,9.2,DR Smith,PP Chawla,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,9.3,RG Sharma,PP Chawla,NA,DR Smith,1,0,1,0,NA,NA,NA
1,9.4,DR Smith,PP Chawla,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,9.5,RG Sharma,PP Chawla,NA,DR Smith,0,0,0,0,NA,NA,NA
1,9.6,RG Sharma,PP Chawla,NA,DR Smith,4,0,4,0,NA,NA,NA
1,10.1,DR Smith,P Awana,1wides,RG Sharma,0,1,1,0,NA,NA,NA
1,10.2,DR Smith,P Awana,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,10.3,RG Sharma,P Awana,NA,DR Smith,1,0,1,0,NA,NA,NA
1,10.4,DR Smith,P Awana,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,10.5,RG Sharma,P Awana,NA,DR Smith,0,0,0,0,NA,NA,NA
1,10.6,RG Sharma,P Awana,NA,DR Smith,1,0,1,0,NA,NA,NA
1,10.7,DR Smith,P Awana,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,11.1,DR Smith,MS Gony,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,11.2,DR Smith,MS Gony,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,11.3,DR Smith,MS Gony,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,11.4,RG Sharma,MS Gony,NA,DR Smith,4,0,4,0,NA,NA,NA
1,11.5,RG Sharma,MS Gony,NA,DR Smith,1,0,1,0,NA,NA,NA
1,11.6,DR Smith,MS Gony,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,12.1,DR Smith,PP Chawla,NA,RG Sharma,6,0,6,0,NA,NA,NA
1,12.2,DR Smith,PP Chawla,NA,RG Sharma,0,0,0,1,DA Miller,caught,DR Smith
1,12.3,RG Sharma,PP Chawla,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,12.4,KA Pollard,PP Chawla,NA,RG Sharma,6,0,6,0,NA,NA,NA
1,12.5,KA Pollard,PP Chawla,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,12.6,KA Pollard,PP Chawla,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,13.1,RG Sharma,DJ Hussey,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,13.2,KA Pollard,DJ Hussey,NA,RG Sharma,2,0,2,0,NA,NA,NA
1,13.3,KA Pollard,DJ Hussey,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,13.4,KA Pollard,DJ Hussey,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,13.5,RG Sharma,DJ Hussey,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,13.6,RG Sharma,DJ Hussey,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,14.1,RG Sharma,P Awana,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,14.2,KA Pollard,P Awana,1legbyes,RG Sharma,0,1,1,0,NA,NA,NA
1,14.3,RG Sharma,P Awana,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,14.4,KA Pollard,P Awana,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,14.5,KA Pollard,P Awana,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,14.6,RG Sharma,P Awana,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,15.1,KA Pollard,MS Gony,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,15.2,RG Sharma,MS Gony,NA,KA Pollard,4,0,4,0,NA,NA,NA
1,15.3,RG Sharma,MS Gony,NA,KA Pollard,6,0,6,0,NA,NA,NA
1,15.4,RG Sharma,MS Gony,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,15.5,KA Pollard,MS Gony,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,15.6,KA Pollard,MS Gony,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,16.1,RG Sharma,Azhar Mahmood,NA,KA Pollard,4,0,4,0,NA,NA,NA
1,16.2,RG Sharma,Azhar Mahmood,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,16.3,KA Pollard,Azhar Mahmood,1legbyes,RG Sharma,0,1,1,0,NA,NA,NA
1,16.4,RG Sharma,Azhar Mahmood,NA,KA Pollard,6,0,6,0,NA,NA,NA
1,16.5,RG Sharma,Azhar Mahmood,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,16.6,KA Pollard,Azhar Mahmood,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,17.1,KA Pollard,MS Gony,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,17.2,RG Sharma,MS Gony,NA,KA Pollard,6,0,6,0,NA,NA,NA
1,17.3,RG Sharma,MS Gony,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,17.4,KA Pollard,MS Gony,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,17.5,KA Pollard,MS Gony,1noballs,RG Sharma,0,1,1,0,NA,NA,NA
1,17.6,KA Pollard,MS Gony,1wides,RG Sharma,0,1,1,0,NA,NA,NA
1,17.7,KA Pollard,MS Gony,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,17.8,RG Sharma,MS Gony,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,18.1,KA Pollard,P Kumar,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,18.2,KA Pollard,P Kumar,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,18.3,RG Sharma,P Kumar,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,18.4,RG Sharma,P Kumar,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,18.5,KA Pollard,P Kumar,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,18.6,RG Sharma,P Kumar,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,19.1,RG Sharma,DJ Hussey,NA,KA Pollard,6,0,6,0,NA,NA,NA
1,19.2,RG Sharma,DJ Hussey,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,19.3,RG Sharma,DJ Hussey,NA,KA Pollard,6,0,6,0,NA,NA,NA
1,19.4,RG Sharma,DJ Hussey,1wides,KA Pollard,0,1,1,0,NA,NA,NA
1,19.5,RG Sharma,DJ Hussey,NA,KA Pollard,6,0,6,0,NA,NA,NA
1,19.6,RG Sharma,DJ Hussey,NA,KA Pollard,4,0,4,0,NA,NA,NA
1,19.7,RG Sharma,DJ Hussey,NA,KA Pollard,4,0,4,0,NA,NA,NA
2,0.1,Mandeep Singh,MG Johnson,1wides,SE Marsh,0,1,1,0,NA,NA,NA
2,0.2,Mandeep Singh,MG Johnson,NA,SE Marsh,4,0,4,0,NA,NA,NA
2,0.3,Mandeep Singh,MG Johnson,NA,SE Marsh,0,0,0,0,NA,NA,NA
2,0.4,Mandeep Singh,MG Johnson,NA,SE Marsh,1,0,1,0,NA,NA,NA
2,0.5,SE Marsh,MG Johnson,NA,Mandeep Singh,0,0,0,0,NA,NA,NA
2,0.6,SE Marsh,MG Johnson,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
2,0.7,Mandeep Singh,MG Johnson,NA,SE Marsh,0,0,0,0,NA,NA,NA
2,1.1,SE Marsh,SL Malinga,NA,Mandeep Singh,0,0,0,0,NA,NA,NA
2,1.2,SE Marsh,SL Malinga,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
2,1.3,Mandeep Singh,SL Malinga,NA,SE Marsh,4,0,4,0,NA,NA,NA
2,1.4,Mandeep Singh,SL Malinga,NA,SE Marsh,0,0,0,0,NA,NA,NA
2,1.5,Mandeep Singh,SL Malinga,NA,SE Marsh,0,0,0,0,NA,NA,NA
