innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,DJ Jacobs,RP Singh,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,0.2,DJ Jacobs,RP Singh,NA,SR Tendulkar,1,0,1,0,NA,NA,NA
1,0.3,SR Tendulkar,RP Singh,NA,DJ Jacobs,0,0,0,0,NA,NA,NA
1,0.4,SR Tendulkar,RP Singh,NA,DJ Jacobs,4,0,4,0,NA,NA,NA
1,0.5,SR Tendulkar,RP Singh,1legbyes,DJ Jacobs,0,1,1,0,NA,NA,NA
1,0.6,DJ Jacobs,RP Singh,1legbyes,SR Tendulkar,0,1,1,0,NA,NA,NA
1,1.1,DJ Jacobs,R Vinay Kumar,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,1.2,DJ Jacobs,R Vinay Kumar,1legbyes,SR Tendulkar,0,1,1,0,NA,NA,NA
1,1.3,SR Tendulkar,R Vinay Kumar,NA,DJ Jacobs,4,0,4,0,NA,NA,NA
1,1.4,SR Tendulkar,R Vinay Kumar,NA,DJ Jacobs,2,0,2,0,NA,NA,NA
1,1.5,SR Tendulkar,R Vinay Kumar,1wides,DJ Jacobs,0,1,1,0,NA,NA,NA
1,1.6,SR Tendulkar,R Vinay Kumar,NA,DJ Jacobs,0,0,0,0,NA,NA,NA
1,1.7,SR Tendulkar,R Vinay Kumar,4legbyes,DJ Jacobs,0,4,4,0,NA,NA,NA
1,2.1,DJ Jacobs,RP Singh,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,2.2,DJ Jacobs,RP Singh,NA,SR Tendulkar,1,0,1,0,NA,NA,NA
1,2.3,SR Tendulkar,RP Singh,NA,DJ Jacobs,1,0,1,0,NA,NA,NA
1,2.4,DJ Jacobs,RP Singh,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,2.5,DJ Jacobs,RP Singh,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,2.6,DJ Jacobs,RP Singh,NA,SR Tendulkar,0,0,0,0,NA,NA,NA
1,3.1,SR Tendulkar,R Vinay Kumar,NA,DJ Jacobs,0,0,0,0,NA,NA,NA
1,3.2,SR Tendulkar,R Vinay Kumar,NA,DJ Jacobs,0,0,0,0,NA,NA,NA
1,3.3,SR Tendulkar,R Vinay Kumar,NA,DJ Jacobs,1,0,1,0,NA,NA,NA
