innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,G Gambhir,SL Malinga,NA,CA Lynn,1,0,1,0,NA,NA,NA
1,0.2,CA Lynn,SL Malinga,1wides,G Gambhir,0,1,1,0,NA,NA,NA
1,0.3,CA Lynn,SL Malinga,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,0.4,G Gambhir,SL Malinga,NA,CA Lynn,0,0,0,0,NA,NA,NA
1,0.5,G Gambhir,SL Malinga,NA,CA Lynn,1,0,1,0,NA,NA,NA
1,0.6,CA Lynn,SL Malinga,1wides,G Gambhir,0,1,1,0,NA,NA,NA
1,0.7,CA Lynn,SL Malinga,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,0.8,CA Lynn,SL Malinga,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,1.1,CA Lynn,MJ McClenaghan,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,1.2,CA Lynn,MJ McClenaghan,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,1.3,CA Lynn,MJ McClenaghan,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,1.4,CA Lynn,MJ McClenaghan,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,1.5,G Gambhir,MJ McClenaghan,NA,CA Lynn,0,0,0,0,NA,NA,NA
1,1.6,G Gambhir,MJ McClenaghan,NA,CA Lynn,4,0,4,0,NA,NA,NA
1,2.1,CA Lynn,JJ Bumrah,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,2.2,CA Lynn,JJ Bumrah,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,2.3,CA Lynn,JJ Bumrah,1noballs,G Gambhir,1,1,2,0,NA,NA,NA
1,2.4,G Gambhir,JJ Bumrah,NA,CA Lynn,2,0,2,0,NA,NA,NA
1,2.5,G Gambhir,JJ Bumrah,NA,CA Lynn,1,0,1,0,NA,NA,NA
1,2.6,CA Lynn,JJ Bumrah,1noballs,G Gambhir,1,1,2,0,NA,NA,NA
1,2.7,G Gambhir,JJ Bumrah,NA,CA Lynn,4,0,4,0,NA,NA,NA
1,2.8,G Gambhir,JJ Bumrah,NA,CA Lynn,4,0,4,0,NA,NA,NA
1,3.1,CA Lynn,SL Malinga,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,3.2,G Gambhir,SL Malinga,NA,CA Lynn,1,0,1,0,NA,NA,NA
1,3.3,CA Lynn,SL Malinga,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,3.4,CA Lynn,SL Malinga,NA,G Gambhir,6,0,6,0,NA,NA,NA
1,3.5,CA Lynn,SL Malinga,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,3.6,G Gambhir,SL Malinga,NA,CA Lynn,1,0,1,0,NA,NA,NA
1,4.1,G Gambhir,KH Pandya,NA,CA Lynn,0,0,0,0,NA,NA,NA
1,4.2,G Gambhir,KH Pandya,NA,CA Lynn,0,0,0,1,MJ McClenaghan,caught,G Gambhir
1,4.3,RV Uthappa,KH Pandya,NA,CA Lynn,0,0,0,0,NA,NA,NA
1,4.4,RV Uthappa,KH Pandya,NA,CA Lynn,4,0,4,0,NA,NA,NA
1,4.5,RV Uthappa,KH Pandya,NA,CA Lynn,0,0,0,1,HH Pandya,caught,RV Uthappa
1,4.6,CA Lynn,KH Pandya,NA,MK Pandey,0,0,0,0,NA,NA,NA
