innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,JD Ryder,AG Murtaza,NA,TD Paine,0,0,0,0,NA,NA,NA
1,0.2,JD Ryder,AG Murtaza,NA,TD Paine,0,0,0,0,NA,NA,NA
1,0.3,JD Ryder,AG Murtaza,NA,TD Paine,0,0,0,0,NA,NA,NA
1,0.4,JD Ryder,AG Murtaza,NA,TD Paine,2,0,2,0,NA,NA,NA
1,0.5,JD Ryder,AG Murtaza,NA,TD Paine,0,0,0,0,NA,NA,NA
1,0.6,JD Ryder,AG Murtaza,NA,TD Paine,1,0,1,0,NA,NA,NA
1,1.1,JD Ryder,SL Malinga,NA,TD Paine,0,0,0,0,NA,NA,NA
1,1.2,JD Ryder,SL Malinga,NA,TD Paine,0,0,0,0,NA,NA,NA
1,1.3,JD Ryder,SL Malinga,NA,TD Paine,4,0,4,0,NA,NA,NA
1,1.4,JD Ryder,SL Malinga,2wides,TD Paine,0,2,2,0,NA,NA,NA
1,1.5,TD Paine,SL Malinga,NA,JD Ryder,0,0,0,0,NA,NA,NA
1,1.6,TD Paine,SL Malinga,NA,JD Ryder,0,0,0,0,NA,NA,NA
1,1.7,TD Paine,SL Malinga,NA,JD Ryder,1,0,1,0,NA,NA,NA
1,2.1,TD Paine,AG Murtaza,NA,JD Ryder,1,0,1,0,NA,NA,NA
1,2.2,JD Ryder,AG Murtaza,NA,TD Paine,4,0,4,0,NA,NA,NA
1,2.3,JD Ryder,AG Murtaza,NA,TD Paine,0,0,0,0,NA,NA,NA
1,2.4,JD Ryder,AG Murtaza,NA,TD Paine,1,0,1,0,NA,NA,NA
1,2.5,TD Paine,AG Murtaza,NA,JD Ryder,0,0,0,0,NA,NA,NA
1,2.6,TD Paine,AG Murtaza,NA,JD Ryder,0,0,0,0,NA,NA,NA
1,3.1,JD Ryder,AN Ahmed,NA,TD Paine,0,0,0,0,NA,NA,NA
1,3.2,JD Ryder,AN Ahmed,NA,TD Paine,0,0,0,0,NA,NA,NA
1,3.3,JD Ryder,AN Ahmed,NA,TD Paine,0,0,0,1,SR Tendulkar,caught,JD Ryder
1,3.4,TD Paine,AN Ahmed,1legbyes,M Manhas,0,1,1,0,NA,NA,NA
1,3.5,M Manhas,AN Ahmed,NA,TD Paine,0,0,0,1,AT Rayudu,caught,M Manhas
1,3.6,RV Uthappa,AN Ahmed,NA,TD Paine,0,0,0,0,NA,NA,NA
1,4.1,TD Paine,MM Patel,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,4.2,TD Paine,MM Patel,NA,RV Uthappa,0,0,0,1,NA,bowled,TD Paine
1,4.3,Yuvraj Singh,MM Patel,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,4.4,Yuvraj Singh,MM Patel,NA,RV Uthappa,0,0,0,1,AT Rayudu,caught,Yuvraj Singh
1,4.5,MD Mishra,MM Patel,NA,RV Uthappa,2,0,2,0,NA,NA,NA
1,4.6,MD Mishra,MM Patel,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,5.1,RV Uthappa,AN Ahmed,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,5.2,RV Uthappa,AN Ahmed,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,5.3,RV Uthappa,AN Ahmed,4legbyes,MD Mishra,0,4,4,0,NA,NA,NA
1,5.4,RV Uthappa,AN Ahmed,NA,MD Mishra,1,0,1,0,NA,NA,NA
1,5.5,MD Mishra,AN Ahmed,1legbyes,RV Uthappa,0,1,1,0,NA,NA,NA
1,5.6,RV Uthappa,AN Ahmed,NA,MD Mishra,4,0,4,0,NA,NA,NA
1,6.1,MD Mishra,MM Patel,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,6.2,RV Uthappa,MM Patel,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,6.3,RV Uthappa,MM Patel,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,6.4,RV Uthappa,MM Patel,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,6.5,RV Uthappa,MM Patel,NA,MD Mishra,1,0,1,0,NA,NA,NA
1,6.6,MD Mishra,MM Patel,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,7.1,RV Uthappa,KA Pollard,NA,MD Mishra,4,0,4,0,NA,NA,NA
1,7.2,RV Uthappa,KA Pollard,1noballs,MD Mishra,0,1,1,0,NA,NA,NA
1,7.3,RV Uthappa,KA Pollard,NA,MD Mishra,6,0,6,0,NA,NA,NA
1,7.4,RV Uthappa,KA Pollard,NA,MD Mishra,1,0,1,0,NA,NA,NA
1,7.5,MD Mishra,KA Pollard,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,7.6,MD Mishra,KA Pollard,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,7.7,RV Uthappa,KA Pollard,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,8.1,MD Mishra,AG Murtaza,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,8.2,MD Mishra,AG Murtaza,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,8.3,MD Mishra,AG Murtaza,NA,RV Uthappa,0,0,0,1,RG Sharma,caught,MD Mishra
1,8.4,M Kartik,AG Murtaza,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,8.5,M Kartik,AG Murtaza,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,8.6,RV Uthappa,AG Murtaza,NA,M Kartik,1,0,1,0,NA,NA,NA
1,9.1,RV Uthappa,SL Malinga,NA,M Kartik,1,0,1,0,NA,NA,NA
1,9.2,M Kartik,SL Malinga,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,9.3,M Kartik,SL Malinga,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,9.4,M Kartik,SL Malinga,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,9.5,RV Uthappa,SL Malinga,NA,M Kartik,4,0,4,0,NA,NA,NA
1,9.6,RV Uthappa,SL Malinga,NA,M Kartik,0,0,0,0,NA,NA,NA
1,10.1,M Kartik,AN Ahmed,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,10.2,RV Uthappa,AN Ahmed,NA,M Kartik,1,0,1,0,NA,NA,NA
1,10.3,M Kartik,AN Ahmed,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,10.4,M Kartik,AN Ahmed,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,10.5,RV Uthappa,AN Ahmed,NA,M Kartik,0,0,0,0,NA,NA,NA
1,10.6,RV Uthappa,AN Ahmed,NA,M Kartik,1,0,1,0,NA,NA,NA
1,11.1,RV Uthappa,JEC Franklin,NA,M Kartik,4,0,4,0,NA,NA,NA
1,11.2,RV Uthappa,JEC Franklin,1noballs,M Kartik,1,1,2,0,NA,NA,NA
1,11.3,M Kartik,JEC Franklin,1noballs,RV Uthappa,1,1,2,0,NA,NA,NA
