innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,RJ Quiney,DS Kulkarni,NA,GC Smith,0,0,0,0,NA,NA,NA
1,0.2,RJ Quiney,DS Kulkarni,NA,GC Smith,2,0,2,0,NA,NA,NA
1,0.3,RJ Quiney,DS Kulkarni,NA,GC Smith,0,0,0,0,NA,NA,NA
1,0.4,RJ Quiney,DS Kulkarni,NA,GC Smith,4,0,4,0,NA,NA,NA
1,0.5,RJ Quiney,DS Kulkarni,NA,GC Smith,1,0,1,0,NA,NA,NA
1,0.6,GC Smith,DS Kulkarni,NA,RJ Quiney,0,0,0,0,NA,NA,NA
1,1.1,RJ Quiney,SL Malinga,NA,GC Smith,1,0,1,0,NA,NA,NA
1,1.2,GC Smith,SL Malinga,NA,RJ Quiney,0,0,0,0,NA,NA,NA
1,1.3,GC Smith,SL Malinga,NA,RJ Quiney,0,0,0,0,NA,NA,NA
1,1.4,GC Smith,SL Malinga,NA,RJ Quiney,0,0,0,0,NA,NA,NA
1,1.5,GC Smith,SL Malinga,NA,RJ Quiney,4,0,4,0,NA,NA,NA
1,1.6,GC Smith,SL Malinga,NA,RJ Quiney,2,0,2,0,NA,NA,NA
1,2.1,RJ Quiney,DS Kulkarni,NA,GC Smith,1,0,1,0,NA,NA,NA
1,2.2,GC Smith,DS Kulkarni,NA,RJ Quiney,4,0,4,0,NA,NA,NA
1,2.3,GC Smith,DS Kulkarni,NA,RJ Quiney,0,0,0,0,NA,NA,NA
1,2.4,GC Smith,DS Kulkarni,NA,RJ Quiney,1,0,1,0,NA,NA,NA
1,2.5,RJ Quiney,DS Kulkarni,NA,GC Smith,0,0,0,0,NA,NA,NA
1,2.6,RJ Quiney,DS Kulkarni,NA,GC Smith,0,0,0,0,NA,NA,NA
1,3.1,GC Smith,DJ Bravo,NA,RJ Quiney,1,0,1,0,NA,NA,NA
1,3.2,RJ Quiney,DJ Bravo,NA,GC Smith,0,0,0,0,NA,NA,NA
1,3.3,RJ Quiney,DJ Bravo,NA,GC Smith,4,0,4,0,NA,NA,NA
1,3.4,RJ Quiney,DJ Bravo,NA,GC Smith,0,0,0,0,NA,NA,NA
1,3.5,RJ Quiney,DJ Bravo,NA,GC Smith,1,0,1,0,NA,NA,NA
1,3.6,GC Smith,DJ Bravo,NA,RJ Quiney,1,0,1,0,NA,NA,NA
1,4.1,GC Smith,DS Kulkarni,NA,RJ Quiney,4,0,4,0,NA,NA,NA
1,4.2,GC Smith,DS Kulkarni,NA,RJ Quiney,0,0,0,0,NA,NA,NA
1,4.3,GC Smith,DS Kulkarni,NA,RJ Quiney,1,0,1,0,NA,NA,NA
1,4.4,RJ Quiney,DS Kulkarni,NA,GC Smith,0,0,0,0,NA,NA,NA
1,4.5,RJ Quiney,DS Kulkarni,NA,GC Smith,4,0,4,0,NA,NA,NA
1,4.6,RJ Quiney,DS Kulkarni,NA,GC Smith,3,0,3,0,NA,NA,NA
1,5.1,RJ Quiney,JP Duminy,1legbyes,GC Smith,0,1,1,0,NA,NA,NA
1,5.2,GC Smith,JP Duminy,NA,RJ Quiney,0,0,0,0,NA,NA,NA
1,5.3,GC Smith,JP Duminy,NA,RJ Quiney,1,0,1,0,NA,NA,NA
1,5.4,RJ Quiney,JP Duminy,1legbyes,GC Smith,0,1,1,0,NA,NA,NA
1,5.5,GC Smith,JP Duminy,NA,RJ Quiney,0,0,0,0,NA,NA,NA
1,5.6,GC Smith,JP Duminy,NA,RJ Quiney,0,0,0,0,NA,NA,NA
1,6.1,RJ Quiney,Harbhajan Singh,NA,GC Smith,0,0,0,0,NA,NA,NA
1,6.2,RJ Quiney,Harbhajan Singh,NA,GC Smith,1,0,1,0,NA,NA,NA
1,6.3,GC Smith,Harbhajan Singh,NA,RJ Quiney,0,0,0,1,JP Duminy,caught,GC Smith
1,6.4,RJ Quiney,Harbhajan Singh,NA,YK Pathan,0,0,0,0,NA,NA,NA
1,6.5,RJ Quiney,Harbhajan Singh,NA,YK Pathan,1,0,1,0,NA,NA,NA
1,6.6,YK Pathan,Harbhajan Singh,NA,RJ Quiney,1,0,1,0,NA,NA,NA
1,7.1,YK Pathan,SL Malinga,NA,RJ Quiney,0,0,0,0,NA,NA,NA
1,7.2,YK Pathan,SL Malinga,NA,RJ Quiney,0,0,0,0,NA,NA,NA
1,7.3,YK Pathan,SL Malinga,NA,RJ Quiney,4,0,4,0,NA,NA,NA
