innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AM Rahane,MG Johnson,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,0.2,RA Tripathi,MG Johnson,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,0.3,RA Tripathi,MG Johnson,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,0.4,AM Rahane,MG Johnson,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,0.5,AM Rahane,MG Johnson,1wides,RA Tripathi,0,1,1,0,NA,NA,NA
1,0.6,AM Rahane,MG Johnson,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,0.7,AM Rahane,MG Johnson,NA,RA Tripathi,6,0,6,0,NA,NA,NA
1,1.1,RA Tripathi,MJ McClenaghan,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.2,RA Tripathi,MJ McClenaghan,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.3,RA Tripathi,MJ McClenaghan,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,1.4,RA Tripathi,MJ McClenaghan,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,1.5,AM Rahane,MJ McClenaghan,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,1.6,AM Rahane,MJ McClenaghan,NA,RA Tripathi,4,0,4,0,NA,NA,NA
1,2.1,RA Tripathi,MG Johnson,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,2.2,RA Tripathi,MG Johnson,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,2.3,AM Rahane,MG Johnson,NA,RA Tripathi,4,0,4,0,NA,NA,NA
1,2.4,AM Rahane,MG Johnson,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,2.5,AM Rahane,MG Johnson,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,2.6,RA Tripathi,MG Johnson,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,3.1,RA Tripathi,KV Sharma,NA,AM Rahane,2,0,2,0,NA,NA,NA
1,3.2,RA Tripathi,KV Sharma,NA,AM Rahane,2,0,2,0,NA,NA,NA
1,3.3,RA Tripathi,KV Sharma,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,3.4,AM Rahane,KV Sharma,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,3.5,AM Rahane,KV Sharma,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,3.6,AM Rahane,KV Sharma,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,4.1,AM Rahane,JJ Bumrah,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,4.2,RA Tripathi,JJ Bumrah,1legbyes,AM Rahane,0,1,1,0,NA,NA,NA
1,4.3,AM Rahane,JJ Bumrah,NA,RA Tripathi,4,0,4,0,NA,NA,NA
1,4.4,AM Rahane,JJ Bumrah,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,4.5,AM Rahane,JJ Bumrah,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,4.6,AM Rahane,JJ Bumrah,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,5.1,RA Tripathi,KV Sharma,NA,AM Rahane,6,0,6,0,NA,NA,NA
1,5.2,RA Tripathi,KV Sharma,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,5.3,AM Rahane,KV Sharma,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,5.4,AM Rahane,KV Sharma,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,5.5,AM Rahane,KV Sharma,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,5.6,AM Rahane,KV Sharma,NA,RA Tripathi,4,0,4,0,NA,NA,NA
1,6.1,RA Tripathi,Harbhajan Singh,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,6.2,RA Tripathi,Harbhajan Singh,NA,AM Rahane,3,0,3,0,NA,NA,NA
1,6.3,AM Rahane,Harbhajan Singh,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,6.4,AM Rahane,Harbhajan Singh,NA,RA Tripathi,2,0,2,0,NA,NA,NA
1,6.5,AM Rahane,Harbhajan Singh,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,6.6,RA Tripathi,Harbhajan Singh,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,7.1,RA Tripathi,MJ McClenaghan,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,7.2,RA Tripathi,MJ McClenaghan,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,7.3,RA Tripathi,MJ McClenaghan,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,7.4,RA Tripathi,MJ McClenaghan,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,7.5,AM Rahane,MJ McClenaghan,NA,RA Tripathi,4,0,4,0,NA,NA,NA
1,7.6,AM Rahane,MJ McClenaghan,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,8.1,AM Rahane,Harbhajan Singh,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,8.2,AM Rahane,Harbhajan Singh,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,8.3,RA Tripathi,Harbhajan Singh,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,8.4,AM Rahane,Harbhajan Singh,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,8.5,RA Tripathi,Harbhajan Singh,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,8.6,AM Rahane,Harbhajan Singh,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,9.1,AM Rahane,KV Sharma,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,9.2,RA Tripathi,KV Sharma,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,9.3,AM Rahane,KV Sharma,NA,RA Tripathi,0,0,0,1,NA,caught and bowled,AM Rahane
1,9.4,SPD Smith,KV Sharma,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,9.5,RA Tripathi,KV Sharma,NA,SPD Smith,6,0,6,0,NA,NA,NA
1,9.6,RA Tripathi,KV Sharma,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,10.1,RA Tripathi,Harbhajan Singh,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,10.2,SPD Smith,Harbhajan Singh,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,10.3,SPD Smith,Harbhajan Singh,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,10.4,RA Tripathi,Harbhajan Singh,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,10.5,RA Tripathi,Harbhajan Singh,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,10.6,SPD Smith,Harbhajan Singh,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,11.1,SPD Smith,KV Sharma,NA,RA Tripathi,4,0,4,0,NA,NA,NA
1,11.2,SPD Smith,KV Sharma,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,11.3,RA Tripathi,KV Sharma,NA,SPD Smith,0,0,0,1,KA Pollard,caught,RA Tripathi
1,11.4,SPD Smith,KV Sharma,NA,MS Dhoni,2,0,2,0,NA,NA,NA
1,11.5,SPD Smith,KV Sharma,NA,MS Dhoni,4,0,4,0,NA,NA,NA
1,11.6,SPD Smith,KV Sharma,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,12.1,SPD Smith,Harbhajan Singh,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,12.2,MS Dhoni,Harbhajan Singh,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,12.3,MS Dhoni,Harbhajan Singh,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,12.4,SPD Smith,Harbhajan Singh,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,12.5,MS Dhoni,Harbhajan Singh,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,12.6,SPD Smith,Harbhajan Singh,NA,MS Dhoni,0,0,0,1,NA,bowled,SPD Smith
1,13.1,MS Dhoni,MG Johnson,NA,BA Stokes,0,0,0,0,NA,NA,NA
1,13.2,MS Dhoni,MG Johnson,NA,BA Stokes,0,0,0,0,NA,NA,NA
1,13.3,MS Dhoni,MG Johnson,NA,BA Stokes,1,0,1,0,NA,NA,NA
1,13.4,BA Stokes,MG Johnson,NA,MS Dhoni,4,0,4,0,NA,NA,NA
1,13.5,BA Stokes,MG Johnson,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,13.6,MS Dhoni,MG Johnson,NA,BA Stokes,1,0,1,0,NA,NA,NA
1,14.1,MS Dhoni,JJ Bumrah,NA,BA Stokes,1,0,1,0,NA,NA,NA
1,14.2,BA Stokes,JJ Bumrah,NA,MS Dhoni,2,0,2,0,NA,NA,NA
1,14.3,BA Stokes,JJ Bumrah,NA,MS Dhoni,2,0,2,0,NA,NA,NA
1,14.4,BA Stokes,JJ Bumrah,NA,MS Dhoni,2,0,2,0,NA,NA,NA
1,14.5,BA Stokes,JJ Bumrah,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,14.6,MS Dhoni,JJ Bumrah,NA,BA Stokes,1,0,1,0,NA,NA,NA
1,15.1,MS Dhoni,MJ McClenaghan,NA,BA Stokes,1,0,1,0,NA,NA,NA
1,15.2,BA Stokes,MJ McClenaghan,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,15.3,BA Stokes,MJ McClenaghan,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,15.4,BA Stokes,MJ McClenaghan,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,15.5,BA Stokes,MJ McClenaghan,NA,MS Dhoni,4,0,4,0,NA,NA,NA
1,15.6,BA Stokes,MJ McClenaghan,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,16.1,BA Stokes,MG Johnson,NA,MS Dhoni,0,0,0,1,NA,bowled,BA Stokes
1,16.2,MK Tiwary,MG Johnson,NA,MS Dhoni,4,0,4,0,NA,NA,NA
1,16.3,MK Tiwary,MG Johnson,NA,MS Dhoni,4,0,4,0,NA,NA,NA
1,16.4,MK Tiwary,MG Johnson,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,16.5,MK Tiwary,MG Johnson,NA,MS Dhoni,2,0,2,0,NA,NA,NA
1,16.6,MK Tiwary,MG Johnson,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,17.1,MK Tiwary,JJ Bumrah,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,17.2,MK Tiwary,JJ Bumrah,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,17.3,MS Dhoni,JJ Bumrah,NA,MK Tiwary,0,0,0,1,NA,bowled,MS Dhoni
1,17.4,DT Christian,JJ Bumrah,NA,MK Tiwary,2,0,2,0,NA,NA,NA
1,17.5,DT Christian,JJ Bumrah,NA,MK Tiwary,0,0,0,0,NA,NA,NA
1,17.6,DT Christian,JJ Bumrah,NA,MK Tiwary,2,0,2,0,NA,NA,NA
1,18.1,MK Tiwary,MJ McClenaghan,NA,DT Christian,1,0,1,0,NA,NA,NA
1,18.2,DT Christian,MJ McClenaghan,1wides,MK Tiwary,0,1,1,0,NA,NA,NA
1,18.3,DT Christian,MJ McClenaghan,NA,MK Tiwary,0,0,0,0,NA,NA,NA
1,18.4,DT Christian,MJ McClenaghan,1byes,MK Tiwary,0,1,1,0,NA,NA,NA
1,18.5,MK Tiwary,MJ McClenaghan,NA,DT Christian,1,0,1,0,NA,NA,NA
1,18.6,DT Christian,MJ McClenaghan,NA,MK Tiwary,4,0,4,0,NA,NA,NA
1,18.7,DT Christian,MJ McClenaghan,NA,MK Tiwary,0,0,0,0,NA,NA,NA
1,19.1,MK Tiwary,JJ Bumrah,NA,DT Christian,4,0,4,0,NA,NA,NA
1,19.2,MK Tiwary,JJ Bumrah,NA,DT Christian,4,0,4,0,NA,NA,NA
1,19.3,MK Tiwary,JJ Bumrah,NA,DT Christian,0,0,0,0,NA,NA,NA
1,19.4,MK Tiwary,JJ Bumrah,NA,DT Christian,0,0,0,1,NA,lbw,MK Tiwary
1,19.5,Washington Sundar,JJ Bumrah,NA,DT Christian,2,0,2,0,NA,NA,NA
1,19.6,Washington Sundar,JJ Bumrah,NA,DT Christian,0,0,0,0,NA,NA,NA
