innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,LMP Simmons,RP Singh,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,0.2,RG Sharma,RP Singh,NA,LMP Simmons,0,0,0,0,NA,NA,NA
1,0.3,RG Sharma,RP Singh,NA,LMP Simmons,2,0,2,0,NA,NA,NA
1,0.4,RG Sharma,RP Singh,NA,LMP Simmons,4,0,4,0,NA,NA,NA
1,0.5,RG Sharma,RP Singh,NA,LMP Simmons,1,0,1,0,NA,NA,NA
1,0.6,LMP Simmons,RP Singh,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,1.1,RG Sharma,I Sharma,NA,LMP Simmons,0,0,0,1,NA,lbw,RG Sharma
1,1.2,HH Pandya,I Sharma,3wides,LMP Simmons,0,3,3,0,NA,NA,NA
1,1.3,HH Pandya,I Sharma,NA,LMP Simmons,0,0,0,0,NA,NA,NA
1,1.4,HH Pandya,I Sharma,NA,LMP Simmons,0,0,0,0,NA,NA,NA
1,1.5,HH Pandya,I Sharma,NA,LMP Simmons,0,0,0,0,NA,NA,NA
1,1.6,HH Pandya,I Sharma,1wides,LMP Simmons,0,1,1,0,NA,NA,NA
1,1.7,HH Pandya,I Sharma,NA,LMP Simmons,0,0,0,0,NA,NA,NA
1,1.8,HH Pandya,I Sharma,NA,LMP Simmons,0,0,0,0,NA,NA,NA
1,2.1,LMP Simmons,RP Singh,NA,HH Pandya,0,0,0,0,NA,NA,NA
1,2.2,LMP Simmons,RP Singh,NA,HH Pandya,6,0,6,0,NA,NA,NA
1,2.3,LMP Simmons,RP Singh,NA,HH Pandya,1,0,1,0,NA,NA,NA
1,2.4,HH Pandya,RP Singh,NA,LMP Simmons,1,0,1,0,NA,NA,NA
1,2.5,LMP Simmons,RP Singh,NA,HH Pandya,0,0,0,0,NA,NA,NA
1,2.6,LMP Simmons,RP Singh,NA,HH Pandya,0,0,0,0,NA,NA,NA
1,3.1,HH Pandya,I Sharma,NA,LMP Simmons,4,0,4,0,NA,NA,NA
1,3.2,HH Pandya,I Sharma,NA,LMP Simmons,4,0,4,0,NA,NA,NA
1,3.3,HH Pandya,I Sharma,NA,LMP Simmons,0,0,0,0,NA,NA,NA
1,3.4,HH Pandya,I Sharma,1legbyes,LMP Simmons,0,1,1,0,NA,NA,NA
1,3.5,LMP Simmons,I Sharma,NA,HH Pandya,0,0,0,1,NA,bowled,LMP Simmons
1,3.6,JC Buttler,I Sharma,NA,HH Pandya,0,0,0,0,NA,NA,NA
1,4.1,HH Pandya,MR Marsh,NA,JC Buttler,0,0,0,1,MS Dhoni,caught,HH Pandya
1,4.2,AT Rayudu,MR Marsh,NA,JC Buttler,0,0,0,0,NA,NA,NA
1,4.3,AT Rayudu,MR Marsh,NA,JC Buttler,0,0,0,0,NA,NA,NA
1,4.4,AT Rayudu,MR Marsh,NA,JC Buttler,0,0,0,0,NA,NA,NA
1,4.5,AT Rayudu,MR Marsh,NA,JC Buttler,1,0,1,0,NA,NA,NA
1,4.6,JC Buttler,MR Marsh,NA,AT Rayudu,0,0,0,1,R Ashwin,caught,JC Buttler
1,5.1,AT Rayudu,I Sharma,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,5.2,AT Rayudu,I Sharma,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,5.3,KA Pollard,I Sharma,5wides,AT Rayudu,0,5,5,0,NA,NA,NA
1,5.4,KA Pollard,I Sharma,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,5.5,KA Pollard,I Sharma,1wides,AT Rayudu,0,1,1,0,NA,NA,NA
1,5.6,KA Pollard,I Sharma,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,5.7,KA Pollard,I Sharma,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,5.8,KA Pollard,I Sharma,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,6.1,AT Rayudu,MR Marsh,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,6.2,KA Pollard,MR Marsh,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,6.3,KA Pollard,MR Marsh,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,6.4,KA Pollard,MR Marsh,NA,AT Rayudu,1,0,1,0,NA,NA,NA
1,6.5,AT Rayudu,MR Marsh,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,6.6,AT Rayudu,MR Marsh,1wides,KA Pollard,0,1,1,0,NA,NA,NA
1,6.7,AT Rayudu,MR Marsh,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,7.1,KA Pollard,R Bhatia,NA,AT Rayudu,0,0,0,1,NA,lbw,KA Pollard
1,7.2,S Gopal,R Bhatia,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,7.3,S Gopal,R Bhatia,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,7.4,S Gopal,R Bhatia,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,7.5,S Gopal,R Bhatia,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,7.6,S Gopal,R Bhatia,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,8.1,AT Rayudu,MR Marsh,NA,S Gopal,4,0,4,0,NA,NA,NA
1,8.2,AT Rayudu,MR Marsh,NA,S Gopal,1,0,1,0,NA,NA,NA
1,8.3,S Gopal,MR Marsh,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,8.4,S Gopal,MR Marsh,NA,AT Rayudu,1,0,1,0,NA,NA,NA
1,8.5,AT Rayudu,MR Marsh,NA,S Gopal,1,0,1,0,NA,NA,NA
1,8.6,S Gopal,MR Marsh,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,9.1,AT Rayudu,R Bhatia,NA,S Gopal,0,0,0,0,NA,NA,NA
1,9.2,AT Rayudu,R Bhatia,NA,S Gopal,1,0,1,0,NA,NA,NA
1,9.3,S Gopal,R Bhatia,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,9.4,S Gopal,R Bhatia,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,9.5,S Gopal,R Bhatia,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,9.6,S Gopal,R Bhatia,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,10.1,AT Rayudu,M Ashwin,NA,S Gopal,1,0,1,0,NA,NA,NA
1,10.2,S Gopal,M Ashwin,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,10.3,S Gopal,M Ashwin,NA,AT Rayudu,1,0,1,0,NA,NA,NA
1,10.4,AT Rayudu,M Ashwin,NA,S Gopal,1,0,1,0,NA,NA,NA
1,10.5,S Gopal,M Ashwin,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,10.6,S Gopal,M Ashwin,NA,AT Rayudu,0,0,0,1,AM Rahane,caught,S Gopal
1,11.1,Harbhajan Singh,R Bhatia,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,11.2,Harbhajan Singh,R Bhatia,NA,AT Rayudu,0,0,0,0,NA,NA,NA
1,11.3,Harbhajan Singh,R Bhatia,NA,AT Rayudu,1,0,1,0,NA,NA,NA
