innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,V Kohli,MJ McClenaghan,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
1,0.2,Mandeep Singh,MJ McClenaghan,NA,V Kohli,4,0,4,0,NA,NA,NA
1,0.3,Mandeep Singh,MJ McClenaghan,NA,V Kohli,0,0,0,0,NA,NA,NA
1,0.4,Mandeep Singh,MJ McClenaghan,NA,V Kohli,4,0,4,0,NA,NA,NA
1,0.5,Mandeep Singh,MJ McClenaghan,NA,V Kohli,0,0,0,0,NA,NA,NA
1,0.6,Mandeep Singh,MJ McClenaghan,NA,V Kohli,1,0,1,0,NA,NA,NA
1,1.1,Mandeep Singh,SL Malinga,NA,V Kohli,1,0,1,0,NA,NA,NA
1,1.2,V Kohli,SL Malinga,NA,Mandeep Singh,0,0,0,0,NA,NA,NA
1,1.3,V Kohli,SL Malinga,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
1,1.4,Mandeep Singh,SL Malinga,NA,V Kohli,4,0,4,0,NA,NA,NA
1,1.5,Mandeep Singh,SL Malinga,NA,V Kohli,0,0,0,0,NA,NA,NA
1,1.6,Mandeep Singh,SL Malinga,NA,V Kohli,0,0,0,0,NA,NA,NA
1,2.1,V Kohli,HH Pandya,NA,Mandeep Singh,0,0,0,0,NA,NA,NA
1,2.2,V Kohli,HH Pandya,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
1,2.3,Mandeep Singh,HH Pandya,NA,V Kohli,2,0,2,0,NA,NA,NA
1,2.4,Mandeep Singh,HH Pandya,NA,V Kohli,1,0,1,0,NA,NA,NA
1,2.5,V Kohli,HH Pandya,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
1,2.6,Mandeep Singh,HH Pandya,NA,V Kohli,0,0,0,0,NA,NA,NA
1,3.1,V Kohli,KV Sharma,1wides,Mandeep Singh,0,1,1,0,NA,NA,NA
1,3.2,V Kohli,KV Sharma,NA,Mandeep Singh,2,0,2,0,NA,NA,NA
1,3.3,V Kohli,KV Sharma,NA,Mandeep Singh,6,0,6,0,NA,NA,NA
1,3.4,V Kohli,KV Sharma,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
1,3.5,Mandeep Singh,KV Sharma,NA,V Kohli,0,0,0,1,HH Pandya,caught,Mandeep Singh
1,3.6,TM Head,KV Sharma,NA,V Kohli,0,0,0,0,NA,NA,NA
1,3.7,TM Head,KV Sharma,NA,V Kohli,0,0,0,0,NA,NA,NA
1,4.1,V Kohli,JJ Bumrah,NA,TM Head,0,0,0,0,NA,NA,NA
1,4.2,V Kohli,JJ Bumrah,NA,TM Head,6,0,6,0,NA,NA,NA
1,4.3,V Kohli,JJ Bumrah,NA,TM Head,0,0,0,0,NA,NA,NA
1,4.4,V Kohli,JJ Bumrah,NA,TM Head,1,0,1,0,NA,NA,NA
1,4.5,TM Head,JJ Bumrah,NA,V Kohli,2,0,2,0,NA,NA,NA
1,4.6,TM Head,JJ Bumrah,NA,V Kohli,0,0,0,0,NA,NA,NA
1,5.1,V Kohli,MJ McClenaghan,NA,TM Head,0,0,0,1,RG Sharma,caught,V Kohli
1,5.2,AB de Villiers,MJ McClenaghan,NA,TM Head,0,0,0,0,NA,NA,NA
1,5.3,AB de Villiers,MJ McClenaghan,NA,TM Head,0,0,0,0,NA,NA,NA
1,5.4,AB de Villiers,MJ McClenaghan,NA,TM Head,4,0,4,0,NA,NA,NA
1,5.5,AB de Villiers,MJ McClenaghan,NA,TM Head,6,0,6,0,NA,NA,NA
1,5.6,AB de Villiers,MJ McClenaghan,NA,TM Head,2,0,2,0,NA,NA,NA
1,6.1,TM Head,KH Pandya,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,6.2,AB de Villiers,KH Pandya,NA,TM Head,0,0,0,0,NA,NA,NA
1,6.3,AB de Villiers,KH Pandya,NA,TM Head,1,0,1,0,NA,NA,NA
1,6.4,TM Head,KH Pandya,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,6.5,TM Head,KH Pandya,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,6.6,AB de Villiers,KH Pandya,NA,TM Head,1,0,1,0,NA,NA,NA
1,7.1,AB de Villiers,SL Malinga,1legbyes,TM Head,0,1,1,0,NA,NA,NA
1,7.2,TM Head,SL Malinga,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,7.3,AB de Villiers,SL Malinga,NA,TM Head,0,0,0,0,NA,NA,NA
1,7.4,AB de Villiers,SL Malinga,NA,TM Head,4,0,4,0,NA,NA,NA
1,7.5,AB de Villiers,SL Malinga,NA,TM Head,1,0,1,0,NA,NA,NA
1,7.6,TM Head,SL Malinga,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,8.1,AB de Villiers,KH Pandya,NA,TM Head,0,0,0,0,NA,NA,NA
1,8.2,AB de Villiers,KH Pandya,NA,TM Head,4,0,4,0,NA,NA,NA
1,8.3,AB de Villiers,KH Pandya,1wides,TM Head,0,1,1,0,NA,NA,NA
1,8.4,AB de Villiers,KH Pandya,NA,TM Head,6,0,6,0,NA,NA,NA
1,8.5,AB de Villiers,KH Pandya,NA,TM Head,1,0,1,0,NA,NA,NA
1,8.6,TM Head,KH Pandya,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,8.7,TM Head,KH Pandya,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,9.1,TM Head,KV Sharma,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,9.2,AB de Villiers,KV Sharma,NA,TM Head,0,0,0,0,NA,NA,NA
1,9.3,AB de Villiers,KV Sharma,NA,TM Head,0,0,0,0,NA,NA,NA
1,9.4,AB de Villiers,KV Sharma,NA,TM Head,1,0,1,0,NA,NA,NA
1,9.5,TM Head,KV Sharma,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,9.6,AB de Villiers,KV Sharma,NA,TM Head,1,0,1,0,NA,NA,NA
1,10.1,AB de Villiers,KH Pandya,NA,TM Head,1,0,1,0,NA,NA,NA
1,10.2,TM Head,KH Pandya,NA,AB de Villiers,4,0,4,0,NA,NA,NA
1,10.3,TM Head,KH Pandya,NA,AB de Villiers,0,0,0,1,HH Pandya,caught,TM Head
1,10.4,KM Jadhav,KH Pandya,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,10.5,KM Jadhav,KH Pandya,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,10.6,AB de Villiers,KH Pandya,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,11.1,AB de Villiers,KV Sharma,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,11.2,KM Jadhav,KV Sharma,NA,AB de Villiers,4,0,4,0,NA,NA,NA
1,11.3,KM Jadhav,KV Sharma,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,11.4,AB de Villiers,KV Sharma,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,11.5,KM Jadhav,KV Sharma,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,11.6,AB de Villiers,KV Sharma,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,12.1,AB de Villiers,KH Pandya,NA,KM Jadhav,6,0,6,0,NA,NA,NA
1,12.2,AB de Villiers,KH Pandya,NA,KM Jadhav,0,0,0,1,JJ Bumrah,caught,AB de Villiers
1,12.3,KM Jadhav,KH Pandya,NA,SR Watson,1,0,1,0,NA,NA,NA
1,12.4,SR Watson,KH Pandya,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,12.5,KM Jadhav,KH Pandya,NA,SR Watson,1,0,1,0,NA,NA,NA
1,12.6,SR Watson,KH Pandya,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,13.1,SR Watson,JJ Bumrah,NA,KM Jadhav,0,0,0,0,NA,NA,NA
1,13.2,SR Watson,JJ Bumrah,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,13.3,KM Jadhav,JJ Bumrah,NA,SR Watson,1,0,1,0,NA,NA,NA
1,13.4,SR Watson,JJ Bumrah,NA,KM Jadhav,0,0,0,1,NA,bowled,SR Watson
1,13.5,P Negi,JJ Bumrah,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,13.6,KM Jadhav,JJ Bumrah,NA,P Negi,2,0,2,0,NA,NA,NA
1,14.1,P Negi,SL Malinga,NA,KM Jadhav,0,0,0,0,NA,NA,NA
1,14.2,P Negi,SL Malinga,NA,KM Jadhav,0,0,0,0,NA,NA,NA
1,14.3,P Negi,SL Malinga,NA,KM Jadhav,0,0,0,0,NA,NA,NA
1,14.4,P Negi,SL Malinga,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,14.5,KM Jadhav,SL Malinga,NA,P Negi,2,0,2,0,NA,NA,NA
1,14.6,KM Jadhav,SL Malinga,NA,P Negi,1,0,1,0,NA,NA,NA
1,15.1,KM Jadhav,MJ McClenaghan,NA,P Negi,1,0,1,0,NA,NA,NA
1,15.2,P Negi,MJ McClenaghan,NA,KM Jadhav,2,0,2,0,NA,NA,NA
1,15.3,P Negi,MJ McClenaghan,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,15.4,KM Jadhav,MJ McClenaghan,NA,P Negi,1,0,1,0,NA,NA,NA
1,15.5,P Negi,MJ McClenaghan,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,15.6,KM Jadhav,MJ McClenaghan,NA,P Negi,1,0,1,0,NA,NA,NA
1,16.1,KM Jadhav,JJ Bumrah,1legbyes,P Negi,0,1,1,0,NA,NA,NA
1,16.2,P Negi,JJ Bumrah,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,16.3,KM Jadhav,JJ Bumrah,NA,P Negi,4,0,4,0,NA,NA,NA
1,16.4,KM Jadhav,JJ Bumrah,NA,P Negi,1,0,1,0,NA,NA,NA
1,16.5,P Negi,JJ Bumrah,NA,KM Jadhav,2,0,2,0,NA,NA,NA
1,16.6,P Negi,JJ Bumrah,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,17.1,P Negi,SL Malinga,NA,KM Jadhav,6,0,6,0,NA,NA,NA
1,17.2,P Negi,SL Malinga,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,17.3,KM Jadhav,SL Malinga,NA,P Negi,1,0,1,0,NA,NA,NA
1,17.4,P Negi,SL Malinga,NA,KM Jadhav,0,0,0,0,NA,NA,NA
1,17.5,P Negi,SL Malinga,NA,KM Jadhav,6,0,6,0,NA,NA,NA
1,17.6,P Negi,SL Malinga,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,18.1,P Negi,JJ Bumrah,NA,KM Jadhav,0,0,0,0,NA,NA,NA
1,18.2,P Negi,JJ Bumrah,NA,KM Jadhav,0,0,0,0,NA,NA,NA
1,18.3,P Negi,JJ Bumrah,NA,KM Jadhav,6,0,6,0,NA,NA,NA
1,18.4,P Negi,JJ Bumrah,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,18.5,KM Jadhav,JJ Bumrah,NA,P Negi,2,0,2,0,NA,NA,NA
