innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,DA Warner,TG Southee,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,0.2,DA Warner,TG Southee,1legbyes,S Dhawan,0,1,1,0,NA,NA,NA
1,0.3,S Dhawan,TG Southee,NA,DA Warner,0,0,0,0,NA,NA,NA
1,0.4,S Dhawan,TG Southee,NA,DA Warner,1,0,1,0,NA,NA,NA
1,0.5,DA Warner,TG Southee,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,0.6,S Dhawan,TG Southee,NA,DA Warner,0,0,0,0,NA,NA,NA
1,1.1,DA Warner,MJ McClenaghan,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.2,DA Warner,MJ McClenaghan,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,1.3,S Dhawan,MJ McClenaghan,NA,DA Warner,0,0,0,0,NA,NA,NA
1,1.4,S Dhawan,MJ McClenaghan,NA,DA Warner,1,0,1,0,NA,NA,NA
1,1.5,DA Warner,MJ McClenaghan,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,1.6,S Dhawan,MJ McClenaghan,NA,DA Warner,4,0,4,0,NA,NA,NA
1,2.1,DA Warner,TG Southee,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,2.2,S Dhawan,TG Southee,NA,DA Warner,3,0,3,0,NA,NA,NA
1,2.3,DA Warner,TG Southee,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,2.4,S Dhawan,TG Southee,NA,DA Warner,1,0,1,0,NA,NA,NA
1,2.5,DA Warner,TG Southee,NA,S Dhawan,2,0,2,0,NA,NA,NA
1,2.6,DA Warner,TG Southee,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,3.1,DA Warner,Harbhajan Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,3.2,DA Warner,Harbhajan Singh,NA,S Dhawan,6,0,6,0,NA,NA,NA
1,3.3,DA Warner,Harbhajan Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,3.4,DA Warner,Harbhajan Singh,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,3.5,DA Warner,Harbhajan Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,3.6,DA Warner,Harbhajan Singh,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,4.1,DA Warner,JJ Bumrah,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,4.2,DA Warner,JJ Bumrah,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,4.3,S Dhawan,JJ Bumrah,NA,DA Warner,0,0,0,0,NA,NA,NA
1,4.4,S Dhawan,JJ Bumrah,NA,DA Warner,0,0,0,0,NA,NA,NA
1,4.5,S Dhawan,JJ Bumrah,NA,DA Warner,0,0,0,0,NA,NA,NA
1,4.6,S Dhawan,JJ Bumrah,NA,DA Warner,1,0,1,0,NA,NA,NA
1,5.1,S Dhawan,MJ McClenaghan,NA,DA Warner,1,0,1,0,NA,NA,NA
1,5.2,DA Warner,MJ McClenaghan,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,5.3,DA Warner,MJ McClenaghan,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,5.4,DA Warner,MJ McClenaghan,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,5.5,DA Warner,MJ McClenaghan,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,5.6,S Dhawan,MJ McClenaghan,NA,DA Warner,1,0,1,0,NA,NA,NA
1,6.1,S Dhawan,HH Pandya,NA,DA Warner,0,0,0,0,NA,NA,NA
1,6.2,S Dhawan,HH Pandya,NA,DA Warner,2,0,2,0,NA,NA,NA
1,6.3,S Dhawan,HH Pandya,NA,DA Warner,0,0,0,0,NA,NA,NA
1,6.4,S Dhawan,HH Pandya,NA,DA Warner,4,0,4,0,NA,NA,NA
1,6.5,S Dhawan,HH Pandya,NA,DA Warner,2,0,2,0,NA,NA,NA
1,6.6,S Dhawan,HH Pandya,NA,DA Warner,2,0,2,0,NA,NA,NA
1,7.1,DA Warner,Harbhajan Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,7.2,DA Warner,Harbhajan Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,7.3,DA Warner,Harbhajan Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,7.4,DA Warner,Harbhajan Singh,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,7.5,S Dhawan,Harbhajan Singh,NA,DA Warner,4,0,4,0,NA,NA,NA
1,7.6,S Dhawan,Harbhajan Singh,NA,DA Warner,1,0,1,0,NA,NA,NA
1,8.1,S Dhawan,KA Pollard,NA,DA Warner,0,0,0,0,NA,NA,NA
1,8.2,S Dhawan,KA Pollard,NA,DA Warner,1,0,1,0,NA,NA,NA
1,8.3,DA Warner,KA Pollard,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,8.4,S Dhawan,KA Pollard,NA,DA Warner,4,0,4,0,NA,NA,NA
1,8.5,S Dhawan,KA Pollard,NA,DA Warner,1,0,1,0,NA,NA,NA
1,8.6,DA Warner,KA Pollard,1wides,S Dhawan,0,1,1,0,NA,NA,NA
1,8.7,DA Warner,KA Pollard,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,9.1,DA Warner,Harbhajan Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,9.2,DA Warner,Harbhajan Singh,1wides,S Dhawan,0,1,1,0,NA,NA,NA
1,9.3,DA Warner,Harbhajan Singh,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,9.4,DA Warner,Harbhajan Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,9.5,DA Warner,Harbhajan Singh,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,9.6,DA Warner,Harbhajan Singh,NA,S Dhawan,0,0,0,1,KA Pollard,caught,DA Warner
1,9.7,KS Williamson,Harbhajan Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,10.1,S Dhawan,KH Pandya,NA,KS Williamson,1,0,1,0,NA,NA,NA
1,10.2,KS Williamson,KH Pandya,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,10.3,S Dhawan,KH Pandya,NA,KS Williamson,1,0,1,0,NA,NA,NA
1,10.4,KS Williamson,KH Pandya,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,10.5,S Dhawan,KH Pandya,NA,KS Williamson,0,0,0,0,NA,NA,NA
1,10.6,S Dhawan,KH Pandya,NA,KS Williamson,1,0,1,0,NA,NA,NA
1,11.1,S Dhawan,Harbhajan Singh,NA,KS Williamson,1,0,1,0,NA,NA,NA
1,11.2,KS Williamson,Harbhajan Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,11.3,KS Williamson,Harbhajan Singh,NA,S Dhawan,0,0,0,1,RG Sharma,caught,KS Williamson
1,11.4,Yuvraj Singh,Harbhajan Singh,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,11.5,S Dhawan,Harbhajan Singh,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,11.6,S Dhawan,Harbhajan Singh,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,12.1,S Dhawan,JJ Bumrah,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,12.2,Yuvraj Singh,JJ Bumrah,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,12.3,S Dhawan,JJ Bumrah,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,12.4,S Dhawan,JJ Bumrah,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,12.5,Yuvraj Singh,JJ Bumrah,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,12.6,Yuvraj Singh,JJ Bumrah,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,13.1,S Dhawan,TG Southee,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,13.2,Yuvraj Singh,TG Southee,NA,S Dhawan,2,0,2,0,NA,NA,NA
