innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,JD Ryder,KMDN Kulasekara,NA,MD Mishra,1,0,1,0,NA,NA,NA
1,0.2,MD Mishra,KMDN Kulasekara,NA,JD Ryder,0,0,0,0,NA,NA,NA
1,0.3,MD Mishra,KMDN Kulasekara,NA,JD Ryder,1,0,1,0,NA,NA,NA
1,0.4,JD Ryder,KMDN Kulasekara,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,0.5,JD Ryder,KMDN Kulasekara,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,0.6,JD Ryder,KMDN Kulasekara,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,1.1,MD Mishra,DE Bollinger,NA,JD Ryder,0,0,0,0,NA,NA,NA
1,1.2,MD Mishra,DE Bollinger,NA,JD Ryder,1,0,1,0,NA,NA,NA
1,1.3,JD Ryder,DE Bollinger,NA,MD Mishra,4,0,4,0,NA,NA,NA
1,1.4,JD Ryder,DE Bollinger,NA,MD Mishra,0,0,0,0,NA,NA,NA
1,1.5,JD Ryder,DE Bollinger,NA,MD Mishra,1,0,1,0,NA,NA,NA
1,1.6,MD Mishra,DE Bollinger,NA,JD Ryder,0,0,0,0,NA,NA,NA
1,2.1,JD Ryder,KMDN Kulasekara,1wides,MD Mishra,0,1,1,0,NA,NA,NA
1,2.2,JD Ryder,KMDN Kulasekara,NA,MD Mishra,4,0,4,0,NA,NA,NA
1,2.3,JD Ryder,KMDN Kulasekara,NA,MD Mishra,4,0,4,0,NA,NA,NA
1,2.4,JD Ryder,KMDN Kulasekara,NA,MD Mishra,4,0,4,0,NA,NA,NA
1,2.5,JD Ryder,KMDN Kulasekara,NA,MD Mishra,1,0,1,0,NA,NA,NA
1,2.6,MD Mishra,KMDN Kulasekara,NA,JD Ryder,0,0,0,0,NA,NA,NA
1,2.7,MD Mishra,KMDN Kulasekara,NA,JD Ryder,0,0,0,0,NA,NA,NA
1,3.1,JD Ryder,DE Bollinger,NA,MD Mishra,0,0,0,1,S Anirudha,caught,JD Ryder
1,3.2,MD Mishra,DE Bollinger,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,3.3,MD Mishra,DE Bollinger,NA,MK Pandey,0,0,0,1,SB Jakati,caught,MD Mishra
1,3.4,M Manhas,DE Bollinger,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,3.5,M Manhas,DE Bollinger,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,3.6,M Manhas,DE Bollinger,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,4.1,MK Pandey,TG Southee,NA,M Manhas,0,0,0,0,NA,NA,NA
1,4.2,MK Pandey,TG Southee,NA,M Manhas,0,0,0,0,NA,NA,NA
1,4.3,MK Pandey,TG Southee,NA,M Manhas,0,0,0,0,NA,NA,NA
1,4.4,MK Pandey,TG Southee,NA,M Manhas,0,0,0,0,NA,NA,NA
1,4.5,MK Pandey,TG Southee,NA,M Manhas,4,0,4,0,NA,NA,NA
1,4.6,MK Pandey,TG Southee,NA,M Manhas,1,0,1,0,NA,NA,NA
1,5.1,MK Pandey,KMDN Kulasekara,NA,M Manhas,1,0,1,0,NA,NA,NA
1,5.2,M Manhas,KMDN Kulasekara,NA,MK Pandey,0,0,0,1,NA,bowled,M Manhas
1,5.3,Yuvraj Singh,KMDN Kulasekara,NA,MK Pandey,2,0,2,0,NA,NA,NA
1,5.4,Yuvraj Singh,KMDN Kulasekara,NA,MK Pandey,4,0,4,0,NA,NA,NA
1,5.5,Yuvraj Singh,KMDN Kulasekara,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,5.6,MK Pandey,KMDN Kulasekara,NA,Yuvraj Singh,2,0,2,0,NA,NA,NA
1,6.1,Yuvraj Singh,R Ashwin,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,6.2,Yuvraj Singh,R Ashwin,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,6.3,MK Pandey,R Ashwin,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,6.4,MK Pandey,R Ashwin,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,6.5,Yuvraj Singh,R Ashwin,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,6.6,MK Pandey,R Ashwin,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,7.1,MK Pandey,TG Southee,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,7.2,MK Pandey,TG Southee,NA,Yuvraj Singh,0,0,0,1,R Ashwin,caught,MK Pandey
1,7.3,RV Uthappa,TG Southee,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,7.4,Yuvraj Singh,TG Southee,NA,RV Uthappa,2,0,2,0,NA,NA,NA
1,7.5,Yuvraj Singh,TG Southee,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,7.6,Yuvraj Singh,TG Southee,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,8.1,RV Uthappa,SB Jakati,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,8.2,RV Uthappa,SB Jakati,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,8.3,Yuvraj Singh,SB Jakati,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,8.4,Yuvraj Singh,SB Jakati,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,8.5,RV Uthappa,SB Jakati,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,8.6,RV Uthappa,SB Jakati,NA,Yuvraj Singh,4,0,4,0,NA,NA,NA
1,9.1,Yuvraj Singh,SK Raina,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,9.2,Yuvraj Singh,SK Raina,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,9.3,RV Uthappa,SK Raina,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,9.4,RV Uthappa,SK Raina,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,9.5,Yuvraj Singh,SK Raina,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,9.6,RV Uthappa,SK Raina,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,10.1,RV Uthappa,SB Jakati,NA,Yuvraj Singh,2,0,2,0,NA,NA,NA
1,10.2,RV Uthappa,SB Jakati,NA,Yuvraj Singh,2,0,2,0,NA,NA,NA
1,10.3,RV Uthappa,SB Jakati,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,10.4,RV Uthappa,SB Jakati,NA,Yuvraj Singh,4,0,4,0,NA,NA,NA
1,10.5,RV Uthappa,SB Jakati,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,10.6,Yuvraj Singh,SB Jakati,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,11.1,RV Uthappa,R Ashwin,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,11.2,RV Uthappa,R Ashwin,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,11.3,Yuvraj Singh,R Ashwin,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,11.4,RV Uthappa,R Ashwin,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,11.5,RV Uthappa,R Ashwin,NA,Yuvraj Singh,6,0,6,0,NA,NA,NA
1,11.6,RV Uthappa,R Ashwin,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,12.1,Yuvraj Singh,SK Raina,1legbyes,RV Uthappa,0,1,1,0,NA,NA,NA
1,12.2,RV Uthappa,SK Raina,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,12.3,RV Uthappa,SK Raina,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,12.4,Yuvraj Singh,SK Raina,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,12.5,Yuvraj Singh,SK Raina,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,12.6,Yuvraj Singh,SK Raina,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,13.1,RV Uthappa,R Ashwin,NA,Yuvraj Singh,6,0,6,0,NA,NA,NA
1,13.2,RV Uthappa,R Ashwin,NA,Yuvraj Singh,0,0,0,1,S Anirudha,caught,RV Uthappa
1,13.3,MR Marsh,R Ashwin,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,13.4,MR Marsh,R Ashwin,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,13.5,Yuvraj Singh,R Ashwin,NA,MR Marsh,0,0,0,0,NA,NA,NA
1,13.6,Yuvraj Singh,R Ashwin,NA,MR Marsh,0,0,0,0,NA,NA,NA
1,14.1,MR Marsh,SK Raina,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,14.2,MR Marsh,SK Raina,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,14.3,MR Marsh,SK Raina,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,14.4,MR Marsh,SK Raina,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,14.5,Yuvraj Singh,SK Raina,NA,MR Marsh,2,0,2,0,NA,NA,NA
1,14.6,Yuvraj Singh,SK Raina,NA,MR Marsh,4,0,4,0,NA,NA,NA
1,15.1,MR Marsh,R Ashwin,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,15.2,Yuvraj Singh,R Ashwin,NA,MR Marsh,6,0,6,0,NA,NA,NA
1,15.3,Yuvraj Singh,R Ashwin,NA,MR Marsh,0,0,0,0,NA,NA,NA
1,15.4,Yuvraj Singh,R Ashwin,NA,MR Marsh,0,0,0,0,NA,NA,NA
1,15.5,Yuvraj Singh,R Ashwin,NA,MR Marsh,2,0,2,0,NA,NA,NA
1,15.6,Yuvraj Singh,R Ashwin,NA,MR Marsh,1,0,1,0,NA,NA,NA
1,16.1,Yuvraj Singh,DE Bollinger,NA,MR Marsh,6,0,6,0,NA,NA,NA
1,16.2,Yuvraj Singh,DE Bollinger,NA,MR Marsh,2,0,2,0,NA,NA,NA
1,16.3,Yuvraj Singh,DE Bollinger,NA,MR Marsh,1,0,1,0,NA,NA,NA
1,16.4,MR Marsh,DE Bollinger,NA,Yuvraj Singh,2,0,2,0,NA,NA,NA
1,16.5,MR Marsh,DE Bollinger,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,16.6,MR Marsh,DE Bollinger,1wides,Yuvraj Singh,0,1,1,0,NA,NA,NA
1,16.7,MR Marsh,DE Bollinger,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,17.1,Yuvraj Singh,TG Southee,1wides,MR Marsh,0,1,1,0,NA,NA,NA
1,17.2,Yuvraj Singh,TG Southee,1wides,MR Marsh,0,1,1,0,NA,NA,NA
1,17.3,Yuvraj Singh,TG Southee,NA,MR Marsh,1,0,1,0,NA,NA,NA
1,17.4,MR Marsh,TG Southee,NA,Yuvraj Singh,4,0,4,0,NA,NA,NA
1,17.5,MR Marsh,TG Southee,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,17.6,Yuvraj Singh,TG Southee,NA,MR Marsh,1,0,1,0,NA,NA,NA
1,17.7,MR Marsh,TG Southee,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,17.8,Yuvraj Singh,TG Southee,NA,MR Marsh,0,0,0,0,NA,NA,NA
1,18.1,MR Marsh,DE Bollinger,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,18.2,MR Marsh,DE Bollinger,NA,Yuvraj Singh,0,0,0,1,R Ashwin,caught,MR Marsh
1,18.3,Yuvraj Singh,DE Bollinger,NA,JE Taylor,1,0,1,0,NA,NA,NA
1,18.4,JE Taylor,DE Bollinger,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,18.5,JE Taylor,DE Bollinger,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,18.6,Yuvraj Singh,DE Bollinger,NA,JE Taylor,1,0,1,0,NA,NA,NA
1,19.1,Yuvraj Singh,TG Southee,NA,JE Taylor,2,0,2,0,NA,NA,NA
1,19.2,Yuvraj Singh,TG Southee,NA,JE Taylor,6,0,6,0,NA,NA,NA
1,19.3,Yuvraj Singh,TG Southee,NA,JE Taylor,0,0,0,0,NA,NA,NA
1,19.4,Yuvraj Singh,TG Southee,NA,JE Taylor,6,0,6,0,NA,NA,NA
1,19.5,Yuvraj Singh,TG Southee,NA,JE Taylor,0,0,0,0,NA,NA,NA
1,19.6,Yuvraj Singh,TG Southee,NA,JE Taylor,1,0,1,0,NA,NA,NA
2,0.1,MEK Hussey,AC Thomas,NA,M Vijay,0,0,0,0,NA,NA,NA
2,0.2,MEK Hussey,AC Thomas,NA,M Vijay,0,0,0,0,NA,NA,NA
2,0.3,MEK Hussey,AC Thomas,NA,M Vijay,0,0,0,0,NA,NA,NA
2,0.4,MEK Hussey,AC Thomas,NA,M Vijay,0,0,0,0,NA,NA,NA
2,0.5,MEK Hussey,AC Thomas,NA,M Vijay,0,0,0,0,NA,NA,NA
2,0.6,MEK Hussey,AC Thomas,NA,M Vijay,0,0,0,0,NA,NA,NA
2,1.1,M Vijay,JE Taylor,NA,MEK Hussey,0,0,0,0,NA,NA,NA
2,1.2,M Vijay,JE Taylor,NA,MEK Hussey,0,0,0,0,NA,NA,NA
2,1.3,M Vijay,JE Taylor,NA,MEK Hussey,1,0,1,0,NA,NA,NA
2,1.4,MEK Hussey,JE Taylor,NA,M Vijay,0,0,0,0,NA,NA,NA
2,1.5,MEK Hussey,JE Taylor,NA,M Vijay,0,0,0,0,NA,NA,NA
2,1.6,MEK Hussey,JE Taylor,NA,M Vijay,1,0,1,0,NA,NA,NA
2,2.1,MEK Hussey,AC Thomas,1wides,M Vijay,0,1,1,0,NA,NA,NA
2,2.2,MEK Hussey,AC Thomas,NA,M Vijay,0,0,0,0,NA,NA,NA
2,2.3,MEK Hussey,AC Thomas,NA,M Vijay,2,0,2,0,NA,NA,NA
2,2.4,MEK Hussey,AC Thomas,NA,M Vijay,0,0,0,0,NA,NA,NA
2,2.5,MEK Hussey,AC Thomas,NA,M Vijay,1,0,1,0,NA,NA,NA
2,2.6,M Vijay,AC Thomas,NA,MEK Hussey,1,0,1,0,NA,NA,NA
2,2.7,MEK Hussey,AC Thomas,NA,M Vijay,4,0,4,0,NA,NA,NA
2,3.1,M Vijay,JE Taylor,1wides,MEK Hussey,0,1,1,0,NA,NA,NA
