innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,JD Ryder,JP Duminy,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,0.2,JD Ryder,JP Duminy,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,0.3,MK Pandey,JP Duminy,NA,JD Ryder,4,0,4,0,NA,NA,NA
1,0.4,MK Pandey,JP Duminy,NA,JD Ryder,1,0,1,0,NA,NA,NA
1,0.5,JD Ryder,JP Duminy,NA,MK Pandey,6,0,6,0,NA,NA,NA
1,0.6,JD Ryder,JP Duminy,NA,MK Pandey,2,0,2,0,NA,NA,NA
1,1.1,MK Pandey,DW Steyn,NA,JD Ryder,0,0,0,0,NA,NA,NA
1,1.2,MK Pandey,DW Steyn,NA,JD Ryder,1,0,1,0,NA,NA,NA
1,1.3,JD Ryder,DW Steyn,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,1.4,JD Ryder,DW Steyn,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,1.5,JD Ryder,DW Steyn,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,1.6,JD Ryder,DW Steyn,NA,MK Pandey,3,0,3,0,NA,NA,NA
1,2.1,JD Ryder,I Sharma,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,2.2,MK Pandey,I Sharma,NA,JD Ryder,4,0,4,0,NA,NA,NA
1,2.3,MK Pandey,I Sharma,NA,JD Ryder,0,0,0,0,NA,NA,NA
1,2.4,MK Pandey,I Sharma,NA,JD Ryder,2,0,2,0,NA,NA,NA
1,2.5,MK Pandey,I Sharma,NA,JD Ryder,0,0,0,0,NA,NA,NA
1,2.6,MK Pandey,I Sharma,NA,JD Ryder,0,0,0,0,NA,NA,NA
1,3.1,JD Ryder,DW Steyn,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,3.2,JD Ryder,DW Steyn,NA,MK Pandey,4,0,4,0,NA,NA,NA
1,3.3,JD Ryder,DW Steyn,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,3.4,JD Ryder,DW Steyn,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,3.5,MK Pandey,DW Steyn,NA,JD Ryder,1,0,1,0,NA,NA,NA
1,3.6,JD Ryder,DW Steyn,NA,MK Pandey,0,0,0,1,DB Ravi Teja,caught,JD Ryder
1,4.1,MK Pandey,I Sharma,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,4.2,MK Pandey,I Sharma,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,4.3,MK Pandey,I Sharma,NA,SC Ganguly,4,0,4,0,NA,NA,NA
1,4.4,MK Pandey,I Sharma,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,4.5,MK Pandey,I Sharma,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,4.6,MK Pandey,I Sharma,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,5.1,SC Ganguly,DT Christian,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,5.2,SC Ganguly,DT Christian,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,5.3,SC Ganguly,DT Christian,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,5.4,SC Ganguly,DT Christian,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,5.5,SC Ganguly,DT Christian,NA,MK Pandey,0,0,0,1,PP Ojha,caught,SC Ganguly
1,5.6,RV Uthappa,DT Christian,NA,MK Pandey,4,0,4,0,NA,NA,NA
1,6.1,MK Pandey,PP Ojha,NA,RV Uthappa,0,0,0,0,NA,NA,NA
