innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,RV Uthappa,IK Pathan,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,0.2,RV Uthappa,IK Pathan,NA,AJ Finch,2,0,2,0,NA,NA,NA
1,0.3,RV Uthappa,IK Pathan,NA,AJ Finch,4,0,4,0,NA,NA,NA
1,0.4,RV Uthappa,IK Pathan,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,0.5,RV Uthappa,IK Pathan,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,0.6,AJ Finch,IK Pathan,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,1.1,RV Uthappa,M Morkel,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,1.2,RV Uthappa,M Morkel,NA,AJ Finch,3,0,3,0,NA,NA,NA
1,1.3,AJ Finch,M Morkel,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,1.4,RV Uthappa,M Morkel,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,1.5,AJ Finch,M Morkel,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,1.6,AJ Finch,M Morkel,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,2.1,RV Uthappa,S Kaul,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,2.2,AJ Finch,S Kaul,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,2.3,AJ Finch,S Kaul,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,2.4,RV Uthappa,S Kaul,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,2.5,AJ Finch,S Kaul,NA,RV Uthappa,6,0,6,0,NA,NA,NA
1,2.6,AJ Finch,S Kaul,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,3.1,RV Uthappa,M Morkel,NA,AJ Finch,4,0,4,0,NA,NA,NA
1,3.2,RV Uthappa,M Morkel,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,3.3,AJ Finch,M Morkel,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,3.4,AJ Finch,M Morkel,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,3.5,AJ Finch,M Morkel,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,3.6,RV Uthappa,M Morkel,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,4.1,RV Uthappa,S Kaul,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,4.2,RV Uthappa,S Kaul,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,4.3,RV Uthappa,S Kaul,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,4.4,RV Uthappa,S Kaul,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,4.5,RV Uthappa,S Kaul,NA,AJ Finch,4,0,4,0,NA,NA,NA
1,4.6,RV Uthappa,S Kaul,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,5.1,RV Uthappa,UT Yadav,1wides,AJ Finch,0,1,1,0,NA,NA,NA
1,5.2,RV Uthappa,UT Yadav,NA,AJ Finch,0,0,0,1,DA Warner,caught,RV Uthappa
1,5.3,MK Pandey,UT Yadav,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,5.4,MK Pandey,UT Yadav,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,5.5,AJ Finch,UT Yadav,1legbyes,MK Pandey,0,1,1,0,NA,NA,NA
1,5.6,MK Pandey,UT Yadav,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,5.7,MK Pandey,UT Yadav,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,6.1,AJ Finch,IK Pathan,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,6.2,MK Pandey,IK Pathan,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,6.3,MK Pandey,IK Pathan,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,6.4,MK Pandey,IK Pathan,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,6.5,MK Pandey,IK Pathan,NA,AJ Finch,6,0,6,0,NA,NA,NA
1,6.6,MK Pandey,IK Pathan,1legbyes,AJ Finch,0,1,1,0,NA,NA,NA
1,7.1,MK Pandey,S Nadeem,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,7.2,AJ Finch,S Nadeem,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,7.3,AJ Finch,S Nadeem,NA,MK Pandey,2,0,2,0,NA,NA,NA
1,7.4,AJ Finch,S Nadeem,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,7.5,MK Pandey,S Nadeem,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,7.6,AJ Finch,S Nadeem,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,8.1,AJ Finch,UT Yadav,NA,MK Pandey,6,0,6,0,NA,NA,NA
1,8.2,AJ Finch,UT Yadav,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,8.3,AJ Finch,UT Yadav,NA,MK Pandey,6,0,6,0,NA,NA,NA
1,8.4,AJ Finch,UT Yadav,NA,MK Pandey,4,0,4,0,NA,NA,NA
1,8.5,AJ Finch,UT Yadav,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,8.6,MK Pandey,UT Yadav,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,9.1,AJ Finch,S Nadeem,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,9.2,MK Pandey,S Nadeem,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,9.3,AJ Finch,S Nadeem,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,9.4,MK Pandey,S Nadeem,NA,AJ Finch,0,0,0,1,NA,bowled,MK Pandey
1,9.5,Yuvraj Singh,S Nadeem,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,9.6,Yuvraj Singh,S Nadeem,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,10.1,AJ Finch,IK Pathan,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,10.2,AJ Finch,IK Pathan,NA,Yuvraj Singh,6,0,6,0,NA,NA,NA
1,10.3,AJ Finch,IK Pathan,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,10.4,AJ Finch,IK Pathan,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,10.5,AJ Finch,IK Pathan,NA,Yuvraj Singh,2,0,2,0,NA,NA,NA
1,10.6,AJ Finch,IK Pathan,NA,Yuvraj Singh,4,0,4,0,NA,NA,NA
1,11.1,Yuvraj Singh,S Kaul,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,11.2,AJ Finch,S Kaul,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,11.3,Yuvraj Singh,S Kaul,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,11.4,AJ Finch,S Kaul,NA,Yuvraj Singh,2,0,2,0,NA,NA,NA
