innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AC Gilchrist,AC Thomas,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,0.2,AC Gilchrist,AC Thomas,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,0.3,SE Marsh,AC Thomas,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,0.4,AC Gilchrist,AC Thomas,NA,SE Marsh,0,0,0,1,RV Uthappa,caught,AC Gilchrist
1,0.5,PC Valthaty,AC Thomas,NA,SE Marsh,2,0,2,0,NA,NA,NA
1,0.6,PC Valthaty,AC Thomas,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,1.1,SE Marsh,SB Wagh,1wides,PC Valthaty,0,1,1,0,NA,NA,NA
1,1.2,SE Marsh,SB Wagh,NA,PC Valthaty,0,0,0,0,NA,NA,NA
1,1.3,SE Marsh,SB Wagh,NA,PC Valthaty,0,0,0,1,R Sharma,caught,SE Marsh
1,1.4,KD Karthik,SB Wagh,NA,PC Valthaty,0,0,0,0,NA,NA,NA
1,1.5,KD Karthik,SB Wagh,NA,PC Valthaty,0,0,0,0,NA,NA,NA
1,1.6,KD Karthik,SB Wagh,NA,PC Valthaty,0,0,0,0,NA,NA,NA
1,1.7,KD Karthik,SB Wagh,NA,PC Valthaty,0,0,0,0,NA,NA,NA
1,2.1,PC Valthaty,AC Thomas,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,2.2,PC Valthaty,AC Thomas,NA,KD Karthik,4,0,4,0,NA,NA,NA
1,2.3,PC Valthaty,AC Thomas,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,2.4,PC Valthaty,AC Thomas,NA,KD Karthik,0,0,0,1,JD Ryder,caught,PC Valthaty
1,2.5,AM Nayar,AC Thomas,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,2.6,AM Nayar,AC Thomas,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,3.1,KD Karthik,SB Wagh,NA,AM Nayar,0,0,0,0,NA,NA,NA
1,3.2,KD Karthik,SB Wagh,NA,AM Nayar,0,0,0,0,NA,NA,NA
1,3.3,KD Karthik,SB Wagh,NA,AM Nayar,0,0,0,1,R Sharma,caught,KD Karthik
1,3.4,Sunny Singh,SB Wagh,NA,AM Nayar,4,0,4,0,NA,NA,NA
1,3.5,Sunny Singh,SB Wagh,NA,AM Nayar,4,0,4,0,NA,NA,NA
1,3.6,Sunny Singh,SB Wagh,NA,AM Nayar,0,0,0,0,NA,NA,NA
1,4.1,AM Nayar,WD Parnell,4legbyes,Sunny Singh,0,4,4,0,NA,NA,NA
1,4.2,AM Nayar,WD Parnell,NA,Sunny Singh,0,0,0,0,NA,NA,NA
1,4.3,AM Nayar,WD Parnell,NA,Sunny Singh,4,0,4,0,NA,NA,NA
1,4.4,AM Nayar,WD Parnell,NA,Sunny Singh,0,0,0,0,NA,NA,NA
1,4.5,AM Nayar,WD Parnell,NA,Sunny Singh,1,0,1,0,NA,NA,NA
1,4.6,Sunny Singh,WD Parnell,NA,AM Nayar,0,0,0,0,NA,NA,NA
1,5.1,AM Nayar,M Kartik,NA,Sunny Singh,0,0,0,0,NA,NA,NA
1,5.2,AM Nayar,M Kartik,NA,Sunny Singh,0,0,0,0,NA,NA,NA
1,5.3,AM Nayar,M Kartik,NA,Sunny Singh,4,0,4,0,NA,NA,NA
1,5.4,AM Nayar,M Kartik,1noballs,Sunny Singh,1,1,2,0,NA,NA,NA
1,5.5,Sunny Singh,M Kartik,NA,AM Nayar,4,0,4,0,NA,NA,NA
1,5.6,Sunny Singh,M Kartik,NA,AM Nayar,0,0,0,1,Yuvraj Singh,run out,Sunny Singh
1,6.1,AM Nayar,JD Ryder,NA,R McLaren,1,0,1,0,NA,NA,NA
1,6.2,R McLaren,JD Ryder,1wides,AM Nayar,0,1,1,0,NA,NA,NA
1,6.3,R McLaren,JD Ryder,NA,AM Nayar,1,0,1,0,NA,NA,NA
1,6.4,AM Nayar,JD Ryder,NA,R McLaren,1,0,1,0,NA,NA,NA
1,6.5,R McLaren,JD Ryder,NA,AM Nayar,1,0,1,0,NA,NA,NA
1,6.6,AM Nayar,JD Ryder,NA,R McLaren,0,0,0,0,NA,NA,NA
1,6.7,AM Nayar,JD Ryder,NA,R McLaren,0,0,0,0,NA,NA,NA
1,7.1,R McLaren,WD Parnell,NA,AM Nayar,4,0,4,0,NA,NA,NA
1,7.2,R McLaren,WD Parnell,NA,AM Nayar,0,0,0,0,NA,NA,NA
1,7.3,R McLaren,WD Parnell,NA,AM Nayar,0,0,0,0,NA,NA,NA
1,7.4,R McLaren,WD Parnell,NA,AM Nayar,0,0,0,0,NA,NA,NA
1,7.5,R McLaren,WD Parnell,NA,AM Nayar,0,0,0,0,NA,NA,NA
1,7.6,R McLaren,WD Parnell,NA,AM Nayar,0,0,0,0,NA,NA,NA
1,8.1,AM Nayar,JD Ryder,NA,R McLaren,0,0,0,0,NA,NA,NA
1,8.2,AM Nayar,JD Ryder,NA,R McLaren,0,0,0,0,NA,NA,NA
1,8.3,AM Nayar,JD Ryder,NA,R McLaren,0,0,0,1,Yuvraj Singh,caught,AM Nayar
1,8.4,PP Chawla,JD Ryder,NA,R McLaren,0,0,0,0,NA,NA,NA
1,8.5,PP Chawla,JD Ryder,NA,R McLaren,0,0,0,0,NA,NA,NA
1,8.6,PP Chawla,JD Ryder,NA,R McLaren,0,0,0,0,NA,NA,NA
1,9.1,R McLaren,WD Parnell,NA,PP Chawla,0,0,0,0,NA,NA,NA
1,9.2,R McLaren,WD Parnell,NA,PP Chawla,0,0,0,0,NA,NA,NA
1,9.3,R McLaren,WD Parnell,NA,PP Chawla,0,0,0,0,NA,NA,NA
1,9.4,R McLaren,WD Parnell,NA,PP Chawla,0,0,0,0,NA,NA,NA
1,9.5,R McLaren,WD Parnell,NA,PP Chawla,1,0,1,0,NA,NA,NA
1,9.6,PP Chawla,WD Parnell,NA,R McLaren,0,0,0,0,NA,NA,NA
1,10.1,R McLaren,JD Ryder,NA,PP Chawla,0,0,0,0,NA,NA,NA
1,10.2,R McLaren,JD Ryder,NA,PP Chawla,1,0,1,0,NA,NA,NA
1,10.3,PP Chawla,JD Ryder,NA,R McLaren,1,0,1,0,NA,NA,NA
1,10.4,R McLaren,JD Ryder,NA,PP Chawla,0,0,0,0,NA,NA,NA
1,10.5,R McLaren,JD Ryder,NA,PP Chawla,0,0,0,0,NA,NA,NA
1,10.6,R McLaren,JD Ryder,NA,PP Chawla,2,0,2,0,NA,NA,NA
1,11.1,PP Chawla,M Manhas,NA,R McLaren,1,0,1,0,NA,NA,NA
1,11.2,R McLaren,M Manhas,NA,PP Chawla,1,0,1,0,NA,NA,NA
1,11.3,PP Chawla,M Manhas,NA,R McLaren,0,0,0,0,NA,NA,NA
1,11.4,PP Chawla,M Manhas,NA,R McLaren,0,0,0,0,NA,NA,NA
1,11.5,PP Chawla,M Manhas,NA,R McLaren,0,0,0,0,NA,NA,NA
1,11.6,PP Chawla,M Manhas,NA,R McLaren,0,0,0,0,NA,NA,NA
1,12.1,R McLaren,R Sharma,NA,PP Chawla,0,0,0,0,NA,NA,NA
1,12.2,R McLaren,R Sharma,NA,PP Chawla,1,0,1,0,NA,NA,NA
1,12.3,PP Chawla,R Sharma,NA,R McLaren,2,0,2,0,NA,NA,NA
1,12.4,PP Chawla,R Sharma,NA,R McLaren,1,0,1,0,NA,NA,NA
1,12.5,R McLaren,R Sharma,NA,PP Chawla,1,0,1,0,NA,NA,NA
1,12.6,PP Chawla,R Sharma,NA,R McLaren,0,0,0,0,NA,NA,NA
1,13.1,R McLaren,M Manhas,NA,PP Chawla,1,0,1,0,NA,NA,NA
1,13.2,PP Chawla,M Manhas,NA,R McLaren,0,0,0,0,NA,NA,NA
1,13.3,PP Chawla,M Manhas,NA,R McLaren,1,0,1,0,NA,NA,NA
1,13.4,R McLaren,M Manhas,NA,PP Chawla,1,0,1,0,NA,NA,NA
1,13.5,PP Chawla,M Manhas,NA,R McLaren,1,0,1,0,NA,NA,NA
1,13.6,R McLaren,M Manhas,NA,PP Chawla,0,0,0,0,NA,NA,NA
1,14.1,PP Chawla,R Sharma,NA,R McLaren,0,0,0,0,NA,NA,NA
1,14.2,PP Chawla,R Sharma,NA,R McLaren,0,0,0,0,NA,NA,NA
1,14.3,PP Chawla,R Sharma,NA,R McLaren,2,0,2,0,NA,NA,NA
1,14.4,PP Chawla,R Sharma,NA,R McLaren,1,0,1,0,NA,NA,NA
