innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,BB McCullum,AC Thomas,NA,VVS Laxman,0,0,0,1,RV Uthappa,caught,BB McCullum
1,0.2,PA Patel,AC Thomas,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,0.3,PA Patel,AC Thomas,NA,VVS Laxman,4,0,4,0,NA,NA,NA
1,0.4,PA Patel,AC Thomas,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,0.5,PA Patel,AC Thomas,NA,VVS Laxman,4,0,4,0,NA,NA,NA
1,0.6,PA Patel,AC Thomas,NA,VVS Laxman,1,0,1,0,NA,NA,NA
1,1.1,PA Patel,SB Wagh,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,1.2,PA Patel,SB Wagh,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,1.3,PA Patel,SB Wagh,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,1.4,PA Patel,SB Wagh,NA,VVS Laxman,1,0,1,0,NA,NA,NA
1,1.5,VVS Laxman,SB Wagh,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.6,VVS Laxman,SB Wagh,NA,PA Patel,0,0,0,0,NA,NA,NA
1,2.1,PA Patel,WD Parnell,NA,VVS Laxman,1,0,1,0,NA,NA,NA
1,2.2,VVS Laxman,WD Parnell,NA,PA Patel,0,0,0,1,NA,bowled,VVS Laxman
1,2.3,DPMD Jayawardene,WD Parnell,NA,PA Patel,0,0,0,0,NA,NA,NA
1,2.4,DPMD Jayawardene,WD Parnell,NA,PA Patel,2,0,2,0,NA,NA,NA
1,2.5,DPMD Jayawardene,WD Parnell,NA,PA Patel,0,0,0,1,RV Uthappa,caught,DPMD Jayawardene
1,2.6,BJ Hodge,WD Parnell,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.1,PA Patel,SB Wagh,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,3.2,PA Patel,SB Wagh,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,3.3,PA Patel,SB Wagh,NA,BJ Hodge,4,0,4,0,NA,NA,NA
1,3.4,PA Patel,SB Wagh,NA,BJ Hodge,4,0,4,0,NA,NA,NA
1,3.5,PA Patel,SB Wagh,NA,BJ Hodge,1,0,1,0,NA,NA,NA
1,3.6,BJ Hodge,SB Wagh,NA,PA Patel,0,0,0,0,NA,NA,NA
1,4.1,PA Patel,WD Parnell,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,4.2,PA Patel,WD Parnell,NA,BJ Hodge,1,0,1,0,NA,NA,NA
1,4.3,BJ Hodge,WD Parnell,NA,PA Patel,1,0,1,0,NA,NA,NA
1,4.4,PA Patel,WD Parnell,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,4.5,PA Patel,WD Parnell,NA,BJ Hodge,0,0,0,1,GC Smith,caught,PA Patel
1,4.6,RA Jadeja,WD Parnell,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,5.1,BJ Hodge,AC Thomas,NA,RA Jadeja,0,0,0,0,NA,NA,NA
1,5.2,BJ Hodge,AC Thomas,NA,RA Jadeja,0,0,0,0,NA,NA,NA
