innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,BB McCullum,A Nehra,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,0.2,BB McCullum,A Nehra,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,0.3,BB McCullum,A Nehra,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,0.4,BB McCullum,A Nehra,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,0.5,BB McCullum,A Nehra,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,0.6,BB McCullum,A Nehra,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,1.1,G Gambhir,AG Murtaza,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,1.2,BB McCullum,AG Murtaza,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,1.3,BB McCullum,AG Murtaza,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,1.4,BB McCullum,AG Murtaza,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,1.5,G Gambhir,AG Murtaza,NA,BB McCullum,2,0,2,0,NA,NA,NA
1,1.6,G Gambhir,AG Murtaza,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,2.1,G Gambhir,WD Parnell,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,2.2,G Gambhir,WD Parnell,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,2.3,G Gambhir,WD Parnell,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,2.4,G Gambhir,WD Parnell,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,2.5,BB McCullum,WD Parnell,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,2.6,BB McCullum,WD Parnell,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,3.1,BB McCullum,AG Murtaza,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,3.2,BB McCullum,AG Murtaza,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,3.3,BB McCullum,AG Murtaza,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,3.4,BB McCullum,AG Murtaza,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,3.5,G Gambhir,AG Murtaza,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,3.6,G Gambhir,AG Murtaza,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,4.1,G Gambhir,WD Parnell,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,4.2,G Gambhir,WD Parnell,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,4.3,G Gambhir,WD Parnell,NA,BB McCullum,0,0,0,1,A Nehra,caught,G Gambhir
1,4.4,JH Kallis,WD Parnell,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,4.5,BB McCullum,WD Parnell,NA,JH Kallis,0,0,0,0,NA,NA,NA
1,4.6,BB McCullum,WD Parnell,NA,JH Kallis,0,0,0,0,NA,NA,NA
1,5.1,JH Kallis,B Kumar,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,5.2,JH Kallis,B Kumar,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,5.3,JH Kallis,B Kumar,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,5.4,JH Kallis,B Kumar,NA,BB McCullum,0,0,0,0,NA,NA,NA
