innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,RV Uthappa,MG Johnson,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,0.2,RV Uthappa,MG Johnson,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,0.3,RV Uthappa,MG Johnson,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,0.4,RV Uthappa,MG Johnson,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,0.5,AJ Finch,MG Johnson,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,0.6,AJ Finch,MG Johnson,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,1.1,RV Uthappa,AN Ahmed,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,1.2,AJ Finch,AN Ahmed,NA,RV Uthappa,2,0,2,0,NA,NA,NA
1,1.3,AJ Finch,AN Ahmed,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,1.4,AJ Finch,AN Ahmed,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,1.5,AJ Finch,AN Ahmed,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,1.6,AJ Finch,AN Ahmed,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,2.1,RV Uthappa,MG Johnson,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,2.2,AJ Finch,MG Johnson,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,2.3,AJ Finch,MG Johnson,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,2.4,AJ Finch,MG Johnson,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,2.5,AJ Finch,MG Johnson,NA,RV Uthappa,0,0,0,1,DR Smith,caught,AJ Finch
1,2.6,MK Pandey,MG Johnson,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,3.1,MK Pandey,AN Ahmed,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,3.2,MK Pandey,AN Ahmed,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,3.3,RV Uthappa,AN Ahmed,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,3.4,RV Uthappa,AN Ahmed,NA,MK Pandey,2,0,2,0,NA,NA,NA
1,3.5,RV Uthappa,AN Ahmed,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,3.6,MK Pandey,AN Ahmed,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,4.1,RV Uthappa,SL Malinga,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,4.2,MK Pandey,SL Malinga,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,4.3,RV Uthappa,SL Malinga,1noballs,MK Pandey,0,1,1,0,NA,NA,NA
1,4.4,RV Uthappa,SL Malinga,NA,MK Pandey,4,0,4,0,NA,NA,NA
1,4.5,RV Uthappa,SL Malinga,NA,MK Pandey,0,0,0,1,NA,lbw,RV Uthappa
1,4.6,Yuvraj Singh,SL Malinga,NA,MK Pandey,4,0,4,0,NA,NA,NA
1,4.7,Yuvraj Singh,SL Malinga,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,5.1,MK Pandey,AN Ahmed,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,5.2,MK Pandey,AN Ahmed,NA,Yuvraj Singh,2,0,2,0,NA,NA,NA
1,5.3,MK Pandey,AN Ahmed,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,5.4,MK Pandey,AN Ahmed,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,5.5,MK Pandey,AN Ahmed,NA,Yuvraj Singh,4,0,4,0,NA,NA,NA
1,5.6,MK Pandey,AN Ahmed,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,6.1,MK Pandey,PP Ojha,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,6.2,MK Pandey,PP Ojha,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
