innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,SC Ganguly,AA Chavan,1legbyes,MJ Clarke,0,1,1,0,NA,NA,NA
1,0.2,MJ Clarke,AA Chavan,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,0.3,SC Ganguly,AA Chavan,NA,MJ Clarke,0,0,0,0,NA,NA,NA
1,0.4,SC Ganguly,AA Chavan,1wides,MJ Clarke,0,1,1,0,NA,NA,NA
1,0.5,SC Ganguly,AA Chavan,1legbyes,MJ Clarke,0,1,1,0,NA,NA,NA
1,0.6,MJ Clarke,AA Chavan,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,0.7,SC Ganguly,AA Chavan,NA,MJ Clarke,1,0,1,0,NA,NA,NA
1,1.1,SC Ganguly,SW Tait,NA,MJ Clarke,0,0,0,0,NA,NA,NA
1,1.2,SC Ganguly,SW Tait,NA,MJ Clarke,1,0,1,0,NA,NA,NA
1,1.3,MJ Clarke,SW Tait,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,1.4,MJ Clarke,SW Tait,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,1.5,MJ Clarke,SW Tait,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,1.6,MJ Clarke,SW Tait,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,2.1,SC Ganguly,SR Watson,NA,MJ Clarke,0,0,0,0,NA,NA,NA
1,2.2,SC Ganguly,SR Watson,NA,MJ Clarke,2,0,2,0,NA,NA,NA
1,2.3,SC Ganguly,SR Watson,NA,MJ Clarke,1,0,1,0,NA,NA,NA
1,2.4,MJ Clarke,SR Watson,NA,SC Ganguly,4,0,4,0,NA,NA,NA
1,2.5,MJ Clarke,SR Watson,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,2.6,MJ Clarke,SR Watson,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,3.1,MJ Clarke,J Botha,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,3.2,MJ Clarke,J Botha,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,3.3,SC Ganguly,J Botha,NA,MJ Clarke,4,0,4,0,NA,NA,NA
1,3.4,SC Ganguly,J Botha,NA,MJ Clarke,2,0,2,0,NA,NA,NA
1,3.5,SC Ganguly,J Botha,NA,MJ Clarke,0,0,0,0,NA,NA,NA
1,3.6,SC Ganguly,J Botha,NA,MJ Clarke,0,0,0,0,NA,NA,NA
1,4.1,MJ Clarke,SR Watson,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,4.2,MJ Clarke,SR Watson,1legbyes,SC Ganguly,0,1,1,0,NA,NA,NA
1,4.3,SC Ganguly,SR Watson,NA,MJ Clarke,1,0,1,0,NA,NA,NA
1,4.4,MJ Clarke,SR Watson,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,4.5,SC Ganguly,SR Watson,NA,MJ Clarke,1,0,1,0,NA,NA,NA
1,4.6,MJ Clarke,SR Watson,NA,SC Ganguly,2,0,2,0,NA,NA,NA
1,5.1,SC Ganguly,SW Tait,NA,MJ Clarke,0,0,0,0,NA,NA,NA
1,5.2,SC Ganguly,SW Tait,NA,MJ Clarke,1,0,1,0,NA,NA,NA
1,5.3,MJ Clarke,SW Tait,1legbyes,SC Ganguly,0,1,1,0,NA,NA,NA
1,5.4,SC Ganguly,SW Tait,NA,MJ Clarke,0,0,0,1,AA Chavan,caught,SC Ganguly
1,5.5,MJ Clarke,SW Tait,NA,RV Uthappa,5,0,5,0,NA,NA,NA
1,5.6,RV Uthappa,SW Tait,NA,MJ Clarke,0,0,0,0,NA,NA,NA
1,6.1,MJ Clarke,STR Binny,NA,RV Uthappa,0,0,0,1,NA,lbw,MJ Clarke
1,6.2,AP Majumdar,STR Binny,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,6.3,AP Majumdar,STR Binny,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,6.4,RV Uthappa,STR Binny,NA,AP Majumdar,0,0,0,0,NA,NA,NA
1,6.5,RV Uthappa,STR Binny,NA,AP Majumdar,1,0,1,0,NA,NA,NA
1,6.6,AP Majumdar,STR Binny,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,7.1,AP Majumdar,SK Trivedi,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,7.2,RV Uthappa,SK Trivedi,1wides,AP Majumdar,0,1,1,0,NA,NA,NA
1,7.3,RV Uthappa,SK Trivedi,NA,AP Majumdar,1,0,1,0,NA,NA,NA
1,7.4,AP Majumdar,SK Trivedi,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,7.5,AP Majumdar,SK Trivedi,NA,RV Uthappa,2,0,2,0,NA,NA,NA
1,7.6,AP Majumdar,SK Trivedi,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,7.7,RV Uthappa,SK Trivedi,NA,AP Majumdar,1,0,1,0,NA,NA,NA
1,8.1,RV Uthappa,STR Binny,NA,AP Majumdar,1,0,1,0,NA,NA,NA
1,8.2,AP Majumdar,STR Binny,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,8.3,RV Uthappa,STR Binny,NA,AP Majumdar,0,0,0,0,NA,NA,NA
1,8.4,RV Uthappa,STR Binny,NA,AP Majumdar,2,0,2,0,NA,NA,NA
1,8.5,RV Uthappa,STR Binny,NA,AP Majumdar,1,0,1,0,NA,NA,NA
1,8.6,AP Majumdar,STR Binny,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,9.1,RV Uthappa,SK Trivedi,NA,AP Majumdar,1,0,1,0,NA,NA,NA
1,9.2,AP Majumdar,SK Trivedi,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,9.3,RV Uthappa,SK Trivedi,NA,AP Majumdar,1,0,1,0,NA,NA,NA
1,9.4,AP Majumdar,SK Trivedi,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,9.5,RV Uthappa,SK Trivedi,NA,AP Majumdar,1,0,1,0,NA,NA,NA
1,9.6,AP Majumdar,SK Trivedi,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,10.1,AP Majumdar,AA Chavan,NA,RV Uthappa,2,0,2,0,NA,NA,NA
1,10.2,AP Majumdar,AA Chavan,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,10.3,AP Majumdar,AA Chavan,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,10.4,AP Majumdar,AA Chavan,NA,RV Uthappa,6,0,6,0,NA,NA,NA
1,10.5,AP Majumdar,AA Chavan,NA,RV Uthappa,2,0,2,0,NA,NA,NA
1,10.6,AP Majumdar,AA Chavan,NA,RV Uthappa,6,0,6,0,NA,NA,NA
1,11.1,RV Uthappa,J Botha,NA,AP Majumdar,1,0,1,0,NA,NA,NA
1,11.2,AP Majumdar,J Botha,NA,RV Uthappa,4,0,4,0,NA,NA,NA
1,11.3,AP Majumdar,J Botha,NA,RV Uthappa,0,0,0,1,NA,bowled,AP Majumdar
1,11.4,SPD Smith,J Botha,NA,RV Uthappa,0,0,0,0,NA,NA,NA
1,11.5,SPD Smith,J Botha,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,11.6,RV Uthappa,J Botha,1legbyes,SPD Smith,0,1,1,0,NA,NA,NA
1,12.1,RV Uthappa,SW Tait,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,12.2,RV Uthappa,SW Tait,NA,SPD Smith,2,0,2,0,NA,NA,NA
1,12.3,RV Uthappa,SW Tait,1legbyes,SPD Smith,0,1,1,0,NA,NA,NA
1,12.4,SPD Smith,SW Tait,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,12.5,RV Uthappa,SW Tait,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,12.6,RV Uthappa,SW Tait,NA,SPD Smith,0,0,0,1,DH Yagnik,caught,RV Uthappa
1,13.1,SPD Smith,J Botha,NA,AD Mathews,0,0,0,0,NA,NA,NA
1,13.2,SPD Smith,J Botha,NA,AD Mathews,1,0,1,0,NA,NA,NA
1,13.3,AD Mathews,J Botha,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,13.4,SPD Smith,J Botha,NA,AD Mathews,1,0,1,0,NA,NA,NA
1,13.5,AD Mathews,J Botha,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,13.6,SPD Smith,J Botha,NA,AD Mathews,0,0,0,0,NA,NA,NA
1,14.1,AD Mathews,STR Binny,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,14.2,AD Mathews,STR Binny,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,14.3,AD Mathews,STR Binny,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,14.4,SPD Smith,STR Binny,NA,AD Mathews,1,0,1,0,NA,NA,NA
1,14.5,AD Mathews,STR Binny,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,14.6,SPD Smith,STR Binny,NA,AD Mathews,1,0,1,0,NA,NA,NA
1,15.1,SPD Smith,J Botha,NA,AD Mathews,4,0,4,0,NA,NA,NA
1,15.2,SPD Smith,J Botha,NA,AD Mathews,0,0,0,0,NA,NA,NA
1,15.3,SPD Smith,J Botha,NA,AD Mathews,0,0,0,0,NA,NA,NA
1,15.4,SPD Smith,J Botha,NA,AD Mathews,1,0,1,0,NA,NA,NA
1,15.5,AD Mathews,J Botha,NA,SPD Smith,2,0,2,0,NA,NA,NA
1,15.6,AD Mathews,J Botha,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,16.1,AD Mathews,SR Watson,NA,SPD Smith,2,0,2,0,NA,NA,NA
1,16.2,AD Mathews,SR Watson,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,16.3,SPD Smith,SR Watson,1wides,AD Mathews,0,1,1,0,NA,NA,NA
1,16.4,SPD Smith,SR Watson,NA,AD Mathews,1,0,1,0,NA,NA,NA
1,16.5,AD Mathews,SR Watson,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,16.6,AD Mathews,SR Watson,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,16.7,SPD Smith,SR Watson,NA,AD Mathews,1,0,1,0,NA,NA,NA
1,17.1,SPD Smith,SK Trivedi,NA,AD Mathews,1,0,1,1,OA Shah,run out,AD Mathews
1,17.2,SPD Smith,SK Trivedi,NA,M Manhas,1,0,1,0,NA,NA,NA
1,17.3,M Manhas,SK Trivedi,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,17.4,SPD Smith,SK Trivedi,NA,M Manhas,1,0,1,0,NA,NA,NA
1,17.5,M Manhas,SK Trivedi,NA,SPD Smith,2,0,2,0,NA,NA,NA
1,17.6,M Manhas,SK Trivedi,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,18.1,M Manhas,SR Watson,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,18.2,SPD Smith,SR Watson,NA,M Manhas,1,0,1,0,NA,NA,NA
1,18.3,M Manhas,SR Watson,NA,SPD Smith,4,0,4,0,NA,NA,NA
1,18.4,M Manhas,SR Watson,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,18.5,SPD Smith,SR Watson,1legbyes,M Manhas,0,1,1,0,NA,NA,NA
1,18.6,M Manhas,SR Watson,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,19.1,M Manhas,SW Tait,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,19.2,M Manhas,SW Tait,NA,SPD Smith,0,0,0,1,NA,bowled,M Manhas
1,19.3,WD Parnell,SW Tait,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,19.4,SPD Smith,SW Tait,NA,WD Parnell,0,0,0,0,NA,NA,NA
1,19.5,SPD Smith,SW Tait,NA,WD Parnell,1,0,1,0,NA,NA,NA
1,19.6,WD Parnell,SW Tait,NA,SPD Smith,1,0,1,0,NA,NA,NA
2,0.1,R Dravid,WD Parnell,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,0.2,R Dravid,WD Parnell,NA,AM Rahane,4,0,4,0,NA,NA,NA
2,0.3,R Dravid,WD Parnell,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,0.4,R Dravid,WD Parnell,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,0.5,R Dravid,WD Parnell,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,0.6,R Dravid,WD Parnell,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,1.1,AM Rahane,B Kumar,NA,R Dravid,0,0,0,0,NA,NA,NA
2,1.2,AM Rahane,B Kumar,NA,R Dravid,0,0,0,0,NA,NA,NA
2,1.3,AM Rahane,B Kumar,NA,R Dravid,0,0,0,1,SPD Smith,caught,AM Rahane
2,1.4,SR Watson,B Kumar,NA,R Dravid,1,0,1,0,NA,NA,NA
2,1.5,R Dravid,B Kumar,NA,SR Watson,0,0,0,0,NA,NA,NA
2,1.6,R Dravid,B Kumar,NA,SR Watson,0,0,0,0,NA,NA,NA
2,2.1,SR Watson,M Kartik,NA,R Dravid,0,0,0,0,NA,NA,NA
2,2.2,SR Watson,M Kartik,NA,R Dravid,6,0,6,0,NA,NA,NA
2,2.3,SR Watson,M Kartik,NA,R Dravid,0,0,0,0,NA,NA,NA
2,2.4,SR Watson,M Kartik,NA,R Dravid,4,0,4,0,NA,NA,NA
2,2.5,SR Watson,M Kartik,NA,R Dravid,0,0,0,0,NA,NA,NA
2,2.6,SR Watson,M Kartik,NA,R Dravid,6,0,6,0,NA,NA,NA
2,3.1,R Dravid,B Kumar,NA,SR Watson,1,0,1,0,NA,NA,NA
2,3.2,SR Watson,B Kumar,NA,R Dravid,0,0,0,0,NA,NA,NA
2,3.3,SR Watson,B Kumar,NA,R Dravid,4,0,4,0,NA,NA,NA
2,3.4,SR Watson,B Kumar,NA,R Dravid,1,0,1,0,NA,NA,NA
2,3.5,R Dravid,B Kumar,NA,SR Watson,2,0,2,0,NA,NA,NA
2,3.6,R Dravid,B Kumar,NA,SR Watson,0,0,0,0,NA,NA,NA
2,4.1,SR Watson,A Nehra,NA,R Dravid,0,0,0,0,NA,NA,NA
2,4.2,SR Watson,A Nehra,NA,R Dravid,1,0,1,0,NA,NA,NA
2,4.3,R Dravid,A Nehra,NA,SR Watson,4,0,4,0,NA,NA,NA
2,4.4,R Dravid,A Nehra,NA,SR Watson,1,0,1,0,NA,NA,NA
2,4.5,SR Watson,A Nehra,NA,R Dravid,4,0,4,0,NA,NA,NA
2,4.6,SR Watson,A Nehra,NA,R Dravid,2,0,2,0,NA,NA,NA
2,5.1,R Dravid,WD Parnell,NA,SR Watson,1,0,1,0,NA,NA,NA
2,5.2,SR Watson,WD Parnell,NA,R Dravid,1,0,1,0,NA,NA,NA
2,5.3,R Dravid,WD Parnell,NA,SR Watson,1,0,1,0,NA,NA,NA
2,5.4,SR Watson,WD Parnell,NA,R Dravid,4,0,4,0,NA,NA,NA
2,5.5,SR Watson,WD Parnell,NA,R Dravid,1,0,1,0,NA,NA,NA
2,5.6,R Dravid,WD Parnell,NA,SR Watson,0,0,0,1,MJ Clarke,caught,R Dravid
2,6.1,SR Watson,A Nehra,NA,AL Menaria,0,0,0,0,NA,NA,NA
2,6.2,SR Watson,A Nehra,NA,AL Menaria,1,0,1,0,NA,NA,NA
2,6.3,AL Menaria,A Nehra,NA,SR Watson,0,0,0,0,NA,NA,NA
2,6.4,AL Menaria,A Nehra,NA,SR Watson,4,0,4,0,NA,NA,NA
2,6.5,AL Menaria,A Nehra,NA,SR Watson,0,0,0,0,NA,NA,NA
2,6.6,AL Menaria,A Nehra,NA,SR Watson,0,0,0,0,NA,NA,NA
2,7.1,SR Watson,AD Mathews,NA,AL Menaria,0,0,0,0,NA,NA,NA
2,7.2,SR Watson,AD Mathews,NA,AL Menaria,1,0,1,0,NA,NA,NA
2,7.3,AL Menaria,AD Mathews,NA,SR Watson,0,0,0,0,NA,NA,NA
2,7.4,AL Menaria,AD Mathews,NA,SR Watson,0,0,0,0,NA,NA,NA
