innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,PA Patel,B Kumar,NA,Q de Kock,0,0,0,0,NA,NA,NA
1,0.2,PA Patel,B Kumar,NA,Q de Kock,1,0,1,0,NA,NA,NA
1,0.3,Q de Kock,B Kumar,NA,PA Patel,0,0,0,0,NA,NA,NA
1,0.4,Q de Kock,B Kumar,NA,PA Patel,0,0,0,0,NA,NA,NA
1,0.5,Q de Kock,B Kumar,NA,PA Patel,1,0,1,0,NA,NA,NA
1,0.6,PA Patel,B Kumar,NA,Q de Kock,0,0,0,0,NA,NA,NA
1,1.1,Q de Kock,AB Dinda,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.2,Q de Kock,AB Dinda,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.3,Q de Kock,AB Dinda,NA,PA Patel,1,0,1,0,NA,NA,NA
1,1.4,PA Patel,AB Dinda,NA,Q de Kock,1,0,1,0,NA,NA,NA
1,1.5,Q de Kock,AB Dinda,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.6,Q de Kock,AB Dinda,1wides,PA Patel,0,1,1,0,NA,NA,NA
1,1.7,Q de Kock,AB Dinda,NA,PA Patel,0,0,0,1,MR Marsh,caught,Q de Kock
1,2.1,PA Patel,B Kumar,NA,GH Vihari,4,0,4,0,NA,NA,NA
1,2.2,PA Patel,B Kumar,NA,GH Vihari,0,0,0,0,NA,NA,NA
1,2.3,PA Patel,B Kumar,NA,GH Vihari,4,0,4,0,NA,NA,NA
1,2.4,PA Patel,B Kumar,NA,GH Vihari,2,0,2,0,NA,NA,NA
1,2.5,PA Patel,B Kumar,NA,GH Vihari,0,0,0,1,NA,bowled,PA Patel
1,2.6,CL White,B Kumar,NA,GH Vihari,0,0,0,1,NA,bowled,CL White
1,3.1,GH Vihari,AB Dinda,NA,BB Samantray,0,0,0,0,NA,NA,NA
1,3.2,GH Vihari,AB Dinda,NA,BB Samantray,1,0,1,0,NA,NA,NA
1,3.3,BB Samantray,AB Dinda,NA,GH Vihari,0,0,0,0,NA,NA,NA
1,3.4,BB Samantray,AB Dinda,NA,GH Vihari,0,0,0,0,NA,NA,NA
1,3.5,BB Samantray,AB Dinda,NA,GH Vihari,0,0,0,0,NA,NA,NA
1,3.6,BB Samantray,AB Dinda,NA,GH Vihari,0,0,0,0,NA,NA,NA
1,4.1,GH Vihari,B Kumar,NA,BB Samantray,0,0,0,0,NA,NA,NA
1,4.2,GH Vihari,B Kumar,1wides,BB Samantray,0,1,1,0,NA,NA,NA
1,4.3,GH Vihari,B Kumar,NA,BB Samantray,0,0,0,0,NA,NA,NA
1,4.4,GH Vihari,B Kumar,NA,BB Samantray,0,0,0,0,NA,NA,NA
1,4.5,GH Vihari,B Kumar,NA,BB Samantray,0,0,0,0,NA,NA,NA
1,4.6,GH Vihari,B Kumar,NA,BB Samantray,0,0,0,0,NA,NA,NA
1,4.7,GH Vihari,B Kumar,NA,BB Samantray,0,0,0,1,AJ Finch,caught,GH Vihari
1,5.1,BB Samantray,AD Mathews,NA,KV Sharma,0,0,0,0,NA,NA,NA
1,5.2,BB Samantray,AD Mathews,NA,KV Sharma,0,0,0,0,NA,NA,NA
1,5.3,BB Samantray,AD Mathews,NA,KV Sharma,2,0,2,0,NA,NA,NA
1,5.4,BB Samantray,AD Mathews,NA,KV Sharma,4,0,4,0,NA,NA,NA
1,5.5,BB Samantray,AD Mathews,NA,KV Sharma,1,0,1,0,NA,NA,NA
1,5.6,KV Sharma,AD Mathews,NA,BB Samantray,1,0,1,0,NA,NA,NA
1,6.1,KV Sharma,B Kumar,NA,BB Samantray,2,0,2,0,NA,NA,NA
1,6.2,KV Sharma,B Kumar,NA,BB Samantray,0,0,0,0,NA,NA,NA
1,6.3,KV Sharma,B Kumar,NA,BB Samantray,0,0,0,0,NA,NA,NA
