innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,PA Patel,Sohail Tanvir,NA,SP Fleming,0,0,0,1,NA,lbw,PA Patel
1,0.2,S Vidyut,Sohail Tanvir,NA,SP Fleming,0,0,0,0,NA,NA,NA
1,0.3,S Vidyut,Sohail Tanvir,NA,SP Fleming,1,0,1,0,NA,NA,NA
1,0.4,SP Fleming,Sohail Tanvir,NA,S Vidyut,0,0,0,0,NA,NA,NA
1,0.5,SP Fleming,Sohail Tanvir,NA,S Vidyut,0,0,0,1,NA,lbw,SP Fleming
1,0.6,SK Raina,Sohail Tanvir,NA,S Vidyut,0,0,0,0,NA,NA,NA
1,1.1,S Vidyut,SR Watson,NA,SK Raina,4,0,4,0,NA,NA,NA
1,1.2,S Vidyut,SR Watson,NA,SK Raina,0,0,0,0,NA,NA,NA
1,1.3,S Vidyut,SR Watson,NA,SK Raina,0,0,0,0,NA,NA,NA
1,1.4,S Vidyut,SR Watson,1wides,SK Raina,0,1,1,0,NA,NA,NA
1,1.5,S Vidyut,SR Watson,NA,SK Raina,0,0,0,0,NA,NA,NA
1,1.6,S Vidyut,SR Watson,NA,SK Raina,0,0,0,0,NA,NA,NA
1,1.7,S Vidyut,SR Watson,4byes,SK Raina,0,4,4,0,NA,NA,NA
1,2.1,SK Raina,Sohail Tanvir,NA,S Vidyut,0,0,0,0,NA,NA,NA
1,2.2,SK Raina,Sohail Tanvir,NA,S Vidyut,0,0,0,0,NA,NA,NA
1,2.3,SK Raina,Sohail Tanvir,NA,S Vidyut,1,0,1,0,NA,NA,NA
1,2.4,S Vidyut,Sohail Tanvir,NA,SK Raina,0,0,0,0,NA,NA,NA
1,2.5,S Vidyut,Sohail Tanvir,NA,SK Raina,0,0,0,1,SK Warne,caught,S Vidyut
1,2.6,S Badrinath,Sohail Tanvir,1legbyes,SK Raina,0,1,1,0,NA,NA,NA
1,3.1,S Badrinath,MM Patel,NA,SK Raina,0,0,0,0,NA,NA,NA
1,3.2,S Badrinath,MM Patel,NA,SK Raina,0,0,0,0,NA,NA,NA
1,3.3,S Badrinath,MM Patel,NA,SK Raina,0,0,0,0,NA,NA,NA
1,3.4,S Badrinath,MM Patel,NA,SK Raina,0,0,0,0,NA,NA,NA
1,3.5,S Badrinath,MM Patel,NA,SK Raina,4,0,4,0,NA,NA,NA
1,3.6,S Badrinath,MM Patel,NA,SK Raina,0,0,0,0,NA,NA,NA
1,4.1,SK Raina,SK Trivedi,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,4.2,SK Raina,SK Trivedi,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,4.3,S Badrinath,SK Trivedi,NA,SK Raina,0,0,0,0,NA,NA,NA
1,4.4,S Badrinath,SK Trivedi,NA,SK Raina,3,0,3,0,NA,NA,NA
1,4.5,SK Raina,SK Trivedi,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,4.6,SK Raina,SK Trivedi,NA,S Badrinath,2,0,2,0,NA,NA,NA
1,5.1,S Badrinath,SR Watson,NA,SK Raina,4,0,4,0,NA,NA,NA
1,5.2,S Badrinath,SR Watson,NA,SK Raina,0,0,0,0,NA,NA,NA
1,5.3,S Badrinath,SR Watson,NA,SK Raina,0,0,0,0,NA,NA,NA
1,5.4,S Badrinath,SR Watson,NA,SK Raina,4,0,4,0,NA,NA,NA
1,5.5,S Badrinath,SR Watson,NA,SK Raina,0,0,0,1,NA,caught and bowled,S Badrinath
1,5.6,MS Dhoni,SR Watson,NA,SK Raina,0,0,0,0,NA,NA,NA
1,6.1,SK Raina,MM Patel,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,6.2,MS Dhoni,MM Patel,NA,SK Raina,1,0,1,0,NA,NA,NA
1,6.3,SK Raina,MM Patel,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,6.4,SK Raina,MM Patel,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,6.5,MS Dhoni,MM Patel,NA,SK Raina,0,0,0,0,NA,NA,NA
1,6.6,MS Dhoni,MM Patel,NA,SK Raina,0,0,0,0,NA,NA,NA
1,7.1,SK Raina,SK Warne,NA,MS Dhoni,2,0,2,0,NA,NA,NA
1,7.2,SK Raina,SK Warne,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,7.3,MS Dhoni,SK Warne,NA,SK Raina,0,0,0,0,NA,NA,NA
1,7.4,MS Dhoni,SK Warne,NA,SK Raina,0,0,0,0,NA,NA,NA
