innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AC Gilchrist,Sohail Tanvir,NA,HH Gibbs,4,0,4,0,NA,NA,NA
1,0.2,AC Gilchrist,Sohail Tanvir,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,0.3,AC Gilchrist,Sohail Tanvir,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,0.4,AC Gilchrist,Sohail Tanvir,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,0.5,AC Gilchrist,Sohail Tanvir,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,0.6,AC Gilchrist,Sohail Tanvir,NA,HH Gibbs,4,0,4,0,NA,NA,NA
1,1.1,HH Gibbs,SR Watson,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,1.2,HH Gibbs,SR Watson,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,1.3,AC Gilchrist,SR Watson,1noballs,HH Gibbs,0,1,1,0,NA,NA,NA
1,1.4,AC Gilchrist,SR Watson,1legbyes,HH Gibbs,0,1,1,0,NA,NA,NA
1,1.5,HH Gibbs,SR Watson,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,1.6,HH Gibbs,SR Watson,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,1.7,AC Gilchrist,SR Watson,NA,HH Gibbs,1,0,1,0,NA,NA,NA
1,2.1,AC Gilchrist,Sohail Tanvir,NA,HH Gibbs,4,0,4,0,NA,NA,NA
1,2.2,AC Gilchrist,Sohail Tanvir,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,2.3,AC Gilchrist,Sohail Tanvir,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,2.4,AC Gilchrist,Sohail Tanvir,NA,HH Gibbs,4,0,4,0,NA,NA,NA
1,2.5,AC Gilchrist,Sohail Tanvir,NA,HH Gibbs,4,0,4,0,NA,NA,NA
1,2.6,AC Gilchrist,Sohail Tanvir,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,3.1,HH Gibbs,MM Patel,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,3.2,HH Gibbs,MM Patel,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,3.3,AC Gilchrist,MM Patel,NA,HH Gibbs,1,0,1,0,NA,NA,NA
1,3.4,HH Gibbs,MM Patel,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,3.5,HH Gibbs,MM Patel,NA,AC Gilchrist,2,0,2,0,NA,NA,NA
1,3.6,HH Gibbs,MM Patel,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,4.1,AC Gilchrist,SR Watson,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,4.2,AC Gilchrist,SR Watson,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,4.3,AC Gilchrist,SR Watson,NA,HH Gibbs,6,0,6,0,NA,NA,NA
1,4.4,AC Gilchrist,SR Watson,NA,HH Gibbs,1,0,1,0,NA,NA,NA
1,4.5,HH Gibbs,SR Watson,NA,AC Gilchrist,4,0,4,0,NA,NA,NA
1,4.6,HH Gibbs,SR Watson,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,5.1,HH Gibbs,MM Patel,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,5.2,AC Gilchrist,MM Patel,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,5.3,AC Gilchrist,MM Patel,NA,HH Gibbs,4,0,4,0,NA,NA,NA
1,5.4,AC Gilchrist,MM Patel,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,5.5,AC Gilchrist,MM Patel,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,5.6,AC Gilchrist,MM Patel,NA,HH Gibbs,4,0,4,0,NA,NA,NA
1,6.1,HH Gibbs,SK Warne,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,6.2,HH Gibbs,SK Warne,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,6.3,HH Gibbs,SK Warne,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
1,6.4,HH Gibbs,SK Warne,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,6.5,AC Gilchrist,SK Warne,NA,HH Gibbs,1,0,1,0,NA,NA,NA
1,6.6,HH Gibbs,SK Warne,NA,AC Gilchrist,2,0,2,0,NA,NA,NA
1,7.1,AC Gilchrist,MM Patel,NA,HH Gibbs,0,0,0,0,NA,NA,NA
1,7.2,AC Gilchrist,MM Patel,NA,HH Gibbs,1,0,1,0,NA,NA,NA
1,7.3,HH Gibbs,MM Patel,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,7.4,AC Gilchrist,MM Patel,NA,HH Gibbs,1,0,1,0,NA,NA,NA
1,7.5,HH Gibbs,MM Patel,NA,AC Gilchrist,4,0,4,0,NA,NA,NA
1,7.6,HH Gibbs,MM Patel,NA,AC Gilchrist,0,0,0,1,M Rawat,caught,HH Gibbs
1,8.1,AC Gilchrist,SK Warne,NA,SB Styris,1,0,1,0,NA,NA,NA
1,8.2,SB Styris,SK Warne,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,8.3,AC Gilchrist,SK Warne,NA,SB Styris,1,0,1,0,NA,NA,NA
1,8.4,SB Styris,SK Warne,NA,AC Gilchrist,1,0,1,0,NA,NA,NA
1,8.5,AC Gilchrist,SK Warne,NA,SB Styris,1,0,1,0,NA,NA,NA
1,8.6,SB Styris,SK Warne,NA,AC Gilchrist,0,0,0,0,NA,NA,NA
