innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,G Gambhir,AD Mascarenhas,NA,V Sehwag,4,0,4,0,NA,NA,NA
1,0.2,G Gambhir,AD Mascarenhas,NA,V Sehwag,3,0,3,0,NA,NA,NA
1,0.3,V Sehwag,AD Mascarenhas,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,0.4,V Sehwag,AD Mascarenhas,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,0.5,G Gambhir,AD Mascarenhas,NA,V Sehwag,4,0,4,0,NA,NA,NA
1,0.6,G Gambhir,AD Mascarenhas,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,1.1,V Sehwag,SR Watson,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,1.2,V Sehwag,SR Watson,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,1.3,G Gambhir,SR Watson,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,1.4,G Gambhir,SR Watson,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,1.5,G Gambhir,SR Watson,NA,V Sehwag,2,0,2,0,NA,NA,NA
1,1.6,G Gambhir,SR Watson,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,2.1,V Sehwag,AD Mascarenhas,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,2.2,G Gambhir,AD Mascarenhas,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,2.3,V Sehwag,AD Mascarenhas,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,2.4,V Sehwag,AD Mascarenhas,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,2.5,V Sehwag,AD Mascarenhas,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,2.6,G Gambhir,AD Mascarenhas,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,3.1,G Gambhir,SR Watson,NA,V Sehwag,4,0,4,0,NA,NA,NA
1,3.2,G Gambhir,SR Watson,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,3.3,V Sehwag,SR Watson,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,3.4,V Sehwag,SR Watson,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,3.5,V Sehwag,SR Watson,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,3.6,V Sehwag,SR Watson,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,4.1,V Sehwag,MM Patel,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,4.2,G Gambhir,MM Patel,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,4.3,V Sehwag,MM Patel,1wides,G Gambhir,0,1,1,0,NA,NA,NA
1,4.4,V Sehwag,MM Patel,NA,G Gambhir,4,0,4,0,NA,NA,NA
1,4.5,V Sehwag,MM Patel,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,4.6,G Gambhir,MM Patel,1legbyes,V Sehwag,0,1,1,0,NA,NA,NA
1,4.7,V Sehwag,MM Patel,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,5.1,V Sehwag,SR Watson,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,5.2,V Sehwag,SR Watson,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,5.3,G Gambhir,SR Watson,NA,V Sehwag,4,0,4,0,NA,NA,NA
1,5.4,G Gambhir,SR Watson,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,5.5,V Sehwag,SR Watson,2legbyes,G Gambhir,0,2,2,0,NA,NA,NA
1,5.6,V Sehwag,SR Watson,NA,G Gambhir,0,0,0,1,M Kaif,caught,V Sehwag
1,6.1,G Gambhir,MM Patel,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,6.2,S Dhawan,MM Patel,NA,G Gambhir,2,0,2,0,NA,NA,NA
1,6.3,S Dhawan,MM Patel,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,6.4,G Gambhir,MM Patel,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,6.5,G Gambhir,MM Patel,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,6.6,S Dhawan,MM Patel,NA,G Gambhir,0,0,0,1,MM Patel,run out,S Dhawan
1,7.1,AB de Villiers,SK Trivedi,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,7.2,G Gambhir,SK Trivedi,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,7.3,AB de Villiers,SK Trivedi,NA,G Gambhir,2,0,2,0,NA,NA,NA
1,7.4,AB de Villiers,SK Trivedi,NA,G Gambhir,0,0,0,0,NA,NA,NA
1,7.5,AB de Villiers,SK Trivedi,NA,G Gambhir,2,0,2,0,NA,NA,NA
1,7.6,AB de Villiers,SK Trivedi,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,8.1,AB de Villiers,SK Warne,NA,G Gambhir,1,0,1,0,NA,NA,NA
1,8.2,G Gambhir,SK Warne,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,8.3,AB de Villiers,SK Warne,NA,G Gambhir,0,0,0,0,NA,NA,NA
