innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,R Dravid,P Kumar,NA,AM Rahane,2,0,2,0,NA,NA,NA
1,0.2,R Dravid,P Kumar,1legbyes,AM Rahane,0,1,1,0,NA,NA,NA
1,0.3,AM Rahane,P Kumar,1wides,R Dravid,0,1,1,0,NA,NA,NA
1,0.4,AM Rahane,P Kumar,NA,R Dravid,0,0,0,0,NA,NA,NA
1,0.5,AM Rahane,P Kumar,NA,R Dravid,0,0,0,0,NA,NA,NA
1,0.6,AM Rahane,P Kumar,NA,R Dravid,1,0,1,0,NA,NA,NA
1,0.7,R Dravid,P Kumar,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.1,AM Rahane,JP Faulkner,NA,R Dravid,0,0,0,0,NA,NA,NA
1,1.2,AM Rahane,JP Faulkner,NA,R Dravid,4,0,4,0,NA,NA,NA
1,1.3,AM Rahane,JP Faulkner,NA,R Dravid,4,0,4,0,NA,NA,NA
1,1.4,AM Rahane,JP Faulkner,NA,R Dravid,1,0,1,0,NA,NA,NA
1,1.5,R Dravid,JP Faulkner,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.6,R Dravid,JP Faulkner,NA,AM Rahane,2,0,2,0,NA,NA,NA
1,2.1,AM Rahane,P Kumar,NA,R Dravid,0,0,0,0,NA,NA,NA
1,2.2,AM Rahane,P Kumar,NA,R Dravid,4,0,4,0,NA,NA,NA
1,2.3,AM Rahane,P Kumar,NA,R Dravid,4,0,4,0,NA,NA,NA
1,2.4,AM Rahane,P Kumar,NA,R Dravid,4,0,4,0,NA,NA,NA
1,2.5,AM Rahane,P Kumar,NA,R Dravid,0,0,0,0,NA,NA,NA
1,2.6,AM Rahane,P Kumar,NA,R Dravid,4,0,4,0,NA,NA,NA
1,3.1,R Dravid,JP Faulkner,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,3.2,R Dravid,JP Faulkner,NA,AM Rahane,2,0,2,0,NA,NA,NA
1,3.3,R Dravid,JP Faulkner,1legbyes,AM Rahane,0,1,1,0,NA,NA,NA
1,3.4,AM Rahane,JP Faulkner,1legbyes,R Dravid,0,1,1,0,NA,NA,NA
1,3.5,R Dravid,JP Faulkner,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,3.6,AM Rahane,JP Faulkner,1wides,R Dravid,0,1,1,0,NA,NA,NA
1,3.7,AM Rahane,JP Faulkner,NA,R Dravid,0,0,0,0,NA,NA,NA
1,4.1,R Dravid,PP Chawla,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,4.2,R Dravid,PP Chawla,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,4.3,AM Rahane,PP Chawla,NA,R Dravid,0,0,0,0,NA,NA,NA
1,4.4,AM Rahane,PP Chawla,NA,R Dravid,0,0,0,0,NA,NA,NA
1,4.5,AM Rahane,PP Chawla,NA,R Dravid,4,0,4,0,NA,NA,NA
1,4.6,AM Rahane,PP Chawla,NA,R Dravid,1,0,1,0,NA,NA,NA
1,5.1,AM Rahane,P Kumar,NA,R Dravid,1,0,1,0,NA,NA,NA
1,5.2,R Dravid,P Kumar,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,5.3,AM Rahane,P Kumar,NA,R Dravid,1,0,1,0,NA,NA,NA
1,5.4,R Dravid,P Kumar,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,5.5,R Dravid,P Kumar,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,5.6,AM Rahane,P Kumar,NA,R Dravid,1,0,1,0,NA,NA,NA
1,6.1,AM Rahane,Bipul Sharma,NA,R Dravid,0,0,0,0,NA,NA,NA
1,6.2,AM Rahane,Bipul Sharma,NA,R Dravid,0,0,0,0,NA,NA,NA
1,6.3,AM Rahane,Bipul Sharma,NA,R Dravid,0,0,0,0,NA,NA,NA
1,6.4,AM Rahane,Bipul Sharma,NA,R Dravid,1,0,1,0,NA,NA,NA
1,6.5,R Dravid,Bipul Sharma,NA,AM Rahane,2,0,2,0,NA,NA,NA
1,6.6,R Dravid,Bipul Sharma,1legbyes,AM Rahane,0,1,1,0,NA,NA,NA
1,7.1,R Dravid,Harmeet Singh,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,7.2,R Dravid,Harmeet Singh,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,7.3,R Dravid,Harmeet Singh,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,7.4,R Dravid,Harmeet Singh,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,7.5,AM Rahane,Harmeet Singh,1wides,R Dravid,0,1,1,0,NA,NA,NA
1,7.6,AM Rahane,Harmeet Singh,NA,R Dravid,0,0,0,0,NA,NA,NA
1,7.7,AM Rahane,Harmeet Singh,NA,R Dravid,1,0,1,0,NA,NA,NA
1,8.1,AM Rahane,Bipul Sharma,NA,R Dravid,0,0,0,0,NA,NA,NA
1,8.2,AM Rahane,Bipul Sharma,NA,R Dravid,1,0,1,0,NA,NA,NA
1,8.3,R Dravid,Bipul Sharma,NA,AM Rahane,2,0,2,0,NA,NA,NA
1,8.4,R Dravid,Bipul Sharma,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,8.5,AM Rahane,Bipul Sharma,NA,R Dravid,1,0,1,0,NA,NA,NA
1,8.6,R Dravid,Bipul Sharma,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,9.1,AM Rahane,Harmeet Singh,NA,R Dravid,2,0,2,0,NA,NA,NA
1,9.2,AM Rahane,Harmeet Singh,1wides,R Dravid,0,1,1,0,NA,NA,NA
1,9.3,AM Rahane,Harmeet Singh,NA,R Dravid,1,0,1,0,NA,NA,NA
1,9.4,R Dravid,Harmeet Singh,NA,AM Rahane,0,0,0,1,JP Faulkner,caught,R Dravid
1,9.5,AM Rahane,Harmeet Singh,NA,AL Menaria,0,0,0,0,NA,NA,NA
1,9.6,AM Rahane,Harmeet Singh,NA,AL Menaria,4,0,4,0,NA,NA,NA
1,9.7,AM Rahane,Harmeet Singh,NA,AL Menaria,1,0,1,0,NA,NA,NA
1,10.1,AM Rahane,PP Chawla,NA,AL Menaria,4,0,4,0,NA,NA,NA
1,10.2,AM Rahane,PP Chawla,NA,AL Menaria,1,0,1,0,NA,NA,NA
1,10.3,AL Menaria,PP Chawla,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,10.4,AL Menaria,PP Chawla,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,10.5,AL Menaria,PP Chawla,NA,AM Rahane,0,0,0,1,NA,bowled,AL Menaria
1,10.6,BJ Hodge,PP Chawla,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,11.1,BJ Hodge,Bipul Sharma,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,11.2,AM Rahane,Bipul Sharma,1wides,BJ Hodge,0,1,1,0,NA,NA,NA
1,11.3,AM Rahane,Bipul Sharma,NA,BJ Hodge,1,0,1,0,NA,NA,NA
1,11.4,BJ Hodge,Bipul Sharma,NA,AM Rahane,2,0,2,0,NA,NA,NA
1,11.5,BJ Hodge,Bipul Sharma,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,11.6,AM Rahane,Bipul Sharma,NA,BJ Hodge,1,0,1,0,NA,NA,NA
1,11.7,BJ Hodge,Bipul Sharma,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,12.1,AM Rahane,PP Chawla,NA,BJ Hodge,4,0,4,0,NA,NA,NA
1,12.2,AM Rahane,PP Chawla,NA,BJ Hodge,1,0,1,0,NA,NA,NA
1,12.3,BJ Hodge,PP Chawla,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,12.4,AM Rahane,PP Chawla,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,12.5,AM Rahane,PP Chawla,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,12.6,AM Rahane,PP Chawla,NA,BJ Hodge,1,0,1,0,NA,NA,NA
1,13.1,AM Rahane,PC Valthaty,NA,BJ Hodge,1,0,1,0,NA,NA,NA
1,13.2,BJ Hodge,PC Valthaty,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,13.3,BJ Hodge,PC Valthaty,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,13.4,AM Rahane,PC Valthaty,NA,BJ Hodge,6,0,6,0,NA,NA,NA
1,13.5,AM Rahane,PC Valthaty,NA,BJ Hodge,4,0,4,0,NA,NA,NA
1,13.6,AM Rahane,PC Valthaty,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,14.1,BJ Hodge,Bipul Sharma,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,14.2,BJ Hodge,Bipul Sharma,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,14.3,AM Rahane,Bipul Sharma,NA,BJ Hodge,1,0,1,0,NA,NA,NA
1,14.4,BJ Hodge,Bipul Sharma,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,14.5,AM Rahane,Bipul Sharma,5wides,BJ Hodge,0,5,5,0,NA,NA,NA
1,14.6,AM Rahane,Bipul Sharma,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,14.7,AM Rahane,Bipul Sharma,NA,BJ Hodge,1,0,1,0,NA,NA,NA
1,15.1,AM Rahane,Harmeet Singh,NA,BJ Hodge,4,0,4,0,NA,NA,NA
1,15.2,AM Rahane,Harmeet Singh,NA,BJ Hodge,1,0,1,0,NA,NA,NA
1,15.3,BJ Hodge,Harmeet Singh,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,15.4,BJ Hodge,Harmeet Singh,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,15.5,AM Rahane,Harmeet Singh,NA,BJ Hodge,4,0,4,0,NA,NA,NA
1,15.6,AM Rahane,Harmeet Singh,NA,BJ Hodge,1,0,1,0,NA,NA,NA
1,16.1,AM Rahane,PP Chawla,NA,BJ Hodge,1,0,1,0,NA,NA,NA
1,16.2,BJ Hodge,PP Chawla,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,16.3,AM Rahane,PP Chawla,NA,BJ Hodge,4,0,4,0,NA,NA,NA
1,16.4,AM Rahane,PP Chawla,NA,BJ Hodge,4,0,4,0,NA,NA,NA
1,16.5,AM Rahane,PP Chawla,NA,BJ Hodge,4,0,4,0,NA,NA,NA
1,16.6,AM Rahane,PP Chawla,4legbyes,BJ Hodge,0,4,4,0,NA,NA,NA
