innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,DPMD Jayawardene,A Singh,NA,VVS Laxman,1,0,1,0,NA,NA,NA
1,0.2,VVS Laxman,A Singh,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,0.3,VVS Laxman,A Singh,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,0.4,VVS Laxman,A Singh,4legbyes,DPMD Jayawardene,0,4,4,0,NA,NA,NA
1,0.5,VVS Laxman,A Singh,NA,DPMD Jayawardene,4,0,4,0,NA,NA,NA
1,0.6,VVS Laxman,A Singh,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,1.1,DPMD Jayawardene,SR Watson,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,1.2,DPMD Jayawardene,SR Watson,NA,VVS Laxman,1,0,1,0,NA,NA,NA
1,1.3,VVS Laxman,SR Watson,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,1.4,VVS Laxman,SR Watson,1byes,DPMD Jayawardene,0,1,1,0,NA,NA,NA
1,1.5,DPMD Jayawardene,SR Watson,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,1.6,DPMD Jayawardene,SR Watson,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,2.1,VVS Laxman,A Singh,NA,DPMD Jayawardene,2,0,2,0,NA,NA,NA
1,2.2,VVS Laxman,A Singh,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,2.3,DPMD Jayawardene,A Singh,1wides,VVS Laxman,0,1,1,0,NA,NA,NA
1,2.4,DPMD Jayawardene,A Singh,NA,VVS Laxman,4,0,4,0,NA,NA,NA
1,2.5,DPMD Jayawardene,A Singh,NA,VVS Laxman,1,0,1,0,NA,NA,NA
1,2.6,VVS Laxman,A Singh,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,2.7,DPMD Jayawardene,A Singh,NA,VVS Laxman,1,0,1,0,NA,NA,NA
1,3.1,DPMD Jayawardene,SR Watson,NA,VVS Laxman,0,0,0,0,NA,NA,NA
1,3.2,DPMD Jayawardene,SR Watson,NA,VVS Laxman,4,0,4,0,NA,NA,NA
1,3.3,DPMD Jayawardene,SR Watson,NA,VVS Laxman,0,0,0,1,R Dravid,run out,VVS Laxman
1,3.4,PA Patel,SR Watson,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,3.5,PA Patel,SR Watson,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,3.6,DPMD Jayawardene,SR Watson,NA,PA Patel,1,0,1,0,NA,NA,NA
1,4.1,DPMD Jayawardene,J Botha,NA,PA Patel,0,0,0,1,NA,bowled,DPMD Jayawardene
1,4.2,BJ Hodge,J Botha,NA,PA Patel,1,0,1,0,NA,NA,NA
1,4.3,PA Patel,J Botha,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,4.4,PA Patel,J Botha,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,4.5,PA Patel,J Botha,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,4.6,PA Patel,J Botha,NA,BJ Hodge,0,0,0,0,NA,NA,NA
1,5.1,BJ Hodge,A Singh,NA,PA Patel,0,0,0,0,NA,NA,NA
1,5.2,BJ Hodge,A Singh,NA,PA Patel,0,0,0,0,NA,NA,NA
1,5.3,BJ Hodge,A Singh,NA,PA Patel,0,0,0,0,NA,NA,NA
1,5.4,BJ Hodge,A Singh,NA,PA Patel,0,0,0,0,NA,NA,NA
