innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,GC Smith,AB Dinda,NA,SA Asnodkar,0,0,0,0,NA,NA,NA
1,0.2,GC Smith,AB Dinda,NA,SA Asnodkar,0,0,0,0,NA,NA,NA
1,0.3,GC Smith,AB Dinda,NA,SA Asnodkar,1,0,1,0,NA,NA,NA
1,0.4,SA Asnodkar,AB Dinda,NA,GC Smith,4,0,4,0,NA,NA,NA
1,0.5,SA Asnodkar,AB Dinda,NA,GC Smith,0,0,0,0,NA,NA,NA
1,0.6,SA Asnodkar,AB Dinda,NA,GC Smith,0,0,0,0,NA,NA,NA
1,1.1,GC Smith,I Sharma,NA,SA Asnodkar,0,0,0,0,NA,NA,NA
1,1.2,GC Smith,I Sharma,NA,SA Asnodkar,0,0,0,0,NA,NA,NA
1,1.3,GC Smith,I Sharma,NA,SA Asnodkar,1,0,1,0,NA,NA,NA
1,1.4,SA Asnodkar,I Sharma,NA,GC Smith,4,0,4,0,NA,NA,NA
1,1.5,SA Asnodkar,I Sharma,NA,GC Smith,1,0,1,0,NA,NA,NA
1,1.6,GC Smith,I Sharma,NA,SA Asnodkar,0,0,0,1,NA,bowled,GC Smith
1,2.1,SA Asnodkar,AB Dinda,NA,M Kaif,1,0,1,0,NA,NA,NA
1,2.2,M Kaif,AB Dinda,NA,SA Asnodkar,0,0,0,0,NA,NA,NA
1,2.3,M Kaif,AB Dinda,NA,SA Asnodkar,4,0,4,0,NA,NA,NA
1,2.4,M Kaif,AB Dinda,1wides,SA Asnodkar,0,1,1,0,NA,NA,NA
1,2.5,M Kaif,AB Dinda,NA,SA Asnodkar,0,0,0,0,NA,NA,NA
1,2.6,M Kaif,AB Dinda,NA,SA Asnodkar,0,0,0,0,NA,NA,NA
1,2.7,M Kaif,AB Dinda,NA,SA Asnodkar,4,0,4,0,NA,NA,NA
1,3.1,SA Asnodkar,I Sharma,NA,M Kaif,1,0,1,0,NA,NA,NA
1,3.2,M Kaif,I Sharma,NA,SA Asnodkar,4,0,4,0,NA,NA,NA
1,3.3,M Kaif,I Sharma,NA,SA Asnodkar,0,0,0,0,NA,NA,NA
1,3.4,M Kaif,I Sharma,NA,SA Asnodkar,0,0,0,0,NA,NA,NA
1,3.5,M Kaif,I Sharma,NA,SA Asnodkar,0,0,0,0,NA,NA,NA
1,3.6,M Kaif,I Sharma,NA,SA Asnodkar,0,0,0,0,NA,NA,NA
1,4.1,SA Asnodkar,AB Agarkar,NA,M Kaif,6,0,6,0,NA,NA,NA
1,4.2,SA Asnodkar,AB Agarkar,NA,M Kaif,0,0,0,0,NA,NA,NA
1,4.3,SA Asnodkar,AB Agarkar,NA,M Kaif,0,0,0,0,NA,NA,NA
1,4.4,SA Asnodkar,AB Agarkar,NA,M Kaif,4,0,4,0,NA,NA,NA
1,4.5,SA Asnodkar,AB Agarkar,NA,M Kaif,2,0,2,0,NA,NA,NA
1,4.6,SA Asnodkar,AB Agarkar,NA,M Kaif,0,0,0,0,NA,NA,NA
1,5.1,M Kaif,Umar Gul,NA,SA Asnodkar,0,0,0,0,NA,NA,NA
1,5.2,M Kaif,Umar Gul,NA,SA Asnodkar,0,0,0,0,NA,NA,NA
1,5.3,M Kaif,Umar Gul,NA,SA Asnodkar,1,0,1,0,NA,NA,NA
1,5.4,SA Asnodkar,Umar Gul,NA,M Kaif,1,0,1,0,NA,NA,NA
1,5.5,M Kaif,Umar Gul,NA,SA Asnodkar,1,0,1,0,NA,NA,NA
1,5.6,SA Asnodkar,Umar Gul,4legbyes,M Kaif,0,4,4,0,NA,NA,NA
1,6.1,M Kaif,AB Agarkar,NA,SA Asnodkar,0,0,0,0,NA,NA,NA
1,6.2,M Kaif,AB Agarkar,NA,SA Asnodkar,1,0,1,0,NA,NA,NA
1,6.3,SA Asnodkar,AB Agarkar,NA,M Kaif,0,0,0,0,NA,NA,NA
1,6.4,SA Asnodkar,AB Agarkar,NA,M Kaif,1,0,1,0,NA,NA,NA
1,6.5,M Kaif,AB Agarkar,NA,SA Asnodkar,6,0,6,0,NA,NA,NA
1,6.6,M Kaif,AB Agarkar,NA,SA Asnodkar,0,0,0,1,NA,caught and bowled,M Kaif
1,7.1,SA Asnodkar,AB Dinda,NA,YK Pathan,1,0,1,0,NA,NA,NA
1,7.2,YK Pathan,AB Dinda,NA,SA Asnodkar,1,0,1,0,NA,NA,NA
1,7.3,SA Asnodkar,AB Dinda,NA,YK Pathan,0,0,0,0,NA,NA,NA
1,7.4,SA Asnodkar,AB Dinda,NA,YK Pathan,0,0,0,0,NA,NA,NA
1,7.5,SA Asnodkar,AB Dinda,NA,YK Pathan,4,0,4,0,NA,NA,NA
1,7.6,SA Asnodkar,AB Dinda,NA,YK Pathan,1,0,1,0,NA,NA,NA
1,8.1,SA Asnodkar,AB Agarkar,NA,YK Pathan,4,0,4,0,NA,NA,NA
1,8.2,SA Asnodkar,AB Agarkar,NA,YK Pathan,4,0,4,0,NA,NA,NA
1,8.3,SA Asnodkar,AB Agarkar,NA,YK Pathan,4,0,4,0,NA,NA,NA
1,8.4,SA Asnodkar,AB Agarkar,NA,YK Pathan,1,0,1,0,NA,NA,NA
