innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AJ Finch,TG Southee,NA,PA Patel,0,0,0,0,NA,NA,NA
1,0.2,AJ Finch,TG Southee,NA,PA Patel,1,0,1,0,NA,NA,NA
1,0.3,PA Patel,TG Southee,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,0.4,AJ Finch,TG Southee,NA,PA Patel,4,0,4,0,NA,NA,NA
1,0.5,AJ Finch,TG Southee,NA,PA Patel,0,0,0,0,NA,NA,NA
1,0.6,AJ Finch,TG Southee,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.1,PA Patel,CH Morris,NA,AJ Finch,4,0,4,0,NA,NA,NA
1,1.2,PA Patel,CH Morris,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,1.3,PA Patel,CH Morris,NA,AJ Finch,3,0,3,0,NA,NA,NA
1,1.4,AJ Finch,CH Morris,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.5,AJ Finch,CH Morris,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.6,AJ Finch,CH Morris,NA,PA Patel,4,0,4,0,NA,NA,NA
1,2.1,PA Patel,DS Kulkarni,NA,AJ Finch,4,0,4,0,NA,NA,NA
1,2.2,PA Patel,DS Kulkarni,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,2.3,AJ Finch,DS Kulkarni,NA,PA Patel,0,0,0,0,NA,NA,NA
1,2.4,AJ Finch,DS Kulkarni,NA,PA Patel,0,0,0,0,NA,NA,NA
1,2.5,AJ Finch,DS Kulkarni,NA,PA Patel,0,0,0,0,NA,NA,NA
1,2.6,AJ Finch,DS Kulkarni,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.1,PA Patel,STR Binny,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,3.2,AJ Finch,STR Binny,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.3,AJ Finch,STR Binny,NA,PA Patel,1,0,1,1,NA,retired hurt,AJ Finch
1,3.4,PA Patel,STR Binny,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,3.5,PA Patel,STR Binny,NA,UBT Chand,2,0,2,0,NA,NA,NA
1,3.6,PA Patel,STR Binny,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,4.1,UBT Chand,DS Kulkarni,NA,PA Patel,0,0,0,0,NA,NA,NA
1,4.2,UBT Chand,DS Kulkarni,NA,PA Patel,0,0,0,0,NA,NA,NA
1,4.3,UBT Chand,DS Kulkarni,NA,PA Patel,1,0,1,0,NA,NA,NA
1,4.4,PA Patel,DS Kulkarni,NA,UBT Chand,0,0,0,1,CH Morris,caught,PA Patel
1,4.5,RG Sharma,DS Kulkarni,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,4.6,RG Sharma,DS Kulkarni,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,5.1,UBT Chand,TG Southee,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,5.2,UBT Chand,TG Southee,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,5.3,UBT Chand,TG Southee,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,5.4,UBT Chand,TG Southee,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,5.5,UBT Chand,TG Southee,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,5.6,UBT Chand,TG Southee,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,6.1,RG Sharma,STR Binny,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,6.2,RG Sharma,STR Binny,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,6.3,RG Sharma,STR Binny,NA,UBT Chand,0,0,0,1,SPD Smith,caught,RG Sharma
1,6.4,CJ Anderson,STR Binny,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,6.5,CJ Anderson,STR Binny,NA,UBT Chand,4,0,4,0,NA,NA,NA
1,6.6,CJ Anderson,STR Binny,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,7.1,UBT Chand,DJ Hooda,NA,CJ Anderson,0,0,0,0,NA,NA,NA
1,7.2,UBT Chand,DJ Hooda,NA,CJ Anderson,1,0,1,0,NA,NA,NA
1,7.3,CJ Anderson,DJ Hooda,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,7.4,CJ Anderson,DJ Hooda,NA,UBT Chand,1,0,1,0,NA,NA,NA
1,7.5,UBT Chand,DJ Hooda,NA,CJ Anderson,1,0,1,0,NA,NA,NA
1,7.6,CJ Anderson,DJ Hooda,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,8.1,UBT Chand,JP Faulkner,1legbyes,CJ Anderson,0,1,1,0,NA,NA,NA
1,8.2,CJ Anderson,JP Faulkner,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,8.3,CJ Anderson,JP Faulkner,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,8.4,CJ Anderson,JP Faulkner,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,8.5,CJ Anderson,JP Faulkner,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,8.6,CJ Anderson,JP Faulkner,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,9.1,UBT Chand,PV Tambe,NA,CJ Anderson,2,0,2,0,NA,NA,NA
1,9.2,UBT Chand,PV Tambe,NA,CJ Anderson,1,0,1,0,NA,NA,NA
1,9.3,CJ Anderson,PV Tambe,NA,UBT Chand,1,0,1,0,NA,NA,NA
1,9.4,UBT Chand,PV Tambe,NA,CJ Anderson,2,0,2,0,NA,NA,NA
1,9.5,UBT Chand,PV Tambe,NA,CJ Anderson,0,0,0,1,NA,bowled,UBT Chand
1,9.6,KA Pollard,PV Tambe,NA,CJ Anderson,0,0,0,0,NA,NA,NA
1,10.1,CJ Anderson,CH Morris,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,10.2,CJ Anderson,CH Morris,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,10.3,CJ Anderson,CH Morris,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,10.4,CJ Anderson,CH Morris,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,10.5,CJ Anderson,CH Morris,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,10.6,KA Pollard,CH Morris,NA,CJ Anderson,0,0,0,0,NA,NA,NA
1,11.1,CJ Anderson,PV Tambe,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,11.2,KA Pollard,PV Tambe,NA,CJ Anderson,0,0,0,0,NA,NA,NA
1,11.3,KA Pollard,PV Tambe,NA,CJ Anderson,0,0,0,0,NA,NA,NA
1,11.4,KA Pollard,PV Tambe,NA,CJ Anderson,1,0,1,0,NA,NA,NA
1,11.5,CJ Anderson,PV Tambe,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,11.6,CJ Anderson,PV Tambe,NA,KA Pollard,4,0,4,0,NA,NA,NA
1,12.1,KA Pollard,CH Morris,NA,CJ Anderson,0,0,0,0,NA,NA,NA
1,12.2,KA Pollard,CH Morris,NA,CJ Anderson,4,0,4,0,NA,NA,NA
1,12.3,KA Pollard,CH Morris,NA,CJ Anderson,1,0,1,0,NA,NA,NA
