innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,JD Ryder,J Botha,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,0.2,JD Ryder,J Botha,NA,MK Pandey,4,0,4,0,NA,NA,NA
1,0.3,JD Ryder,J Botha,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,0.4,JD Ryder,J Botha,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,0.5,MK Pandey,J Botha,NA,JD Ryder,0,0,0,0,NA,NA,NA
1,0.6,MK Pandey,J Botha,NA,JD Ryder,1,0,1,0,NA,NA,NA
1,1.1,MK Pandey,AL Menaria,NA,JD Ryder,4,0,4,0,NA,NA,NA
1,1.2,MK Pandey,AL Menaria,NA,JD Ryder,0,0,0,0,NA,NA,NA
1,1.3,MK Pandey,AL Menaria,NA,JD Ryder,1,0,1,0,NA,NA,NA
1,1.4,JD Ryder,AL Menaria,NA,MK Pandey,4,0,4,0,NA,NA,NA
1,1.5,JD Ryder,AL Menaria,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,1.6,MK Pandey,AL Menaria,NA,JD Ryder,0,0,0,0,NA,NA,NA
1,2.1,JD Ryder,J Botha,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,2.2,JD Ryder,J Botha,NA,MK Pandey,4,0,4,0,NA,NA,NA
1,2.3,JD Ryder,J Botha,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,2.4,JD Ryder,J Botha,NA,MK Pandey,2,0,2,0,NA,NA,NA
1,2.5,JD Ryder,J Botha,NA,MK Pandey,2,0,2,0,NA,NA,NA
1,2.6,JD Ryder,J Botha,NA,MK Pandey,0,0,0,1,DH Yagnik,stumped,JD Ryder
1,3.1,MK Pandey,SR Watson,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,3.2,RV Uthappa,SR Watson,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,3.3,RV Uthappa,SR Watson,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,3.4,RV Uthappa,SR Watson,NA,MK Pandey,1,0,1,0,NA,NA,NA
1,3.5,MK Pandey,SR Watson,NA,RV Uthappa,1,0,1,0,NA,NA,NA
1,3.6,RV Uthappa,SR Watson,NA,MK Pandey,0,0,0,0,NA,NA,NA
1,4.1,MK Pandey,A Singh,NA,RV Uthappa,0,0,0,0,NA,NA,NA
