innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,PA Patel,STR Binny,NA,YV Takawale,1,0,1,0,NA,NA,NA
1,0.2,YV Takawale,STR Binny,NA,PA Patel,0,0,0,0,NA,NA,NA
1,0.3,YV Takawale,STR Binny,NA,PA Patel,0,0,0,0,NA,NA,NA
1,0.4,YV Takawale,STR Binny,NA,PA Patel,0,0,0,1,SV Samson,caught,YV Takawale
1,0.5,V Kohli,STR Binny,NA,PA Patel,0,0,0,1,AM Rahane,run out,PA Patel
1,0.6,Yuvraj Singh,STR Binny,NA,V Kohli,0,0,0,0,NA,NA,NA
1,1.1,V Kohli,TG Southee,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,1.2,Yuvraj Singh,TG Southee,NA,V Kohli,0,0,0,0,NA,NA,NA
1,1.3,Yuvraj Singh,TG Southee,NA,V Kohli,0,0,0,0,NA,NA,NA
1,1.4,Yuvraj Singh,TG Southee,NA,V Kohli,2,0,2,0,NA,NA,NA
1,1.5,Yuvraj Singh,TG Southee,NA,V Kohli,0,0,0,0,NA,NA,NA
1,1.6,Yuvraj Singh,TG Southee,NA,V Kohli,1,0,1,0,NA,NA,NA
1,2.1,Yuvraj Singh,KW Richardson,NA,V Kohli,0,0,0,1,SPD Smith,caught,Yuvraj Singh
1,2.2,AB de Villiers,KW Richardson,NA,V Kohli,0,0,0,1,NA,bowled,AB de Villiers
1,2.3,S Rana,KW Richardson,NA,V Kohli,1,0,1,0,NA,NA,NA
1,2.4,V Kohli,KW Richardson,NA,S Rana,0,0,0,0,NA,NA,NA
1,2.5,V Kohli,KW Richardson,NA,S Rana,4,0,4,0,NA,NA,NA
1,2.6,V Kohli,KW Richardson,NA,S Rana,1,0,1,0,NA,NA,NA
1,3.1,V Kohli,TG Southee,NA,S Rana,0,0,0,0,NA,NA,NA
1,3.2,V Kohli,TG Southee,NA,S Rana,0,0,0,0,NA,NA,NA
1,3.3,V Kohli,TG Southee,NA,S Rana,0,0,0,0,NA,NA,NA
1,3.4,V Kohli,TG Southee,NA,S Rana,1,0,1,0,NA,NA,NA
1,3.5,S Rana,TG Southee,NA,V Kohli,0,0,0,0,NA,NA,NA
1,3.6,S Rana,TG Southee,NA,V Kohli,0,0,0,0,NA,NA,NA
1,4.1,V Kohli,KW Richardson,NA,S Rana,1,0,1,0,NA,NA,NA
