innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,S Dhawan,DJ Hooda,NA,DA Warner,0,0,0,0,NA,NA,NA
1,0.2,S Dhawan,DJ Hooda,NA,DA Warner,4,0,4,0,NA,NA,NA
1,0.3,S Dhawan,DJ Hooda,NA,DA Warner,1,0,1,0,NA,NA,NA
1,0.4,DA Warner,DJ Hooda,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,0.5,DA Warner,DJ Hooda,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,0.6,DA Warner,DJ Hooda,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,1.1,S Dhawan,CH Morris,4legbyes,DA Warner,0,4,4,0,NA,NA,NA
1,1.2,S Dhawan,CH Morris,NA,DA Warner,1,0,1,0,NA,NA,NA
1,1.3,DA Warner,CH Morris,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.4,DA Warner,CH Morris,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.5,DA Warner,CH Morris,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.6,DA Warner,CH Morris,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,2.1,S Dhawan,DS Kulkarni,NA,DA Warner,0,0,0,0,NA,NA,NA
1,2.2,S Dhawan,DS Kulkarni,NA,DA Warner,4,0,4,0,NA,NA,NA
1,2.3,S Dhawan,DS Kulkarni,NA,DA Warner,1,0,1,0,NA,NA,NA
1,2.4,DA Warner,DS Kulkarni,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,2.5,DA Warner,DS Kulkarni,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,2.6,S Dhawan,DS Kulkarni,NA,DA Warner,4,0,4,0,NA,NA,NA
1,3.1,DA Warner,CH Morris,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,3.2,DA Warner,CH Morris,NA,S Dhawan,2,0,2,0,NA,NA,NA
1,3.3,DA Warner,CH Morris,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,3.4,DA Warner,CH Morris,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,3.5,DA Warner,CH Morris,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,3.6,DA Warner,CH Morris,5wides,S Dhawan,0,5,5,0,NA,NA,NA
1,3.7,DA Warner,CH Morris,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,4.1,DA Warner,SR Watson,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,4.2,DA Warner,SR Watson,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,4.3,DA Warner,SR Watson,NA,S Dhawan,0,0,0,1,SV Samson,caught,DA Warner
1,4.4,MC Henriques,SR Watson,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,4.5,MC Henriques,SR Watson,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,4.6,MC Henriques,SR Watson,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,5.1,MC Henriques,JP Faulkner,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,5.2,MC Henriques,JP Faulkner,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,5.3,S Dhawan,JP Faulkner,NA,MC Henriques,0,0,0,0,NA,NA,NA
1,5.4,S Dhawan,JP Faulkner,NA,MC Henriques,0,0,0,0,NA,NA,NA
1,5.5,S Dhawan,JP Faulkner,NA,MC Henriques,2,0,2,0,NA,NA,NA
1,5.6,S Dhawan,JP Faulkner,NA,MC Henriques,0,0,0,0,NA,NA,NA
1,6.1,MC Henriques,PV Tambe,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,6.2,MC Henriques,PV Tambe,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,6.3,MC Henriques,PV Tambe,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,6.4,MC Henriques,PV Tambe,NA,S Dhawan,0,0,0,0,NA,NA,NA
