innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AP Tare,AB Dinda,NA,SW Billings,0,0,0,0,NA,NA,NA
1,0.2,AP Tare,AB Dinda,NA,SW Billings,0,0,0,0,NA,NA,NA
1,0.3,AP Tare,AB Dinda,NA,SW Billings,0,0,0,0,NA,NA,NA
1,0.4,AP Tare,AB Dinda,1wides,SW Billings,0,1,1,0,NA,NA,NA
1,0.5,AP Tare,AB Dinda,1legbyes,SW Billings,0,1,1,0,NA,NA,NA
1,0.6,SW Billings,AB Dinda,NA,AP Tare,0,0,0,0,NA,NA,NA
1,0.7,SW Billings,AB Dinda,NA,AP Tare,0,0,0,0,NA,NA,NA
1,1.1,AP Tare,DL Chahar,NA,SW Billings,0,0,0,1,MS Dhoni,caught,AP Tare
1,1.2,SV Samson,DL Chahar,1legbyes,SW Billings,0,1,1,0,NA,NA,NA
1,1.3,SW Billings,DL Chahar,NA,SV Samson,1,0,1,0,NA,NA,NA
1,1.4,SV Samson,DL Chahar,NA,SW Billings,4,0,4,0,NA,NA,NA
1,1.5,SV Samson,DL Chahar,NA,SW Billings,4,0,4,0,NA,NA,NA
1,1.6,SV Samson,DL Chahar,NA,SW Billings,1,0,1,0,NA,NA,NA
1,2.1,SV Samson,AB Dinda,NA,SW Billings,4,0,4,0,NA,NA,NA
1,2.2,SV Samson,AB Dinda,NA,SW Billings,4,0,4,0,NA,NA,NA
1,2.3,SV Samson,AB Dinda,NA,SW Billings,1,0,1,0,NA,NA,NA
1,2.4,SW Billings,AB Dinda,1wides,SV Samson,0,1,1,0,NA,NA,NA
1,2.5,SW Billings,AB Dinda,NA,SV Samson,4,0,4,0,NA,NA,NA
1,2.6,SW Billings,AB Dinda,NA,SV Samson,1,0,1,0,NA,NA,NA
1,2.7,SV Samson,AB Dinda,NA,SW Billings,1,0,1,0,NA,NA,NA
1,3.1,SV Samson,DL Chahar,NA,SW Billings,2,0,2,0,NA,NA,NA
1,3.2,SV Samson,DL Chahar,NA,SW Billings,4,0,4,0,NA,NA,NA
1,3.3,SV Samson,DL Chahar,NA,SW Billings,1,0,1,0,NA,NA,NA
1,3.4,SW Billings,DL Chahar,NA,SV Samson,1,0,1,0,NA,NA,NA
1,3.5,SV Samson,DL Chahar,NA,SW Billings,0,0,0,0,NA,NA,NA
1,3.6,SV Samson,DL Chahar,1wides,SW Billings,0,1,1,0,NA,NA,NA
1,3.7,SV Samson,DL Chahar,NA,SW Billings,1,0,1,0,NA,NA,NA
1,4.1,SV Samson,BA Stokes,NA,SW Billings,4,0,4,0,NA,NA,NA
1,4.2,SV Samson,BA Stokes,NA,SW Billings,0,0,0,0,NA,NA,NA
1,4.3,SV Samson,BA Stokes,NA,SW Billings,0,0,0,0,NA,NA,NA
1,4.4,SV Samson,BA Stokes,NA,SW Billings,1,0,1,0,NA,NA,NA
1,4.5,SW Billings,BA Stokes,NA,SV Samson,1,0,1,0,NA,NA,NA
1,4.6,SV Samson,BA Stokes,NA,SW Billings,2,0,2,0,NA,NA,NA
1,5.1,SW Billings,DL Chahar,NA,SV Samson,0,0,0,0,NA,NA,NA
1,5.2,SW Billings,DL Chahar,1wides,SV Samson,0,1,1,0,NA,NA,NA
1,5.3,SW Billings,DL Chahar,NA,SV Samson,4,0,4,0,NA,NA,NA
