innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,Ishan Kishan,JD Unadkat,1legbyes,BB McCullum,0,1,1,0,NA,NA,NA
1,0.2,BB McCullum,JD Unadkat,NA,Ishan Kishan,4,0,4,0,NA,NA,NA
1,0.3,BB McCullum,JD Unadkat,NA,Ishan Kishan,0,0,0,0,NA,NA,NA
1,0.4,BB McCullum,JD Unadkat,NA,Ishan Kishan,1,0,1,0,NA,NA,NA
1,0.5,Ishan Kishan,JD Unadkat,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,0.6,BB McCullum,JD Unadkat,NA,Ishan Kishan,4,0,4,0,NA,NA,NA
1,1.1,Ishan Kishan,Washington Sundar,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.2,Ishan Kishan,Washington Sundar,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.3,Ishan Kishan,Washington Sundar,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.4,Ishan Kishan,Washington Sundar,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.5,Ishan Kishan,Washington Sundar,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.6,Ishan Kishan,Washington Sundar,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,2.1,Ishan Kishan,JD Unadkat,NA,BB McCullum,2,0,2,0,NA,NA,NA
1,2.2,Ishan Kishan,JD Unadkat,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,2.3,BB McCullum,JD Unadkat,NA,Ishan Kishan,1,0,1,0,NA,NA,NA
1,2.4,Ishan Kishan,JD Unadkat,NA,BB McCullum,2,0,2,0,NA,NA,NA
1,2.5,Ishan Kishan,JD Unadkat,NA,BB McCullum,6,0,6,0,NA,NA,NA
1,2.6,Ishan Kishan,JD Unadkat,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,3.1,BB McCullum,Washington Sundar,NA,Ishan Kishan,0,0,0,0,NA,NA,NA
1,3.2,BB McCullum,Washington Sundar,NA,Ishan Kishan,1,0,1,0,NA,NA,NA
1,3.3,Ishan Kishan,Washington Sundar,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,3.4,Ishan Kishan,Washington Sundar,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,3.5,Ishan Kishan,Washington Sundar,NA,BB McCullum,6,0,6,0,NA,NA,NA
1,3.6,Ishan Kishan,Washington Sundar,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,4.1,BB McCullum,BA Stokes,NA,Ishan Kishan,0,0,0,0,NA,NA,NA
1,4.2,BB McCullum,BA Stokes,NA,Ishan Kishan,4,0,4,0,NA,NA,NA
1,4.3,BB McCullum,BA Stokes,NA,Ishan Kishan,6,0,6,0,NA,NA,NA
1,4.4,BB McCullum,BA Stokes,NA,Ishan Kishan,1,0,1,0,NA,NA,NA
1,4.5,Ishan Kishan,BA Stokes,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,4.6,Ishan Kishan,BA Stokes,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,5.1,BB McCullum,Imran Tahir,NA,Ishan Kishan,1,0,1,0,NA,NA,NA
1,5.2,Ishan Kishan,Imran Tahir,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,5.3,Ishan Kishan,Imran Tahir,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,5.4,Ishan Kishan,Imran Tahir,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,5.5,Ishan Kishan,Imran Tahir,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,5.6,Ishan Kishan,Imran Tahir,NA,BB McCullum,0,0,0,1,Washington Sundar,caught,Ishan Kishan
1,6.1,BB McCullum,SN Thakur,NA,SK Raina,1,0,1,0,NA,NA,NA
1,6.2,SK Raina,SN Thakur,NA,BB McCullum,2,0,2,0,NA,NA,NA
1,6.3,SK Raina,SN Thakur,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,6.4,BB McCullum,SN Thakur,1wides,SK Raina,0,1,1,0,NA,NA,NA
1,6.5,BB McCullum,SN Thakur,NA,SK Raina,4,0,4,0,NA,NA,NA
1,6.6,BB McCullum,SN Thakur,NA,SK Raina,1,0,1,0,NA,NA,NA
1,6.7,SK Raina,SN Thakur,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,7.1,SK Raina,Imran Tahir,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,7.2,SK Raina,Imran Tahir,NA,BB McCullum,2,0,2,0,NA,NA,NA
1,7.3,SK Raina,Imran Tahir,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,7.4,BB McCullum,Imran Tahir,NA,SK Raina,1,0,1,0,NA,NA,NA
1,7.5,SK Raina,Imran Tahir,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,7.6,SK Raina,Imran Tahir,NA,BB McCullum,1,0,1,1,AM Rahane,run out,SK Raina
1,8.1,BB McCullum,DT Christian,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,8.2,AJ Finch,DT Christian,1wides,BB McCullum,0,1,1,0,NA,NA,NA
1,8.3,AJ Finch,DT Christian,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,8.4,BB McCullum,DT Christian,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,8.5,AJ Finch,DT Christian,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,8.6,AJ Finch,DT Christian,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,8.7,BB McCullum,DT Christian,NA,AJ Finch,6,0,6,0,NA,NA,NA
1,9.1,AJ Finch,Imran Tahir,NA,BB McCullum,6,0,6,0,NA,NA,NA
1,9.2,AJ Finch,Imran Tahir,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,9.3,BB McCullum,Imran Tahir,NA,AJ Finch,0,0,0,0,NA,NA,NA
