innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,MJ Guptill,JD Unadkat,NA,WP Saha,0,0,0,1,MK Tiwary,caught,MJ Guptill
1,0.2,SE Marsh,JD Unadkat,NA,WP Saha,0,0,0,0,NA,NA,NA
1,0.3,SE Marsh,JD Unadkat,NA,WP Saha,0,0,0,0,NA,NA,NA
1,0.4,SE Marsh,JD Unadkat,NA,WP Saha,0,0,0,0,NA,NA,NA
1,0.5,SE Marsh,JD Unadkat,NA,WP Saha,4,0,4,0,NA,NA,NA
1,0.6,SE Marsh,JD Unadkat,NA,WP Saha,0,0,0,0,NA,NA,NA
1,1.1,WP Saha,SN Thakur,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,1.2,SE Marsh,SN Thakur,NA,WP Saha,0,0,0,0,NA,NA,NA
1,1.3,SE Marsh,SN Thakur,NA,WP Saha,4,0,4,0,NA,NA,NA
1,1.4,SE Marsh,SN Thakur,NA,WP Saha,0,0,0,0,NA,NA,NA
1,1.5,SE Marsh,SN Thakur,NA,WP Saha,1,0,1,0,NA,NA,NA
1,1.6,WP Saha,SN Thakur,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,2.1,WP Saha,JD Unadkat,NA,SE Marsh,1,0,1,0,NA,NA,NA
1,2.2,SE Marsh,JD Unadkat,NA,WP Saha,1,0,1,0,NA,NA,NA
1,2.3,WP Saha,JD Unadkat,NA,SE Marsh,6,0,6,0,NA,NA,NA
1,2.4,WP Saha,JD Unadkat,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,2.5,WP Saha,JD Unadkat,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,2.6,WP Saha,JD Unadkat,NA,SE Marsh,0,0,0,0,NA,NA,NA
1,3.1,SE Marsh,SN Thakur,NA,WP Saha,0,0,0,0,NA,NA,NA
1,3.2,SE Marsh,SN Thakur,NA,WP Saha,0,0,0,0,NA,NA,NA
1,3.3,SE Marsh,SN Thakur,NA,WP Saha,0,0,0,1,SPD Smith,caught,SE Marsh
1,3.4,EJG Morgan,SN Thakur,NA,WP Saha,0,0,0,0,NA,NA,NA
1,3.5,EJG Morgan,SN Thakur,NA,WP Saha,4,0,4,0,NA,NA,NA
1,3.6,EJG Morgan,SN Thakur,NA,WP Saha,0,0,0,0,NA,NA,NA
1,4.1,WP Saha,BA Stokes,NA,EJG Morgan,0,0,0,0,NA,NA,NA
1,4.2,WP Saha,BA Stokes,NA,EJG Morgan,1,0,1,0,NA,NA,NA
