innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AM Rahane,UT Yadav,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,0.2,AM Rahane,UT Yadav,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,0.3,AM Rahane,UT Yadav,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,0.4,AM Rahane,UT Yadav,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,0.5,RA Tripathi,UT Yadav,1wides,AM Rahane,0,1,1,0,NA,NA,NA
1,0.6,RA Tripathi,UT Yadav,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,0.7,RA Tripathi,UT Yadav,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.1,AM Rahane,CR Woakes,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,1.2,RA Tripathi,CR Woakes,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,1.3,AM Rahane,CR Woakes,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,1.4,AM Rahane,CR Woakes,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,1.5,RA Tripathi,CR Woakes,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,1.6,AM Rahane,CR Woakes,NA,RA Tripathi,4,0,4,0,NA,NA,NA
1,2.1,RA Tripathi,UT Yadav,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,2.2,RA Tripathi,UT Yadav,1wides,AM Rahane,0,1,1,0,NA,NA,NA
1,2.3,RA Tripathi,UT Yadav,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,2.4,RA Tripathi,UT Yadav,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,2.5,AM Rahane,UT Yadav,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,2.6,AM Rahane,UT Yadav,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,2.7,RA Tripathi,UT Yadav,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,3.1,AM Rahane,SP Narine,1wides,RA Tripathi,0,1,1,0,NA,NA,NA
