innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,PA Patel,AB Dinda,1wides,JC Buttler,0,1,1,0,NA,NA,NA
1,0.2,PA Patel,AB Dinda,NA,JC Buttler,0,0,0,0,NA,NA,NA
1,0.3,PA Patel,AB Dinda,NA,JC Buttler,1,0,1,0,NA,NA,NA
1,0.4,JC Buttler,AB Dinda,NA,PA Patel,5,0,5,0,NA,NA,NA
1,0.5,PA Patel,AB Dinda,NA,JC Buttler,4,0,4,0,NA,NA,NA
1,0.6,PA Patel,AB Dinda,NA,JC Buttler,0,0,0,0,NA,NA,NA
1,0.7,PA Patel,AB Dinda,NA,JC Buttler,0,0,0,0,NA,NA,NA
1,1.1,JC Buttler,DL Chahar,NA,PA Patel,4,0,4,0,NA,NA,NA
1,1.2,JC Buttler,DL Chahar,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.3,JC Buttler,DL Chahar,NA,PA Patel,4,0,4,0,NA,NA,NA
1,1.4,JC Buttler,DL Chahar,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.5,JC Buttler,DL Chahar,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.6,JC Buttler,DL Chahar,NA,PA Patel,0,0,0,0,NA,NA,NA
1,2.1,PA Patel,AB Dinda,NA,JC Buttler,0,0,0,0,NA,NA,NA
1,2.2,PA Patel,AB Dinda,NA,JC Buttler,4,0,4,0,NA,NA,NA
1,2.3,PA Patel,AB Dinda,NA,JC Buttler,0,0,0,0,NA,NA,NA
1,2.4,PA Patel,AB Dinda,NA,JC Buttler,0,0,0,0,NA,NA,NA
1,2.5,PA Patel,AB Dinda,NA,JC Buttler,4,0,4,0,NA,NA,NA
1,2.6,PA Patel,AB Dinda,NA,JC Buttler,1,0,1,0,NA,NA,NA
1,3.1,PA Patel,BA Stokes,NA,JC Buttler,1,0,1,0,NA,NA,NA
1,3.2,JC Buttler,BA Stokes,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.3,JC Buttler,BA Stokes,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.4,JC Buttler,BA Stokes,NA,PA Patel,6,0,6,0,NA,NA,NA
1,3.5,JC Buttler,BA Stokes,NA,PA Patel,6,0,6,0,NA,NA,NA
1,3.6,JC Buttler,BA Stokes,NA,PA Patel,0,0,0,0,NA,NA,NA
1,4.1,PA Patel,Imran Tahir,NA,JC Buttler,4,0,4,0,NA,NA,NA
1,4.2,PA Patel,Imran Tahir,NA,JC Buttler,0,0,0,1,NA,bowled,PA Patel
1,4.3,RG Sharma,Imran Tahir,NA,JC Buttler,0,0,0,0,NA,NA,NA
1,4.4,RG Sharma,Imran Tahir,NA,JC Buttler,1,0,1,0,NA,NA,NA
1,4.5,JC Buttler,Imran Tahir,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,4.6,RG Sharma,Imran Tahir,NA,JC Buttler,1,0,1,0,NA,NA,NA
1,5.1,RG Sharma,DL Chahar,NA,JC Buttler,1,0,1,0,NA,NA,NA
1,5.2,JC Buttler,DL Chahar,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,5.3,JC Buttler,DL Chahar,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,5.4,JC Buttler,DL Chahar,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,5.5,JC Buttler,DL Chahar,NA,RG Sharma,6,0,6,0,NA,NA,NA
1,5.6,JC Buttler,DL Chahar,NA,RG Sharma,2,0,2,0,NA,NA,NA
1,6.1,RG Sharma,Imran Tahir,NA,JC Buttler,0,0,0,0,NA,NA,NA
1,6.2,RG Sharma,Imran Tahir,NA,JC Buttler,0,0,0,0,NA,NA,NA
1,6.3,RG Sharma,Imran Tahir,NA,JC Buttler,0,0,0,1,NA,bowled,RG Sharma
1,6.4,N Rana,Imran Tahir,NA,JC Buttler,1,0,1,0,NA,NA,NA
1,6.5,JC Buttler,Imran Tahir,NA,N Rana,0,0,0,1,NA,lbw,JC Buttler
1,6.6,AT Rayudu,Imran Tahir,NA,N Rana,1,0,1,0,NA,NA,NA
1,7.1,AT Rayudu,BA Stokes,NA,N Rana,1,0,1,0,NA,NA,NA
