innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AM Rahane,AF Milne,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,0.2,AM Rahane,AF Milne,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,0.3,RA Tripathi,AF Milne,NA,AM Rahane,2,0,2,0,NA,NA,NA
1,0.4,RA Tripathi,AF Milne,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,0.5,RA Tripathi,AF Milne,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,0.6,RA Tripathi,AF Milne,1wides,AM Rahane,0,1,1,0,NA,NA,NA
1,0.7,RA Tripathi,AF Milne,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.1,AM Rahane,S Badree,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,1.2,RA Tripathi,S Badree,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,1.3,AM Rahane,S Badree,NA,RA Tripathi,2,0,2,0,NA,NA,NA
1,1.4,AM Rahane,S Badree,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,1.5,AM Rahane,S Badree,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,1.6,RA Tripathi,S Badree,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,2.1,AM Rahane,AF Milne,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,2.2,RA Tripathi,AF Milne,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,2.3,RA Tripathi,AF Milne,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,2.4,RA Tripathi,AF Milne,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,2.5,RA Tripathi,AF Milne,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,2.6,RA Tripathi,AF Milne,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,3.1,AM Rahane,S Badree,NA,RA Tripathi,0,0,0,1,AF Milne,caught,AM Rahane
1,3.2,SPD Smith,S Badree,NA,RA Tripathi,4,0,4,0,NA,NA,NA
1,3.3,SPD Smith,S Badree,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,3.4,RA Tripathi,S Badree,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,3.5,SPD Smith,S Badree,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,3.6,SPD Smith,S Badree,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,4.1,RA Tripathi,S Aravind,NA,SPD Smith,6,0,6,0,NA,NA,NA
1,4.2,RA Tripathi,S Aravind,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,4.3,RA Tripathi,S Aravind,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,4.4,RA Tripathi,S Aravind,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,4.5,SPD Smith,S Aravind,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,4.6,SPD Smith,S Aravind,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,5.1,RA Tripathi,YS Chahal,NA,SPD Smith,4,0,4,0,NA,NA,NA
