innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,DA Warner,JD Unadkat,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,0.2,S Dhawan,JD Unadkat,NA,DA Warner,0,0,0,0,NA,NA,NA
1,0.3,S Dhawan,JD Unadkat,NA,DA Warner,0,0,0,0,NA,NA,NA
1,0.4,S Dhawan,JD Unadkat,NA,DA Warner,4,0,4,0,NA,NA,NA
1,0.5,S Dhawan,JD Unadkat,NA,DA Warner,1,0,1,0,NA,NA,NA
1,0.6,DA Warner,JD Unadkat,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,1.1,DA Warner,Washington Sundar,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.2,DA Warner,Washington Sundar,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,1.3,S Dhawan,Washington Sundar,NA,DA Warner,0,0,0,0,NA,NA,NA
1,1.4,S Dhawan,Washington Sundar,NA,DA Warner,0,0,0,0,NA,NA,NA
1,1.5,S Dhawan,Washington Sundar,1legbyes,DA Warner,0,1,1,0,NA,NA,NA
1,1.6,DA Warner,Washington Sundar,1wides,S Dhawan,0,1,1,0,NA,NA,NA
1,1.7,DA Warner,Washington Sundar,1wides,S Dhawan,0,1,1,0,NA,NA,NA
1,1.8,DA Warner,Washington Sundar,1legbyes,S Dhawan,0,1,1,0,NA,NA,NA
1,2.1,DA Warner,JD Unadkat,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,2.2,S Dhawan,JD Unadkat,NA,DA Warner,0,0,0,0,NA,NA,NA
1,2.3,S Dhawan,JD Unadkat,NA,DA Warner,1,0,1,0,NA,NA,NA
1,2.4,DA Warner,JD Unadkat,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,2.5,S Dhawan,JD Unadkat,NA,DA Warner,4,0,4,0,NA,NA,NA
1,2.6,S Dhawan,JD Unadkat,NA,DA Warner,1,0,1,0,NA,NA,NA
1,3.1,S Dhawan,Washington Sundar,NA,DA Warner,0,0,0,0,NA,NA,NA
1,3.2,S Dhawan,Washington Sundar,NA,DA Warner,1,0,1,0,NA,NA,NA
1,3.3,DA Warner,Washington Sundar,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,3.4,S Dhawan,Washington Sundar,NA,DA Warner,1,0,1,0,NA,NA,NA
1,3.5,DA Warner,Washington Sundar,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,3.6,S Dhawan,Washington Sundar,NA,DA Warner,4,0,4,0,NA,NA,NA
1,4.1,DA Warner,BA Stokes,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,4.2,S Dhawan,BA Stokes,NA,DA Warner,4,0,4,0,NA,NA,NA
