innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,Q de Kock,AB Dinda,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,0.2,Q de Kock,AB Dinda,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,0.3,Q de Kock,AB Dinda,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,0.4,SS Iyer,AB Dinda,NA,Q de Kock,0,0,0,0,NA,NA,NA
1,0.5,SS Iyer,AB Dinda,NA,Q de Kock,1,0,1,0,NA,NA,NA
1,0.6,Q de Kock,AB Dinda,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,1.1,SS Iyer,DL Chahar,NA,Q de Kock,0,0,0,0,NA,NA,NA
1,1.2,SS Iyer,DL Chahar,NA,Q de Kock,0,0,0,0,NA,NA,NA
1,1.3,SS Iyer,DL Chahar,NA,Q de Kock,1,0,1,0,NA,NA,NA
1,1.4,Q de Kock,DL Chahar,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,1.5,Q de Kock,DL Chahar,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,1.6,Q de Kock,DL Chahar,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,2.1,Q de Kock,AB Dinda,NA,SS Iyer,0,0,0,1,NA,lbw,Q de Kock
1,2.2,KK Nair,AB Dinda,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,2.3,KK Nair,AB Dinda,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,2.4,KK Nair,AB Dinda,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,2.5,KK Nair,AB Dinda,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,2.6,KK Nair,AB Dinda,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,3.1,SS Iyer,DL Chahar,NA,KK Nair,4,0,4,0,NA,NA,NA
1,3.2,SS Iyer,DL Chahar,NA,KK Nair,0,0,0,0,NA,NA,NA
1,3.3,SS Iyer,DL Chahar,NA,KK Nair,1,0,1,0,NA,NA,NA
1,3.4,KK Nair,DL Chahar,NA,SS Iyer,4,0,4,0,NA,NA,NA
1,3.5,KK Nair,DL Chahar,NA,SS Iyer,2,0,2,0,NA,NA,NA
1,3.6,KK Nair,DL Chahar,NA,SS Iyer,0,0,0,0,NA,NA,NA
1,4.1,SS Iyer,AB Dinda,NA,KK Nair,1,0,1,0,NA,NA,NA
1,4.2,KK Nair,AB Dinda,NA,SS Iyer,4,0,4,0,NA,NA,NA
1,4.3,KK Nair,AB Dinda,NA,SS Iyer,4,0,4,0,NA,NA,NA
1,4.4,KK Nair,AB Dinda,NA,SS Iyer,1,0,1,0,NA,NA,NA
1,4.5,SS Iyer,AB Dinda,NA,KK Nair,0,0,0,1,UT Khawaja,caught,SS Iyer
1,4.6,KK Nair,AB Dinda,NA,SV Samson,0,0,0,0,NA,NA,NA
1,5.1,SV Samson,NLTC Perera,NA,KK Nair,0,0,0,0,NA,NA,NA
1,5.2,SV Samson,NLTC Perera,NA,KK Nair,1,0,1,0,NA,NA,NA
1,5.3,KK Nair,NLTC Perera,NA,SV Samson,0,0,0,0,NA,NA,NA
1,5.4,KK Nair,NLTC Perera,NA,SV Samson,0,0,0,0,NA,NA,NA
1,5.5,KK Nair,NLTC Perera,NA,SV Samson,1,0,1,0,NA,NA,NA
1,5.6,SV Samson,NLTC Perera,NA,KK Nair,1,0,1,0,NA,NA,NA
1,6.1,SV Samson,IK Pathan,NA,KK Nair,0,0,0,0,NA,NA,NA
