innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AM Rahane,P Kumar,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,0.2,AM Rahane,P Kumar,NA,SS Tiwary,4,0,4,0,NA,NA,NA
1,0.3,AM Rahane,P Kumar,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,0.4,AM Rahane,P Kumar,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,0.5,AM Rahane,P Kumar,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,0.6,SS Tiwary,P Kumar,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.1,AM Rahane,DS Kulkarni,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,1.2,AM Rahane,DS Kulkarni,1wides,SS Tiwary,0,1,1,0,NA,NA,NA
1,1.3,AM Rahane,DS Kulkarni,NA,SS Tiwary,4,0,4,0,NA,NA,NA
1,1.4,AM Rahane,DS Kulkarni,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,1.5,AM Rahane,DS Kulkarni,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,1.6,SS Tiwary,DS Kulkarni,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,1.7,AM Rahane,DS Kulkarni,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,2.1,AM Rahane,P Kumar,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,2.2,AM Rahane,P Kumar,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,2.3,AM Rahane,P Kumar,NA,SS Tiwary,0,0,0,1,SK Raina,run out,SS Tiwary
1,2.4,SPD Smith,P Kumar,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,2.5,SPD Smith,P Kumar,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,2.6,SPD Smith,P Kumar,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,3.1,SPD Smith,DS Kulkarni,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,3.2,AM Rahane,DS Kulkarni,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,3.3,AM Rahane,DS Kulkarni,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,3.4,SPD Smith,DS Kulkarni,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,3.5,AM Rahane,DS Kulkarni,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,3.6,AM Rahane,DS Kulkarni,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,4.1,AM Rahane,P Kumar,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,4.2,SPD Smith,P Kumar,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,4.3,SPD Smith,P Kumar,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,4.4,SPD Smith,P Kumar,NA,AM Rahane,2,0,2,0,NA,NA,NA
1,4.5,SPD Smith,P Kumar,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,4.6,AM Rahane,P Kumar,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,5.1,AM Rahane,DS Kulkarni,NA,SPD Smith,4,0,4,0,NA,NA,NA
1,5.2,AM Rahane,DS Kulkarni,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,5.3,SPD Smith,DS Kulkarni,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,5.4,AM Rahane,DS Kulkarni,NA,SPD Smith,2,0,2,0,NA,NA,NA
1,5.5,AM Rahane,DS Kulkarni,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,5.6,SPD Smith,DS Kulkarni,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,6.1,AM Rahane,RA Jadeja,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,6.2,SPD Smith,RA Jadeja,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,6.3,AM Rahane,RA Jadeja,2legbyes,SPD Smith,0,2,2,0,NA,NA,NA
1,6.4,AM Rahane,RA Jadeja,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,6.5,SPD Smith,RA Jadeja,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,6.6,SPD Smith,RA Jadeja,NA,AM Rahane,2,0,2,0,NA,NA,NA
