innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,HM Amla,IK Pathan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,0.2,HM Amla,IK Pathan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,0.3,HM Amla,IK Pathan,NA,M Vijay,4,0,4,0,NA,NA,NA
1,0.4,HM Amla,IK Pathan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,0.5,HM Amla,IK Pathan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,0.6,HM Amla,IK Pathan,NA,M Vijay,4,0,4,0,NA,NA,NA
1,1.1,M Vijay,AB Dinda,NA,HM Amla,1,0,1,0,NA,NA,NA
1,1.2,HM Amla,AB Dinda,NA,M Vijay,0,0,0,0,NA,NA,NA
1,1.3,HM Amla,AB Dinda,NA,M Vijay,1,0,1,0,NA,NA,NA
1,1.4,M Vijay,AB Dinda,NA,HM Amla,0,0,0,0,NA,NA,NA
1,1.5,M Vijay,AB Dinda,NA,HM Amla,0,0,0,0,NA,NA,NA
1,1.6,M Vijay,AB Dinda,NA,HM Amla,0,0,0,0,NA,NA,NA
1,2.1,HM Amla,DL Chahar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.2,HM Amla,DL Chahar,NA,M Vijay,2,0,2,0,NA,NA,NA
1,2.3,HM Amla,DL Chahar,1wides,M Vijay,0,1,1,0,NA,NA,NA
1,2.4,HM Amla,DL Chahar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.5,HM Amla,DL Chahar,NA,M Vijay,4,0,4,0,NA,NA,NA
1,2.6,HM Amla,DL Chahar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.7,HM Amla,DL Chahar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,3.1,M Vijay,AB Dinda,NA,HM Amla,1,0,1,0,NA,NA,NA
1,3.2,HM Amla,AB Dinda,NA,M Vijay,0,0,0,0,NA,NA,NA
1,3.3,HM Amla,AB Dinda,NA,M Vijay,1,0,1,0,NA,NA,NA
1,3.4,M Vijay,AB Dinda,NA,HM Amla,4,0,4,0,NA,NA,NA
1,3.5,M Vijay,AB Dinda,NA,HM Amla,2,0,2,0,NA,NA,NA
1,3.6,M Vijay,AB Dinda,NA,HM Amla,0,0,0,0,NA,NA,NA
1,4.1,HM Amla,DL Chahar,NA,M Vijay,1,0,1,0,NA,NA,NA
1,4.2,M Vijay,DL Chahar,NA,HM Amla,1,0,1,0,NA,NA,NA
1,4.3,HM Amla,DL Chahar,1wides,M Vijay,0,1,1,0,NA,NA,NA
1,4.4,HM Amla,DL Chahar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,4.5,HM Amla,DL Chahar,1wides,M Vijay,0,1,1,0,NA,NA,NA
1,4.6,HM Amla,DL Chahar,1legbyes,M Vijay,0,1,1,0,NA,NA,NA
1,4.7,M Vijay,DL Chahar,NA,HM Amla,6,0,6,0,NA,NA,NA
1,4.8,M Vijay,DL Chahar,NA,HM Amla,4,0,4,0,NA,NA,NA
1,5.1,HM Amla,NLTC Perera,NA,M Vijay,1,0,1,0,NA,NA,NA
1,5.2,M Vijay,NLTC Perera,NA,HM Amla,0,0,0,0,NA,NA,NA
1,5.3,M Vijay,NLTC Perera,NA,HM Amla,4,0,4,0,NA,NA,NA
1,5.4,M Vijay,NLTC Perera,NA,HM Amla,1,0,1,0,NA,NA,NA
1,5.5,HM Amla,NLTC Perera,NA,M Vijay,6,0,6,0,NA,NA,NA
1,5.6,HM Amla,NLTC Perera,NA,M Vijay,0,0,0,0,NA,NA,NA
1,6.1,M Vijay,IK Pathan,NA,HM Amla,1,0,1,0,NA,NA,NA
1,6.2,HM Amla,IK Pathan,NA,M Vijay,1,0,1,0,NA,NA,NA
1,6.3,M Vijay,IK Pathan,NA,HM Amla,0,0,0,0,NA,NA,NA
1,6.4,M Vijay,IK Pathan,NA,HM Amla,1,0,1,0,NA,NA,NA
1,6.5,HM Amla,IK Pathan,NA,M Vijay,1,0,1,0,NA,NA,NA
1,6.6,M Vijay,IK Pathan,NA,HM Amla,0,0,0,0,NA,NA,NA
1,7.1,HM Amla,R Ashwin,NA,M Vijay,4,0,4,0,NA,NA,NA
1,7.2,HM Amla,R Ashwin,NA,M Vijay,0,0,0,0,NA,NA,NA
1,7.3,HM Amla,R Ashwin,NA,M Vijay,0,0,0,1,GJ Bailey,caught,HM Amla
1,7.4,WP Saha,R Ashwin,NA,M Vijay,1,0,1,0,NA,NA,NA
1,7.5,M Vijay,R Ashwin,NA,WP Saha,1,0,1,0,NA,NA,NA
1,7.6,WP Saha,R Ashwin,NA,M Vijay,1,0,1,0,NA,NA,NA
1,8.1,WP Saha,A Zampa,NA,M Vijay,1,0,1,0,NA,NA,NA
1,8.2,M Vijay,A Zampa,NA,WP Saha,1,0,1,0,NA,NA,NA
1,8.3,WP Saha,A Zampa,NA,M Vijay,0,0,0,1,R Ashwin,caught,WP Saha
1,8.4,Gurkeerat Singh,A Zampa,NA,M Vijay,1,0,1,0,NA,NA,NA
1,8.5,M Vijay,A Zampa,NA,Gurkeerat Singh,0,0,0,0,NA,NA,NA
1,8.6,M Vijay,A Zampa,NA,Gurkeerat Singh,1,0,1,0,NA,NA,NA
1,9.1,M Vijay,R Ashwin,NA,Gurkeerat Singh,1,0,1,0,NA,NA,NA
1,9.2,Gurkeerat Singh,R Ashwin,NA,M Vijay,0,0,0,0,NA,NA,NA
1,9.3,Gurkeerat Singh,R Ashwin,NA,M Vijay,2,0,2,0,NA,NA,NA
1,9.4,Gurkeerat Singh,R Ashwin,NA,M Vijay,4,0,4,0,NA,NA,NA
1,9.5,Gurkeerat Singh,R Ashwin,NA,M Vijay,1,0,1,0,NA,NA,NA
1,9.6,M Vijay,R Ashwin,NA,Gurkeerat Singh,1,0,1,0,NA,NA,NA
1,10.1,M Vijay,A Zampa,NA,Gurkeerat Singh,0,0,0,0,NA,NA,NA
1,10.2,M Vijay,A Zampa,NA,Gurkeerat Singh,1,0,1,0,NA,NA,NA
1,10.3,Gurkeerat Singh,A Zampa,NA,M Vijay,1,0,1,0,NA,NA,NA
1,10.4,M Vijay,A Zampa,NA,Gurkeerat Singh,1,0,1,0,NA,NA,NA
1,10.5,Gurkeerat Singh,A Zampa,NA,M Vijay,1,0,1,0,NA,NA,NA
1,10.6,M Vijay,A Zampa,NA,Gurkeerat Singh,1,0,1,0,NA,NA,NA
1,11.1,M Vijay,DL Chahar,NA,Gurkeerat Singh,1,0,1,0,NA,NA,NA
1,11.2,Gurkeerat Singh,DL Chahar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,11.3,Gurkeerat Singh,DL Chahar,NA,M Vijay,1,0,1,0,NA,NA,NA
1,11.4,M Vijay,DL Chahar,NA,Gurkeerat Singh,1,0,1,0,NA,NA,NA
1,11.5,Gurkeerat Singh,DL Chahar,NA,M Vijay,4,0,4,0,NA,NA,NA
1,11.6,Gurkeerat Singh,DL Chahar,NA,M Vijay,0,0,0,0,NA,NA,NA
1,12.1,M Vijay,A Zampa,NA,Gurkeerat Singh,1,0,1,0,NA,NA,NA
1,12.2,Gurkeerat Singh,A Zampa,NA,M Vijay,1,0,1,0,NA,NA,NA
1,12.3,M Vijay,A Zampa,NA,Gurkeerat Singh,1,0,1,0,NA,NA,NA
1,12.4,Gurkeerat Singh,A Zampa,NA,M Vijay,1,0,1,0,NA,NA,NA
1,12.5,M Vijay,A Zampa,NA,Gurkeerat Singh,4,0,4,0,NA,NA,NA
1,12.6,M Vijay,A Zampa,NA,Gurkeerat Singh,6,0,6,0,NA,NA,NA
1,13.1,Gurkeerat Singh,IK Pathan,NA,M Vijay,2,0,2,0,NA,NA,NA
1,13.2,Gurkeerat Singh,IK Pathan,NA,M Vijay,2,0,2,0,NA,NA,NA
1,13.3,Gurkeerat Singh,IK Pathan,NA,M Vijay,1,0,1,0,NA,NA,NA
1,13.4,M Vijay,IK Pathan,NA,Gurkeerat Singh,1,0,1,0,NA,NA,NA
1,13.5,Gurkeerat Singh,IK Pathan,NA,M Vijay,1,0,1,0,NA,NA,NA
1,13.6,M Vijay,IK Pathan,NA,Gurkeerat Singh,2,0,2,0,NA,NA,NA
1,14.1,Gurkeerat Singh,A Zampa,NA,M Vijay,1,0,1,0,NA,NA,NA
1,14.2,M Vijay,A Zampa,NA,Gurkeerat Singh,1,0,1,0,NA,NA,NA
1,14.3,Gurkeerat Singh,A Zampa,NA,M Vijay,0,0,0,0,NA,NA,NA
1,14.4,Gurkeerat Singh,A Zampa,NA,M Vijay,1,0,1,0,NA,NA,NA
1,14.5,M Vijay,A Zampa,NA,Gurkeerat Singh,6,0,6,0,NA,NA,NA
1,14.6,M Vijay,A Zampa,NA,Gurkeerat Singh,0,0,0,0,NA,NA,NA
1,15.1,Gurkeerat Singh,R Ashwin,NA,M Vijay,1,0,1,0,NA,NA,NA
1,15.2,M Vijay,R Ashwin,NA,Gurkeerat Singh,1,0,1,0,NA,NA,NA
1,15.3,Gurkeerat Singh,R Ashwin,NA,M Vijay,1,0,1,0,NA,NA,NA
1,15.4,M Vijay,R Ashwin,NA,Gurkeerat Singh,0,0,0,1,NA,bowled,M Vijay
1,15.5,DA Miller,R Ashwin,NA,Gurkeerat Singh,1,0,1,0,NA,NA,NA
1,15.6,Gurkeerat Singh,R Ashwin,NA,DA Miller,0,0,0,0,NA,NA,NA
1,16.1,DA Miller,IK Pathan,NA,Gurkeerat Singh,1,0,1,0,NA,NA,NA
1,16.2,Gurkeerat Singh,IK Pathan,NA,DA Miller,6,0,6,0,NA,NA,NA
1,16.3,Gurkeerat Singh,IK Pathan,NA,DA Miller,1,0,1,0,NA,NA,NA
1,16.4,DA Miller,IK Pathan,NA,Gurkeerat Singh,1,0,1,0,NA,NA,NA
1,16.5,Gurkeerat Singh,IK Pathan,NA,DA Miller,6,0,6,0,NA,NA,NA
1,16.6,Gurkeerat Singh,IK Pathan,NA,DA Miller,1,0,1,0,NA,NA,NA
1,17.1,Gurkeerat Singh,R Ashwin,NA,DA Miller,6,0,6,0,NA,NA,NA
1,17.2,Gurkeerat Singh,R Ashwin,NA,DA Miller,4,0,4,0,NA,NA,NA
1,17.3,Gurkeerat Singh,R Ashwin,NA,DA Miller,0,0,0,1,DL Chahar,caught,Gurkeerat Singh
1,17.4,DA Miller,R Ashwin,NA,F Behardien,4,0,4,0,NA,NA,NA
1,17.5,DA Miller,R Ashwin,NA,F Behardien,0,0,0,1,NA,lbw,DA Miller
1,17.6,AR Patel,R Ashwin,NA,F Behardien,0,0,0,0,NA,NA,NA
1,18.1,F Behardien,AB Dinda,NA,AR Patel,1,0,1,0,NA,NA,NA
1,18.2,AR Patel,AB Dinda,NA,F Behardien,1,0,1,0,NA,NA,NA
1,18.3,F Behardien,AB Dinda,NA,AR Patel,0,0,0,0,NA,NA,NA
1,18.4,F Behardien,AB Dinda,NA,AR Patel,4,0,4,0,NA,NA,NA
1,18.5,F Behardien,AB Dinda,NA,AR Patel,0,0,0,0,NA,NA,NA
1,18.6,F Behardien,AB Dinda,NA,AR Patel,0,0,0,1,AM Rahane,caught,F Behardien
1,19.1,AR Patel,NLTC Perera,NA,R Dhawan,0,0,0,1,SS Tiwary,caught,AR Patel
1,19.2,R Dhawan,NLTC Perera,NA,KJ Abbott,6,0,6,0,NA,NA,NA
1,19.3,R Dhawan,NLTC Perera,NA,KJ Abbott,1,0,1,0,NA,NA,NA
1,19.4,KJ Abbott,NLTC Perera,NA,R Dhawan,1,0,1,0,NA,NA,NA
1,19.5,R Dhawan,NLTC Perera,NA,KJ Abbott,2,0,2,0,NA,NA,NA
1,19.6,R Dhawan,NLTC Perera,NA,KJ Abbott,2,0,2,0,NA,NA,NA
2,0.1,AM Rahane,Sandeep Sharma,NA,UT Khawaja,1,0,1,0,NA,NA,NA
2,0.2,UT Khawaja,Sandeep Sharma,NA,AM Rahane,1,0,1,0,NA,NA,NA
2,0.3,AM Rahane,Sandeep Sharma,NA,UT Khawaja,0,0,0,0,NA,NA,NA
2,0.4,AM Rahane,Sandeep Sharma,NA,UT Khawaja,0,0,0,0,NA,NA,NA
2,0.5,AM Rahane,Sandeep Sharma,NA,UT Khawaja,4,0,4,0,NA,NA,NA
2,0.6,AM Rahane,Sandeep Sharma,NA,UT Khawaja,0,0,0,0,NA,NA,NA
2,1.1,UT Khawaja,MM Sharma,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,1.2,UT Khawaja,MM Sharma,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,1.3,UT Khawaja,MM Sharma,1wides,AM Rahane,0,1,1,0,NA,NA,NA
2,1.4,UT Khawaja,MM Sharma,NA,AM Rahane,6,0,6,0,NA,NA,NA
2,1.5,UT Khawaja,MM Sharma,NA,AM Rahane,2,0,2,0,NA,NA,NA
2,1.6,UT Khawaja,MM Sharma,NA,AM Rahane,1,0,1,0,NA,NA,NA
2,1.7,AM Rahane,MM Sharma,NA,UT Khawaja,4,0,4,0,NA,NA,NA
2,2.1,UT Khawaja,Sandeep Sharma,NA,AM Rahane,1,0,1,0,NA,NA,NA
2,2.2,AM Rahane,Sandeep Sharma,NA,UT Khawaja,0,0,0,0,NA,NA,NA
2,2.3,AM Rahane,Sandeep Sharma,NA,UT Khawaja,4,0,4,0,NA,NA,NA
2,2.4,AM Rahane,Sandeep Sharma,NA,UT Khawaja,0,0,0,0,NA,NA,NA
2,2.5,AM Rahane,Sandeep Sharma,NA,UT Khawaja,1,0,1,0,NA,NA,NA
2,2.6,UT Khawaja,Sandeep Sharma,NA,AM Rahane,1,0,1,0,NA,NA,NA
2,3.1,UT Khawaja,KJ Abbott,NA,AM Rahane,1,0,1,0,NA,NA,NA
2,3.2,AM Rahane,KJ Abbott,NA,UT Khawaja,1,0,1,0,NA,NA,NA
2,3.3,UT Khawaja,KJ Abbott,1legbyes,AM Rahane,0,1,1,0,NA,NA,NA
2,3.4,AM Rahane,KJ Abbott,NA,UT Khawaja,0,0,0,0,NA,NA,NA
2,3.5,AM Rahane,KJ Abbott,NA,UT Khawaja,4,0,4,0,NA,NA,NA
2,3.6,AM Rahane,KJ Abbott,NA,UT Khawaja,0,0,0,0,NA,NA,NA
2,4.1,UT Khawaja,Sandeep Sharma,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,4.2,UT Khawaja,Sandeep Sharma,NA,AM Rahane,0,0,0,0,NA,NA,NA
2,4.3,UT Khawaja,Sandeep Sharma,NA,AM Rahane,1,0,1,0,NA,NA,NA
2,4.4,AM Rahane,Sandeep Sharma,NA,UT Khawaja,0,0,0,1,WP Saha,caught,AM Rahane
2,4.5,GJ Bailey,Sandeep Sharma,NA,UT Khawaja,0,0,0,0,NA,NA,NA
2,4.6,GJ Bailey,Sandeep Sharma,NA,UT Khawaja,0,0,0,0,NA,NA,NA
2,5.1,UT Khawaja,MM Sharma,NA,GJ Bailey,1,0,1,0,NA,NA,NA
2,5.2,GJ Bailey,MM Sharma,NA,UT Khawaja,0,0,0,0,NA,NA,NA
2,5.3,GJ Bailey,MM Sharma,NA,UT Khawaja,0,0,0,0,NA,NA,NA
2,5.4,GJ Bailey,MM Sharma,NA,UT Khawaja,0,0,0,0,NA,NA,NA
2,5.5,GJ Bailey,MM Sharma,NA,UT Khawaja,4,0,4,0,NA,NA,NA
2,5.6,GJ Bailey,MM Sharma,NA,UT Khawaja,4,0,4,0,NA,NA,NA
2,6.1,UT Khawaja,AR Patel,NA,GJ Bailey,1,0,1,0,NA,NA,NA
2,6.2,GJ Bailey,AR Patel,NA,UT Khawaja,0,0,0,0,NA,NA,NA
2,6.3,GJ Bailey,AR Patel,NA,UT Khawaja,0,0,0,0,NA,NA,NA
2,6.4,GJ Bailey,AR Patel,NA,UT Khawaja,1,0,1,0,NA,NA,NA
2,6.5,UT Khawaja,AR Patel,NA,GJ Bailey,1,0,1,0,NA,NA,NA
2,6.6,GJ Bailey,AR Patel,NA,UT Khawaja,0,0,0,1,WP Saha,stumped,GJ Bailey
2,7.1,UT Khawaja,Gurkeerat Singh,NA,SS Tiwary,1,0,1,0,NA,NA,NA
2,7.2,SS Tiwary,Gurkeerat Singh,NA,UT Khawaja,0,0,0,0,NA,NA,NA
2,7.3,SS Tiwary,Gurkeerat Singh,NA,UT Khawaja,1,0,1,0,NA,NA,NA
2,7.4,UT Khawaja,Gurkeerat Singh,NA,SS Tiwary,2,0,2,0,NA,NA,NA
2,7.5,UT Khawaja,Gurkeerat Singh,NA,SS Tiwary,1,0,1,0,NA,NA,NA
