innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AM Rahane,M Morkel,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,0.2,AM Rahane,M Morkel,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,0.3,F du Plessis,M Morkel,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,0.4,F du Plessis,M Morkel,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,0.5,F du Plessis,M Morkel,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,0.6,F du Plessis,M Morkel,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,1.1,F du Plessis,AD Russell,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,1.2,AM Rahane,AD Russell,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,1.3,F du Plessis,AD Russell,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,1.4,AM Rahane,AD Russell,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,1.5,AM Rahane,AD Russell,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,1.6,AM Rahane,AD Russell,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,2.1,AM Rahane,M Morkel,NA,F du Plessis,6,0,6,0,NA,NA,NA
1,2.2,AM Rahane,M Morkel,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,2.3,AM Rahane,M Morkel,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,2.4,AM Rahane,M Morkel,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,2.5,AM Rahane,M Morkel,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,2.6,F du Plessis,M Morkel,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,3.1,AM Rahane,Shakib Al Hasan,NA,F du Plessis,0,0,0,0,NA,NA,NA
1,3.2,AM Rahane,Shakib Al Hasan,NA,F du Plessis,4,0,4,0,NA,NA,NA
1,3.3,AM Rahane,Shakib Al Hasan,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,3.4,F du Plessis,Shakib Al Hasan,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,3.5,AM Rahane,Shakib Al Hasan,NA,F du Plessis,1,0,1,0,NA,NA,NA
1,3.6,F du Plessis,Shakib Al Hasan,NA,AM Rahane,0,0,0,1,NA,bowled,F du Plessis
1,4.1,AM Rahane,SP Narine,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,4.2,AM Rahane,SP Narine,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,4.3,AM Rahane,SP Narine,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,4.4,SPD Smith,SP Narine,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,4.5,AM Rahane,SP Narine,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,4.6,SPD Smith,SP Narine,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,5.1,SPD Smith,Shakib Al Hasan,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,5.2,SPD Smith,Shakib Al Hasan,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,5.3,AM Rahane,Shakib Al Hasan,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,5.4,SPD Smith,Shakib Al Hasan,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,5.5,SPD Smith,Shakib Al Hasan,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,5.6,AM Rahane,Shakib Al Hasan,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,6.1,SPD Smith,AD Russell,NA,AM Rahane,2,0,2,0,NA,NA,NA
1,6.2,SPD Smith,AD Russell,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,6.3,AM Rahane,AD Russell,NA,SPD Smith,4,0,4,0,NA,NA,NA
1,6.4,AM Rahane,AD Russell,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,6.5,AM Rahane,AD Russell,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,6.6,SPD Smith,AD Russell,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,7.1,AM Rahane,Shakib Al Hasan,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,7.2,AM Rahane,Shakib Al Hasan,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,7.3,SPD Smith,Shakib Al Hasan,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,7.4,SPD Smith,Shakib Al Hasan,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,7.5,AM Rahane,Shakib Al Hasan,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,7.6,SPD Smith,Shakib Al Hasan,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,8.1,SPD Smith,PP Chawla,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,8.2,SPD Smith,PP Chawla,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,8.3,AM Rahane,PP Chawla,NA,SPD Smith,4,0,4,0,NA,NA,NA
1,8.4,AM Rahane,PP Chawla,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,8.5,SPD Smith,PP Chawla,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,8.6,AM Rahane,PP Chawla,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,9.1,AM Rahane,R Sathish,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,9.2,SPD Smith,R Sathish,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,9.3,AM Rahane,R Sathish,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,9.4,SPD Smith,R Sathish,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,9.5,SPD Smith,R Sathish,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,9.6,AM Rahane,R Sathish,NA,SPD Smith,2,0,2,0,NA,NA,NA
1,10.1,SPD Smith,PP Chawla,NA,AM Rahane,2,0,2,0,NA,NA,NA
1,10.2,SPD Smith,PP Chawla,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,10.3,AM Rahane,PP Chawla,NA,SPD Smith,3,0,3,0,NA,NA,NA
1,10.4,SPD Smith,PP Chawla,NA,AM Rahane,2,0,2,0,NA,NA,NA
1,10.5,SPD Smith,PP Chawla,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,10.6,AM Rahane,PP Chawla,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,11.1,AM Rahane,SP Narine,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,11.2,SPD Smith,SP Narine,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,11.3,SPD Smith,SP Narine,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,11.4,SPD Smith,SP Narine,NA,AM Rahane,2,0,2,0,NA,NA,NA
1,11.5,SPD Smith,SP Narine,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,11.6,SPD Smith,SP Narine,NA,AM Rahane,1,0,1,0,NA,NA,NA
