innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AM Rahane,TG Southee,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,0.2,SS Tiwary,TG Southee,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,0.3,SS Tiwary,TG Southee,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,0.4,AM Rahane,TG Southee,1wides,SS Tiwary,0,1,1,0,NA,NA,NA
1,0.5,AM Rahane,TG Southee,NA,SS Tiwary,3,0,3,0,NA,NA,NA
1,0.6,SS Tiwary,TG Southee,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,0.7,AM Rahane,TG Southee,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,1.1,SS Tiwary,MJ McClenaghan,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.2,SS Tiwary,MJ McClenaghan,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.3,SS Tiwary,MJ McClenaghan,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,1.4,AM Rahane,MJ McClenaghan,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,1.5,AM Rahane,MJ McClenaghan,NA,SS Tiwary,0,0,0,1,KH Pandya,caught,AM Rahane
1,1.6,SS Tiwary,MJ McClenaghan,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,2.1,SPD Smith,TG Southee,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,2.2,SS Tiwary,TG Southee,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,2.3,SPD Smith,TG Southee,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,2.4,SPD Smith,TG Southee,NA,SS Tiwary,4,0,4,0,NA,NA,NA
1,2.5,SPD Smith,TG Southee,NA,SS Tiwary,4,0,4,0,NA,NA,NA
1,2.6,SPD Smith,TG Southee,NA,SS Tiwary,4,0,4,0,NA,NA,NA
1,3.1,SS Tiwary,MJ McClenaghan,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,3.2,SS Tiwary,MJ McClenaghan,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,3.3,SPD Smith,MJ McClenaghan,NA,SS Tiwary,4,0,4,0,NA,NA,NA
1,3.4,SPD Smith,MJ McClenaghan,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,3.5,SPD Smith,MJ McClenaghan,NA,SS Tiwary,6,0,6,0,NA,NA,NA
1,3.6,SPD Smith,MJ McClenaghan,NA,SS Tiwary,3,0,3,0,NA,NA,NA
1,4.1,SPD Smith,KH Pandya,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,4.2,SPD Smith,KH Pandya,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,4.3,SPD Smith,KH Pandya,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,4.4,SS Tiwary,KH Pandya,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,4.5,SPD Smith,KH Pandya,NA,SS Tiwary,6,0,6,0,NA,NA,NA
1,4.6,SPD Smith,KH Pandya,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,5.1,SS Tiwary,JJ Bumrah,NA,SPD Smith,4,0,4,0,NA,NA,NA
1,5.2,SS Tiwary,JJ Bumrah,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,5.3,SS Tiwary,JJ Bumrah,NA,SPD Smith,2,0,2,0,NA,NA,NA
1,5.4,SS Tiwary,JJ Bumrah,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,5.5,SS Tiwary,JJ Bumrah,NA,SPD Smith,4,0,4,0,NA,NA,NA
1,5.6,SS Tiwary,JJ Bumrah,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,6.1,SPD Smith,KH Pandya,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,6.2,SS Tiwary,KH Pandya,1wides,SPD Smith,0,1,1,0,NA,NA,NA
1,6.3,SS Tiwary,KH Pandya,NA,SPD Smith,6,0,6,0,NA,NA,NA
1,6.4,SS Tiwary,KH Pandya,NA,SPD Smith,2,0,2,0,NA,NA,NA
1,6.5,SS Tiwary,KH Pandya,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,6.6,SS Tiwary,KH Pandya,NA,SPD Smith,6,0,6,0,NA,NA,NA
1,6.7,SS Tiwary,KH Pandya,NA,SPD Smith,4,0,4,0,NA,NA,NA
1,7.1,SPD Smith,HH Pandya,1wides,SS Tiwary,0,1,1,0,NA,NA,NA
1,7.2,SPD Smith,HH Pandya,NA,SS Tiwary,6,0,6,0,NA,NA,NA
1,7.3,SPD Smith,HH Pandya,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,7.4,SPD Smith,HH Pandya,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,7.5,SS Tiwary,HH Pandya,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,7.6,SPD Smith,HH Pandya,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,7.7,SS Tiwary,HH Pandya,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,8.1,SPD Smith,Harbhajan Singh,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,8.2,SS Tiwary,Harbhajan Singh,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,8.3,SPD Smith,Harbhajan Singh,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,8.4,SS Tiwary,Harbhajan Singh,1wides,SPD Smith,0,1,1,0,NA,NA,NA
1,8.5,SS Tiwary,Harbhajan Singh,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,8.6,SPD Smith,Harbhajan Singh,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,8.7,SS Tiwary,Harbhajan Singh,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,9.1,SS Tiwary,JJ Bumrah,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,9.2,SPD Smith,JJ Bumrah,NA,SS Tiwary,0,0,0,1,PA Patel,caught,SPD Smith
1,9.3,PSP Handscomb,JJ Bumrah,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,9.4,PSP Handscomb,JJ Bumrah,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,9.5,PSP Handscomb,JJ Bumrah,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,9.6,PSP Handscomb,JJ Bumrah,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,10.1,PSP Handscomb,Harbhajan Singh,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,10.2,SS Tiwary,Harbhajan Singh,NA,PSP Handscomb,1,0,1,0,NA,NA,NA
1,10.3,PSP Handscomb,Harbhajan Singh,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,10.4,SS Tiwary,Harbhajan Singh,NA,PSP Handscomb,4,0,4,0,NA,NA,NA
1,10.5,SS Tiwary,Harbhajan Singh,NA,PSP Handscomb,1,0,1,0,NA,NA,NA
1,10.6,PSP Handscomb,Harbhajan Singh,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,11.1,PSP Handscomb,TG Southee,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,11.2,PSP Handscomb,TG Southee,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,11.3,SS Tiwary,TG Southee,NA,PSP Handscomb,0,0,0,0,NA,NA,NA
1,11.4,SS Tiwary,TG Southee,NA,PSP Handscomb,1,0,1,0,NA,NA,NA
1,11.5,PSP Handscomb,TG Southee,NA,SS Tiwary,0,0,0,0,NA,NA,NA
