innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,V Kohli,I Sharma,1wides,KL Rahul,0,1,1,0,NA,NA,NA
1,0.2,V Kohli,I Sharma,NA,KL Rahul,1,0,1,0,NA,NA,NA
1,0.3,KL Rahul,I Sharma,NA,V Kohli,4,0,4,0,NA,NA,NA
1,0.4,KL Rahul,I Sharma,NA,V Kohli,0,0,0,0,NA,NA,NA
1,0.5,KL Rahul,I Sharma,NA,V Kohli,1,0,1,0,NA,NA,NA
1,0.6,V Kohli,I Sharma,NA,KL Rahul,1,0,1,0,NA,NA,NA
1,0.7,KL Rahul,I Sharma,NA,V Kohli,1,0,1,0,NA,NA,NA
1,1.1,KL Rahul,NLTC Perera,NA,V Kohli,1,0,1,0,NA,NA,NA
1,1.2,V Kohli,NLTC Perera,NA,KL Rahul,0,0,0,0,NA,NA,NA
1,1.3,V Kohli,NLTC Perera,NA,KL Rahul,0,0,0,0,NA,NA,NA
1,1.4,V Kohli,NLTC Perera,NA,KL Rahul,0,0,0,0,NA,NA,NA
1,1.5,V Kohli,NLTC Perera,NA,KL Rahul,0,0,0,0,NA,NA,NA
1,1.6,V Kohli,NLTC Perera,NA,KL Rahul,1,0,1,0,NA,NA,NA
1,2.1,V Kohli,I Sharma,NA,KL Rahul,6,0,6,0,NA,NA,NA
1,2.2,V Kohli,I Sharma,NA,KL Rahul,4,0,4,0,NA,NA,NA
1,2.3,V Kohli,I Sharma,NA,KL Rahul,1,0,1,0,NA,NA,NA
1,2.4,KL Rahul,I Sharma,NA,V Kohli,0,0,0,0,NA,NA,NA
1,2.5,KL Rahul,I Sharma,NA,V Kohli,0,0,0,0,NA,NA,NA
1,2.6,KL Rahul,I Sharma,NA,V Kohli,0,0,0,0,NA,NA,NA
1,3.1,V Kohli,NLTC Perera,NA,KL Rahul,4,0,4,0,NA,NA,NA
1,3.2,V Kohli,NLTC Perera,NA,KL Rahul,1,0,1,0,NA,NA,NA
1,3.3,KL Rahul,NLTC Perera,NA,V Kohli,0,0,0,0,NA,NA,NA
