innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,DA Warner,AB Dinda,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,0.2,DA Warner,AB Dinda,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,0.3,DA Warner,AB Dinda,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,0.4,S Dhawan,AB Dinda,NA,DA Warner,0,0,0,0,NA,NA,NA
1,0.5,S Dhawan,AB Dinda,NA,DA Warner,0,0,0,0,NA,NA,NA
1,0.6,S Dhawan,AB Dinda,NA,DA Warner,1,0,1,0,NA,NA,NA
1,1.1,S Dhawan,RP Singh,NA,DA Warner,1,0,1,0,NA,NA,NA
1,1.2,DA Warner,RP Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.3,DA Warner,RP Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.4,DA Warner,RP Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.5,DA Warner,RP Singh,1wides,S Dhawan,0,1,1,0,NA,NA,NA
1,1.6,DA Warner,RP Singh,NA,S Dhawan,6,0,6,0,NA,NA,NA
1,1.7,DA Warner,RP Singh,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,2.1,DA Warner,AB Dinda,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,2.2,DA Warner,AB Dinda,NA,S Dhawan,2,0,2,0,NA,NA,NA
1,2.3,DA Warner,AB Dinda,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,2.4,DA Warner,AB Dinda,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,2.5,S Dhawan,AB Dinda,NA,DA Warner,0,0,0,0,NA,NA,NA
1,2.6,S Dhawan,AB Dinda,NA,DA Warner,4,0,4,0,NA,NA,NA
1,3.1,DA Warner,RP Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,3.2,DA Warner,RP Singh,NA,S Dhawan,0,0,0,1,MS Dhoni,caught,DA Warner
1,3.3,KS Williamson,RP Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,3.4,KS Williamson,RP Singh,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,3.5,KS Williamson,RP Singh,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,3.6,S Dhawan,RP Singh,NA,KS Williamson,0,0,0,0,NA,NA,NA
1,4.1,KS Williamson,AB Dinda,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,4.2,KS Williamson,AB Dinda,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,4.3,KS Williamson,AB Dinda,1wides,S Dhawan,0,1,1,0,NA,NA,NA
1,4.4,KS Williamson,AB Dinda,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,4.5,S Dhawan,AB Dinda,NA,KS Williamson,0,0,0,0,NA,NA,NA
1,4.6,S Dhawan,AB Dinda,NA,KS Williamson,0,0,0,0,NA,NA,NA
1,4.7,S Dhawan,AB Dinda,NA,KS Williamson,0,0,0,0,NA,NA,NA
1,5.1,KS Williamson,RP Singh,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,5.2,S Dhawan,RP Singh,NA,KS Williamson,0,0,0,0,NA,NA,NA
1,5.3,S Dhawan,RP Singh,NA,KS Williamson,0,0,0,0,NA,NA,NA
1,5.4,S Dhawan,RP Singh,NA,KS Williamson,4,0,4,0,NA,NA,NA
1,5.5,S Dhawan,RP Singh,NA,KS Williamson,2,0,2,0,NA,NA,NA
1,5.6,S Dhawan,RP Singh,NA,KS Williamson,6,0,6,0,NA,NA,NA
1,6.1,KS Williamson,R Ashwin,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,6.2,KS Williamson,R Ashwin,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,6.3,KS Williamson,R Ashwin,2wides,S Dhawan,0,2,2,0,NA,NA,NA
1,6.4,S Dhawan,R Ashwin,NA,KS Williamson,2,0,2,0,NA,NA,NA
1,6.5,S Dhawan,R Ashwin,NA,KS Williamson,1,0,1,0,NA,NA,NA
1,6.6,KS Williamson,R Ashwin,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,6.7,KS Williamson,R Ashwin,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,7.1,KS Williamson,A Zampa,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,7.2,S Dhawan,A Zampa,NA,KS Williamson,1,0,1,0,NA,NA,NA
1,7.3,KS Williamson,A Zampa,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,7.4,S Dhawan,A Zampa,NA,KS Williamson,2,0,2,0,NA,NA,NA
1,7.5,S Dhawan,A Zampa,NA,KS Williamson,0,0,0,0,NA,NA,NA
1,7.6,S Dhawan,A Zampa,NA,KS Williamson,0,0,0,0,NA,NA,NA
1,8.1,KS Williamson,R Ashwin,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,8.2,KS Williamson,R Ashwin,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,8.3,S Dhawan,R Ashwin,NA,KS Williamson,0,0,0,0,NA,NA,NA
1,8.4,S Dhawan,R Ashwin,NA,KS Williamson,1,0,1,0,NA,NA,NA
1,8.5,KS Williamson,R Ashwin,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,8.6,KS Williamson,R Ashwin,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,9.1,S Dhawan,R Bhatia,NA,KS Williamson,1,0,1,0,NA,NA,NA
1,9.2,KS Williamson,R Bhatia,1legbyes,S Dhawan,0,1,1,0,NA,NA,NA
1,9.3,S Dhawan,R Bhatia,NA,KS Williamson,6,0,6,0,NA,NA,NA
1,9.4,S Dhawan,R Bhatia,NA,KS Williamson,1,0,1,0,NA,NA,NA
1,9.5,KS Williamson,R Bhatia,NA,S Dhawan,2,0,2,0,NA,NA,NA
1,9.6,KS Williamson,R Bhatia,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,10.1,KS Williamson,R Ashwin,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,10.2,S Dhawan,R Ashwin,NA,KS Williamson,0,0,0,1,SS Tiwary,caught,S Dhawan
1,10.3,KS Williamson,R Ashwin,NA,Yuvraj Singh,0,0,0,0,NA,NA,NA
1,10.4,KS Williamson,R Ashwin,NA,Yuvraj Singh,1,0,1,0,NA,NA,NA
1,10.5,Yuvraj Singh,R Ashwin,NA,KS Williamson,0,0,0,0,NA,NA,NA
1,10.6,Yuvraj Singh,R Ashwin,NA,KS Williamson,1,0,1,0,NA,NA,NA
1,11.1,Yuvraj Singh,R Bhatia,NA,KS Williamson,0,0,0,0,NA,NA,NA
1,11.2,Yuvraj Singh,R Bhatia,NA,KS Williamson,0,0,0,0,NA,NA,NA
1,11.3,Yuvraj Singh,R Bhatia,NA,KS Williamson,0,0,0,0,NA,NA,NA
1,11.4,Yuvraj Singh,R Bhatia,NA,KS Williamson,1,0,1,0,NA,NA,NA
