innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,MEK Hussey,Z Khan,NA,M Vijay,1,0,1,0,NA,NA,NA
1,0.2,M Vijay,Z Khan,NA,MEK Hussey,1,0,1,0,NA,NA,NA
1,0.3,MEK Hussey,Z Khan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,0.4,MEK Hussey,Z Khan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,0.5,MEK Hussey,Z Khan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,0.6,MEK Hussey,Z Khan,1wides,M Vijay,0,1,1,0,NA,NA,NA
1,0.7,MEK Hussey,Z Khan,NA,M Vijay,2,0,2,0,NA,NA,NA
1,1.1,M Vijay,S Aravind,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,1.2,M Vijay,S Aravind,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,1.3,M Vijay,S Aravind,NA,MEK Hussey,1,0,1,0,NA,NA,NA
1,1.4,MEK Hussey,S Aravind,NA,M Vijay,1,0,1,0,NA,NA,NA
1,1.5,M Vijay,S Aravind,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,1.6,M Vijay,S Aravind,NA,MEK Hussey,0,0,0,0,NA,NA,NA
1,2.1,MEK Hussey,Z Khan,NA,M Vijay,0,0,0,1,NA,bowled,MEK Hussey
1,2.2,SK Raina,Z Khan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.3,SK Raina,Z Khan,NA,M Vijay,4,0,4,0,NA,NA,NA
1,2.4,SK Raina,Z Khan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.5,SK Raina,Z Khan,1wides,M Vijay,0,1,1,0,NA,NA,NA
1,2.6,SK Raina,Z Khan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,2.7,SK Raina,Z Khan,NA,M Vijay,0,0,0,0,NA,NA,NA
1,3.1,M Vijay,S Aravind,NA,SK Raina,0,0,0,0,NA,NA,NA
1,3.2,M Vijay,S Aravind,NA,SK Raina,4,0,4,0,NA,NA,NA
1,3.3,M Vijay,S Aravind,NA,SK Raina,0,0,0,1,AB de Villiers,caught,M Vijay
1,3.4,S Badrinath,S Aravind,1wides,SK Raina,0,1,1,0,NA,NA,NA
1,3.5,S Badrinath,S Aravind,NA,SK Raina,0,0,0,0,NA,NA,NA
1,3.6,S Badrinath,S Aravind,NA,SK Raina,0,0,0,0,NA,NA,NA
1,3.7,S Badrinath,S Aravind,NA,SK Raina,0,0,0,0,NA,NA,NA
1,4.1,SK Raina,Z Khan,NA,S Badrinath,0,0,0,1,V Kohli,caught,SK Raina
1,4.2,S Badrinath,Z Khan,NA,WP Saha,0,0,0,0,NA,NA,NA
1,4.3,S Badrinath,Z Khan,NA,WP Saha,0,0,0,0,NA,NA,NA
1,4.4,S Badrinath,Z Khan,NA,WP Saha,0,0,0,0,NA,NA,NA
1,4.5,S Badrinath,Z Khan,NA,WP Saha,0,0,0,0,NA,NA,NA
1,4.6,S Badrinath,Z Khan,NA,WP Saha,0,0,0,0,NA,NA,NA
1,5.1,WP Saha,DL Vettori,NA,S Badrinath,4,0,4,0,NA,NA,NA
1,5.2,WP Saha,DL Vettori,NA,S Badrinath,1,0,1,0,NA,NA,NA
1,5.3,S Badrinath,DL Vettori,NA,WP Saha,0,0,0,0,NA,NA,NA
1,5.4,S Badrinath,DL Vettori,NA,WP Saha,0,0,0,1,A Mithun,caught,S Badrinath
1,5.5,WP Saha,DL Vettori,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,5.6,WP Saha,DL Vettori,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,6.1,WP Saha,S Aravind,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,6.2,MS Dhoni,S Aravind,NA,WP Saha,1,0,1,0,NA,NA,NA
1,6.3,WP Saha,S Aravind,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,6.4,WP Saha,S Aravind,1wides,MS Dhoni,0,1,1,0,NA,NA,NA
1,6.5,WP Saha,S Aravind,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,6.6,WP Saha,S Aravind,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,6.7,MS Dhoni,S Aravind,NA,WP Saha,0,0,0,0,NA,NA,NA
1,7.1,WP Saha,DL Vettori,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,7.2,WP Saha,DL Vettori,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,7.3,WP Saha,DL Vettori,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,7.4,WP Saha,DL Vettori,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,7.5,WP Saha,DL Vettori,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,7.6,MS Dhoni,DL Vettori,NA,WP Saha,4,0,4,0,NA,NA,NA
1,8.1,WP Saha,A Mithun,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,8.2,WP Saha,A Mithun,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,8.3,WP Saha,A Mithun,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,8.4,MS Dhoni,A Mithun,NA,WP Saha,1,0,1,0,NA,NA,NA
1,8.5,WP Saha,A Mithun,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,8.6,WP Saha,A Mithun,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,9.1,WP Saha,DL Vettori,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,9.2,MS Dhoni,DL Vettori,NA,WP Saha,0,0,0,0,NA,NA,NA
1,9.3,MS Dhoni,DL Vettori,NA,WP Saha,0,0,0,0,NA,NA,NA
1,9.4,MS Dhoni,DL Vettori,NA,WP Saha,0,0,0,0,NA,NA,NA
1,9.5,MS Dhoni,DL Vettori,NA,WP Saha,0,0,0,0,NA,NA,NA
1,9.6,MS Dhoni,DL Vettori,NA,WP Saha,0,0,0,0,NA,NA,NA
1,10.1,WP Saha,CH Gayle,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,10.2,MS Dhoni,CH Gayle,NA,WP Saha,6,0,6,0,NA,NA,NA
1,10.3,MS Dhoni,CH Gayle,NA,WP Saha,0,0,0,0,NA,NA,NA
1,10.4,MS Dhoni,CH Gayle,NA,WP Saha,0,0,0,0,NA,NA,NA
1,10.5,MS Dhoni,CH Gayle,NA,WP Saha,0,0,0,0,NA,NA,NA
1,10.6,MS Dhoni,CH Gayle,NA,WP Saha,1,0,1,0,NA,NA,NA
1,11.1,MS Dhoni,A Mithun,NA,WP Saha,1,0,1,0,NA,NA,NA
1,11.2,WP Saha,A Mithun,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,11.3,WP Saha,A Mithun,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,11.4,MS Dhoni,A Mithun,NA,WP Saha,1,0,1,0,NA,NA,NA
1,11.5,WP Saha,A Mithun,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,11.6,WP Saha,A Mithun,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,12.1,WP Saha,CH Gayle,NA,MS Dhoni,6,0,6,0,NA,NA,NA
1,12.2,WP Saha,CH Gayle,4legbyes,MS Dhoni,0,4,4,0,NA,NA,NA
1,12.3,WP Saha,CH Gayle,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,12.4,WP Saha,CH Gayle,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,12.5,MS Dhoni,CH Gayle,NA,WP Saha,1,0,1,0,NA,NA,NA
1,12.6,WP Saha,CH Gayle,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,13.1,MS Dhoni,V Kohli,NA,WP Saha,2,0,2,0,NA,NA,NA
1,13.2,MS Dhoni,V Kohli,NA,WP Saha,1,0,1,0,NA,NA,NA
1,13.3,WP Saha,V Kohli,1wides,MS Dhoni,0,1,1,0,NA,NA,NA
1,13.4,WP Saha,V Kohli,NA,MS Dhoni,0,0,0,1,LA Pomersbach,caught,WP Saha
1,13.5,DJ Bravo,V Kohli,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,13.6,DJ Bravo,V Kohli,NA,MS Dhoni,4,0,4,0,NA,NA,NA
1,13.7,DJ Bravo,V Kohli,NA,MS Dhoni,0,0,0,0,NA,NA,NA
1,14.1,MS Dhoni,CH Gayle,NA,DJ Bravo,0,0,0,0,NA,NA,NA
1,14.2,MS Dhoni,CH Gayle,NA,DJ Bravo,6,0,6,0,NA,NA,NA
1,14.3,MS Dhoni,CH Gayle,NA,DJ Bravo,1,0,1,0,NA,NA,NA
1,14.4,DJ Bravo,CH Gayle,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,14.5,MS Dhoni,CH Gayle,NA,DJ Bravo,2,0,2,0,NA,NA,NA
1,14.6,MS Dhoni,CH Gayle,NA,DJ Bravo,1,0,1,0,NA,NA,NA
1,15.1,DJ Bravo,DL Vettori,NA,MS Dhoni,0,0,0,1,NA,lbw,DJ Bravo
1,15.2,JA Morkel,DL Vettori,NA,MS Dhoni,1,0,1,0,NA,NA,NA
1,15.3,MS Dhoni,DL Vettori,NA,JA Morkel,1,0,1,0,NA,NA,NA
