innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,B Chipli,DP Vijaykumar,NA,W Jaffer,0,0,0,0,NA,NA,NA
1,0.2,B Chipli,DP Vijaykumar,NA,W Jaffer,1,0,1,0,NA,NA,NA
1,0.3,W Jaffer,DP Vijaykumar,NA,B Chipli,0,0,0,0,NA,NA,NA
1,0.4,W Jaffer,DP Vijaykumar,NA,B Chipli,0,0,0,0,NA,NA,NA
1,0.5,W Jaffer,DP Vijaykumar,NA,B Chipli,1,0,1,0,NA,NA,NA
1,0.6,B Chipli,DP Vijaykumar,NA,W Jaffer,0,0,0,0,NA,NA,NA
1,1.1,W Jaffer,RP Singh,NA,B Chipli,1,0,1,0,NA,NA,NA
1,1.2,B Chipli,RP Singh,NA,W Jaffer,1,0,1,0,NA,NA,NA
1,1.3,W Jaffer,RP Singh,NA,B Chipli,1,0,1,0,NA,NA,NA
1,1.4,B Chipli,RP Singh,NA,W Jaffer,4,0,4,0,NA,NA,NA
1,1.5,B Chipli,RP Singh,NA,W Jaffer,4,0,4,0,NA,NA,NA
1,1.6,B Chipli,RP Singh,NA,W Jaffer,0,0,0,1,NA,bowled,B Chipli
1,2.1,W Jaffer,DP Vijaykumar,NA,V Kohli,0,0,0,0,NA,NA,NA
1,2.2,W Jaffer,DP Vijaykumar,NA,V Kohli,0,0,0,0,NA,NA,NA
1,2.3,W Jaffer,DP Vijaykumar,NA,V Kohli,0,0,0,0,NA,NA,NA
1,2.4,W Jaffer,DP Vijaykumar,NA,V Kohli,4,0,4,0,NA,NA,NA
1,2.5,W Jaffer,DP Vijaykumar,NA,V Kohli,4,0,4,0,NA,NA,NA
1,2.6,W Jaffer,DP Vijaykumar,NA,V Kohli,1,0,1,0,NA,NA,NA
1,3.1,W Jaffer,RP Singh,NA,V Kohli,4,0,4,0,NA,NA,NA
1,3.2,W Jaffer,RP Singh,NA,V Kohli,0,0,0,0,NA,NA,NA
1,3.3,W Jaffer,RP Singh,NA,V Kohli,1,0,1,0,NA,NA,NA
1,3.4,V Kohli,RP Singh,NA,W Jaffer,0,0,0,0,NA,NA,NA
