innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,DA Warner,R Rampaul,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,0.2,DA Warner,R Rampaul,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,0.3,DA Warner,R Rampaul,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,0.4,DA Warner,R Rampaul,1legbyes,V Sehwag,0,1,1,0,NA,NA,NA
1,0.5,V Sehwag,R Rampaul,NA,DA Warner,0,0,0,0,NA,NA,NA
1,0.6,V Sehwag,R Rampaul,NA,DA Warner,0,0,0,0,NA,NA,NA
1,1.1,DA Warner,RP Singh,1wides,V Sehwag,0,1,1,0,NA,NA,NA
1,1.2,DA Warner,RP Singh,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,1.3,V Sehwag,RP Singh,NA,DA Warner,4,0,4,0,NA,NA,NA
1,1.4,V Sehwag,RP Singh,NA,DA Warner,1,0,1,0,NA,NA,NA
1,1.5,DA Warner,RP Singh,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,1.6,DA Warner,RP Singh,NA,V Sehwag,4,0,4,0,NA,NA,NA
1,1.7,DA Warner,RP Singh,NA,V Sehwag,4,0,4,0,NA,NA,NA
1,2.1,V Sehwag,R Rampaul,NA,DA Warner,3,0,3,0,NA,NA,NA
1,2.2,DA Warner,R Rampaul,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,2.3,V Sehwag,R Rampaul,NA,DA Warner,0,0,0,0,NA,NA,NA
1,2.4,V Sehwag,R Rampaul,NA,DA Warner,0,0,0,0,NA,NA,NA
1,2.5,V Sehwag,R Rampaul,NA,DA Warner,0,0,0,0,NA,NA,NA
1,2.6,V Sehwag,R Rampaul,NA,DA Warner,1,0,1,0,NA,NA,NA
1,3.1,V Sehwag,JD Unadkat,NA,DA Warner,0,0,0,0,NA,NA,NA
1,3.2,V Sehwag,JD Unadkat,NA,DA Warner,4,0,4,0,NA,NA,NA
1,3.3,V Sehwag,JD Unadkat,NA,DA Warner,0,0,0,0,NA,NA,NA
1,3.4,V Sehwag,JD Unadkat,NA,DA Warner,4,0,4,0,NA,NA,NA
1,3.5,V Sehwag,JD Unadkat,NA,DA Warner,4,0,4,0,NA,NA,NA
1,3.6,V Sehwag,JD Unadkat,NA,DA Warner,1,0,1,0,NA,NA,NA
1,4.1,V Sehwag,R Rampaul,NA,DA Warner,0,0,0,0,NA,NA,NA
1,4.2,V Sehwag,R Rampaul,NA,DA Warner,0,0,0,0,NA,NA,NA
1,4.3,V Sehwag,R Rampaul,1noballs,DA Warner,1,1,2,0,NA,NA,NA
1,4.4,DA Warner,R Rampaul,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,4.5,V Sehwag,R Rampaul,NA,DA Warner,1,0,1,0,NA,NA,NA
1,4.6,DA Warner,R Rampaul,NA,V Sehwag,4,0,4,0,NA,NA,NA
1,4.7,DA Warner,R Rampaul,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,5.1,V Sehwag,R Vinay Kumar,NA,DA Warner,0,0,0,0,NA,NA,NA
1,5.2,V Sehwag,R Vinay Kumar,NA,DA Warner,0,0,0,0,NA,NA,NA
1,5.3,V Sehwag,R Vinay Kumar,NA,DA Warner,1,0,1,0,NA,NA,NA
1,5.4,DA Warner,R Vinay Kumar,NA,V Sehwag,0,0,0,1,NA,caught and bowled,DA Warner
1,5.5,MC Juneja,R Vinay Kumar,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,5.6,MC Juneja,R Vinay Kumar,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,6.1,V Sehwag,AB McDonald,NA,MC Juneja,0,0,0,1,V Kohli,caught,V Sehwag
1,6.2,DPMD Jayawardene,AB McDonald,NA,MC Juneja,0,0,0,0,NA,NA,NA
1,6.3,DPMD Jayawardene,AB McDonald,NA,MC Juneja,4,0,4,0,NA,NA,NA
1,6.4,DPMD Jayawardene,AB McDonald,NA,MC Juneja,1,0,1,0,NA,NA,NA
1,6.5,MC Juneja,AB McDonald,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,6.6,DPMD Jayawardene,AB McDonald,NA,MC Juneja,0,0,0,0,NA,NA,NA
1,7.1,MC Juneja,R Vinay Kumar,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,7.2,DPMD Jayawardene,R Vinay Kumar,NA,MC Juneja,0,0,0,0,NA,NA,NA
1,7.3,DPMD Jayawardene,R Vinay Kumar,NA,MC Juneja,2,0,2,0,NA,NA,NA
1,7.4,DPMD Jayawardene,R Vinay Kumar,NA,MC Juneja,0,0,0,0,NA,NA,NA
1,7.5,DPMD Jayawardene,R Vinay Kumar,NA,MC Juneja,0,0,0,0,NA,NA,NA
1,7.6,DPMD Jayawardene,R Vinay Kumar,NA,MC Juneja,0,0,0,0,NA,NA,NA
1,8.1,MC Juneja,AB McDonald,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,8.2,MC Juneja,AB McDonald,NA,DPMD Jayawardene,4,0,4,0,NA,NA,NA
1,8.3,MC Juneja,AB McDonald,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,8.4,DPMD Jayawardene,AB McDonald,NA,MC Juneja,1,0,1,0,NA,NA,NA
1,8.5,MC Juneja,AB McDonald,NA,DPMD Jayawardene,4,0,4,0,NA,NA,NA
1,8.6,MC Juneja,AB McDonald,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,9.1,MC Juneja,JD Unadkat,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,9.2,DPMD Jayawardene,JD Unadkat,NA,MC Juneja,0,0,0,0,NA,NA,NA
1,9.3,DPMD Jayawardene,JD Unadkat,NA,MC Juneja,0,0,0,0,NA,NA,NA
1,9.4,DPMD Jayawardene,JD Unadkat,NA,MC Juneja,0,0,0,0,NA,NA,NA
1,9.5,DPMD Jayawardene,JD Unadkat,NA,MC Juneja,1,0,1,0,NA,NA,NA
1,9.6,MC Juneja,JD Unadkat,1wides,DPMD Jayawardene,0,1,1,0,NA,NA,NA
1,9.7,MC Juneja,JD Unadkat,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,10.1,MC Juneja,J Syed Mohammad,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,10.2,DPMD Jayawardene,J Syed Mohammad,NA,MC Juneja,1,0,1,0,NA,NA,NA
1,10.3,MC Juneja,J Syed Mohammad,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,10.4,MC Juneja,J Syed Mohammad,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,10.5,DPMD Jayawardene,J Syed Mohammad,NA,MC Juneja,1,0,1,0,NA,NA,NA
1,10.6,MC Juneja,J Syed Mohammad,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,11.1,MC Juneja,JD Unadkat,1wides,DPMD Jayawardene,0,1,1,0,NA,NA,NA
1,11.2,MC Juneja,JD Unadkat,NA,DPMD Jayawardene,0,0,0,1,R Vinay Kumar,caught,MC Juneja
1,11.3,DPMD Jayawardene,JD Unadkat,NA,BJ Rohrer,1,0,1,0,NA,NA,NA
1,11.4,BJ Rohrer,JD Unadkat,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,11.5,BJ Rohrer,JD Unadkat,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,11.6,DPMD Jayawardene,JD Unadkat,NA,BJ Rohrer,1,0,1,0,NA,NA,NA
1,11.7,BJ Rohrer,JD Unadkat,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,12.1,DPMD Jayawardene,J Syed Mohammad,NA,BJ Rohrer,1,0,1,0,NA,NA,NA
1,12.2,BJ Rohrer,J Syed Mohammad,NA,DPMD Jayawardene,4,0,4,0,NA,NA,NA
1,12.3,BJ Rohrer,J Syed Mohammad,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,12.4,BJ Rohrer,J Syed Mohammad,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,12.5,BJ Rohrer,J Syed Mohammad,NA,DPMD Jayawardene,2,0,2,0,NA,NA,NA
1,12.6,BJ Rohrer,J Syed Mohammad,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,13.1,BJ Rohrer,RP Singh,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,13.2,BJ Rohrer,RP Singh,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,13.3,BJ Rohrer,RP Singh,NA,DPMD Jayawardene,4,0,4,0,NA,NA,NA
1,13.4,BJ Rohrer,RP Singh,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,13.5,DPMD Jayawardene,RP Singh,NA,BJ Rohrer,1,0,1,0,NA,NA,NA
1,13.6,BJ Rohrer,RP Singh,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,14.1,BJ Rohrer,JD Unadkat,NA,DPMD Jayawardene,0,0,0,1,V Kohli,caught,BJ Rohrer
1,14.2,KM Jadhav,JD Unadkat,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,14.3,DPMD Jayawardene,JD Unadkat,NA,KM Jadhav,0,0,0,0,NA,NA,NA
1,14.4,DPMD Jayawardene,JD Unadkat,NA,KM Jadhav,0,0,0,0,NA,NA,NA
1,14.5,DPMD Jayawardene,JD Unadkat,NA,KM Jadhav,2,0,2,0,NA,NA,NA
1,14.6,DPMD Jayawardene,JD Unadkat,NA,KM Jadhav,0,0,0,0,NA,NA,NA
1,15.1,KM Jadhav,R Vinay Kumar,NA,DPMD Jayawardene,4,0,4,0,NA,NA,NA
1,15.2,KM Jadhav,R Vinay Kumar,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,15.3,DPMD Jayawardene,R Vinay Kumar,NA,KM Jadhav,2,0,2,0,NA,NA,NA
1,15.4,DPMD Jayawardene,R Vinay Kumar,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,15.5,KM Jadhav,R Vinay Kumar,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,15.6,DPMD Jayawardene,R Vinay Kumar,NA,KM Jadhav,2,0,2,0,NA,NA,NA
1,16.1,KM Jadhav,RP Singh,NA,DPMD Jayawardene,2,0,2,0,NA,NA,NA
1,16.2,KM Jadhav,RP Singh,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,16.3,DPMD Jayawardene,RP Singh,NA,KM Jadhav,4,0,4,0,NA,NA,NA
1,16.4,DPMD Jayawardene,RP Singh,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,16.5,KM Jadhav,RP Singh,NA,DPMD Jayawardene,2,0,2,0,NA,NA,NA
1,16.6,KM Jadhav,RP Singh,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,17.1,KM Jadhav,R Vinay Kumar,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,17.2,DPMD Jayawardene,R Vinay Kumar,NA,KM Jadhav,0,0,0,0,NA,NA,NA
1,17.3,DPMD Jayawardene,R Vinay Kumar,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,17.4,KM Jadhav,R Vinay Kumar,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,17.5,KM Jadhav,R Vinay Kumar,NA,DPMD Jayawardene,4,0,4,0,NA,NA,NA
1,17.6,KM Jadhav,R Vinay Kumar,NA,DPMD Jayawardene,0,0,0,1,R Vinay Kumar,run out,DPMD Jayawardene
1,18.1,IK Pathan,R Rampaul,NA,KM Jadhav,4,0,4,0,NA,NA,NA
1,18.2,IK Pathan,R Rampaul,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,18.3,KM Jadhav,R Rampaul,NA,IK Pathan,1,0,1,0,NA,NA,NA
1,18.4,IK Pathan,R Rampaul,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,18.5,KM Jadhav,R Rampaul,NA,IK Pathan,6,0,6,0,NA,NA,NA
1,18.6,KM Jadhav,R Rampaul,NA,IK Pathan,2,0,2,0,NA,NA,NA
1,19.1,IK Pathan,RP Singh,NA,KM Jadhav,2,0,2,0,NA,NA,NA
1,19.2,IK Pathan,RP Singh,NA,KM Jadhav,4,0,4,0,NA,NA,NA
1,19.3,IK Pathan,RP Singh,NA,KM Jadhav,0,0,0,0,NA,NA,NA
1,19.4,IK Pathan,RP Singh,NA,KM Jadhav,6,0,6,0,NA,NA,NA
1,19.5,IK Pathan,RP Singh,NA,KM Jadhav,1,0,1,0,NA,NA,NA
1,19.6,KM Jadhav,RP Singh,NA,IK Pathan,2,0,2,0,NA,NA,NA
2,0.1,CH Gayle,A Nehra,NA,KL Rahul,1,0,1,0,NA,NA,NA
2,0.2,KL Rahul,A Nehra,NA,CH Gayle,0,0,0,0,NA,NA,NA
2,0.3,KL Rahul,A Nehra,NA,CH Gayle,0,0,0,0,NA,NA,NA
2,0.4,KL Rahul,A Nehra,NA,CH Gayle,0,0,0,0,NA,NA,NA
2,0.5,KL Rahul,A Nehra,NA,CH Gayle,0,0,0,0,NA,NA,NA
2,0.6,KL Rahul,A Nehra,NA,CH Gayle,1,0,1,0,NA,NA,NA
2,1.1,KL Rahul,M Morkel,NA,CH Gayle,1,0,1,0,NA,NA,NA
2,1.2,CH Gayle,M Morkel,NA,KL Rahul,0,0,0,0,NA,NA,NA
2,1.3,CH Gayle,M Morkel,NA,KL Rahul,0,0,0,0,NA,NA,NA
2,1.4,CH Gayle,M Morkel,NA,KL Rahul,0,0,0,0,NA,NA,NA
2,1.5,CH Gayle,M Morkel,NA,KL Rahul,0,0,0,0,NA,NA,NA
2,1.6,CH Gayle,M Morkel,1wides,KL Rahul,0,1,1,0,NA,NA,NA
2,1.7,CH Gayle,M Morkel,NA,KL Rahul,6,0,6,0,NA,NA,NA
