innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,CH Gayle,P Kumar,NA,V Kohli,0,0,0,0,NA,NA,NA
1,0.2,CH Gayle,P Kumar,NA,V Kohli,0,0,0,0,NA,NA,NA
1,0.3,CH Gayle,P Kumar,NA,V Kohli,0,0,0,0,NA,NA,NA
1,0.4,CH Gayle,P Kumar,NA,V Kohli,0,0,0,0,NA,NA,NA
1,0.5,CH Gayle,P Kumar,1legbyes,V Kohli,0,1,1,0,NA,NA,NA
1,0.6,V Kohli,P Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,1.1,CH Gayle,DS Kulkarni,NA,V Kohli,0,0,0,0,NA,NA,NA
1,1.2,CH Gayle,DS Kulkarni,NA,V Kohli,1,0,1,0,NA,NA,NA
1,1.3,V Kohli,DS Kulkarni,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,1.4,V Kohli,DS Kulkarni,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,1.5,V Kohli,DS Kulkarni,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,1.6,CH Gayle,DS Kulkarni,NA,V Kohli,0,0,0,0,NA,NA,NA
1,2.1,V Kohli,P Kumar,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,2.2,V Kohli,P Kumar,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,2.3,CH Gayle,P Kumar,NA,V Kohli,0,0,0,0,NA,NA,NA
1,2.4,CH Gayle,P Kumar,NA,V Kohli,1,0,1,0,NA,NA,NA
1,2.5,V Kohli,P Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,2.6,V Kohli,P Kumar,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,3.1,V Kohli,DS Kulkarni,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,3.2,V Kohli,DS Kulkarni,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,3.3,CH Gayle,DS Kulkarni,NA,V Kohli,4,0,4,0,NA,NA,NA
1,3.4,CH Gayle,DS Kulkarni,NA,V Kohli,0,0,0,0,NA,NA,NA
1,3.5,CH Gayle,DS Kulkarni,NA,V Kohli,0,0,0,1,NA,bowled,CH Gayle
1,3.6,AB de Villiers,DS Kulkarni,NA,V Kohli,0,0,0,0,NA,NA,NA
1,4.1,V Kohli,S Kaushik,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,4.2,V Kohli,S Kaushik,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,4.3,V Kohli,S Kaushik,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,4.4,V Kohli,S Kaushik,NA,AB de Villiers,4,0,4,0,NA,NA,NA
1,4.5,V Kohli,S Kaushik,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,4.6,AB de Villiers,S Kaushik,1wides,V Kohli,0,1,1,0,NA,NA,NA
1,4.7,AB de Villiers,S Kaushik,NA,V Kohli,6,0,6,0,NA,NA,NA
1,5.1,V Kohli,PV Tambe,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,5.2,V Kohli,PV Tambe,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,5.3,AB de Villiers,PV Tambe,NA,V Kohli,0,0,0,0,NA,NA,NA
1,5.4,AB de Villiers,PV Tambe,NA,V Kohli,4,0,4,0,NA,NA,NA
1,5.5,AB de Villiers,PV Tambe,NA,V Kohli,6,0,6,0,NA,NA,NA
1,5.6,AB de Villiers,PV Tambe,NA,V Kohli,0,0,0,0,NA,NA,NA
1,6.1,V Kohli,S Kaushik,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,6.2,AB de Villiers,S Kaushik,NA,V Kohli,4,0,4,0,NA,NA,NA
1,6.3,AB de Villiers,S Kaushik,NA,V Kohli,1,0,1,0,NA,NA,NA
1,6.4,V Kohli,S Kaushik,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,6.5,V Kohli,S Kaushik,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,6.6,AB de Villiers,S Kaushik,NA,V Kohli,1,0,1,0,NA,NA,NA
1,7.1,AB de Villiers,DJ Bravo,NA,V Kohli,0,0,0,0,NA,NA,NA
1,7.2,AB de Villiers,DJ Bravo,NA,V Kohli,2,0,2,0,NA,NA,NA
1,7.3,AB de Villiers,DJ Bravo,NA,V Kohli,4,0,4,0,NA,NA,NA
1,7.4,AB de Villiers,DJ Bravo,NA,V Kohli,1,0,1,0,NA,NA,NA
1,7.5,V Kohli,DJ Bravo,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,7.6,AB de Villiers,DJ Bravo,NA,V Kohli,1,0,1,0,NA,NA,NA
1,8.1,AB de Villiers,RA Jadeja,NA,V Kohli,0,0,0,0,NA,NA,NA
1,8.2,AB de Villiers,RA Jadeja,NA,V Kohli,0,0,0,0,NA,NA,NA
1,8.3,AB de Villiers,RA Jadeja,NA,V Kohli,1,0,1,0,NA,NA,NA
1,8.4,V Kohli,RA Jadeja,NA,AB de Villiers,2,0,2,0,NA,NA,NA
1,8.5,V Kohli,RA Jadeja,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,8.6,AB de Villiers,RA Jadeja,NA,V Kohli,0,0,0,0,NA,NA,NA
1,9.1,V Kohli,DR Smith,NA,AB de Villiers,2,0,2,0,NA,NA,NA
1,9.2,V Kohli,DR Smith,NA,AB de Villiers,4,0,4,0,NA,NA,NA
1,9.3,V Kohli,DR Smith,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,9.4,AB de Villiers,DR Smith,NA,V Kohli,1,0,1,0,NA,NA,NA
1,9.5,V Kohli,DR Smith,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,9.6,AB de Villiers,DR Smith,NA,V Kohli,4,0,4,0,NA,NA,NA
1,10.1,V Kohli,RA Jadeja,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,10.2,AB de Villiers,RA Jadeja,NA,V Kohli,1,0,1,0,NA,NA,NA
1,10.3,V Kohli,RA Jadeja,NA,AB de Villiers,0,0,0,0,NA,NA,NA
1,10.4,V Kohli,RA Jadeja,NA,AB de Villiers,2,0,2,0,NA,NA,NA
1,10.5,V Kohli,RA Jadeja,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,10.6,AB de Villiers,RA Jadeja,NA,V Kohli,0,0,0,0,NA,NA,NA
1,11.1,V Kohli,DS Kulkarni,NA,AB de Villiers,6,0,6,0,NA,NA,NA
1,11.2,V Kohli,DS Kulkarni,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,11.3,AB de Villiers,DS Kulkarni,NA,V Kohli,6,0,6,0,NA,NA,NA
1,11.4,AB de Villiers,DS Kulkarni,NA,V Kohli,4,0,4,0,NA,NA,NA
1,11.5,AB de Villiers,DS Kulkarni,NA,V Kohli,4,0,4,0,NA,NA,NA
1,11.6,AB de Villiers,DS Kulkarni,NA,V Kohli,1,0,1,0,NA,NA,NA
1,12.1,AB de Villiers,RA Jadeja,NA,V Kohli,1,0,1,0,NA,NA,NA
1,12.2,V Kohli,RA Jadeja,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,12.3,AB de Villiers,RA Jadeja,NA,V Kohli,0,0,0,0,NA,NA,NA
1,12.4,AB de Villiers,RA Jadeja,NA,V Kohli,4,0,4,0,NA,NA,NA
1,12.5,AB de Villiers,RA Jadeja,NA,V Kohli,6,0,6,0,NA,NA,NA
1,12.6,AB de Villiers,RA Jadeja,NA,V Kohli,0,0,0,0,NA,NA,NA
1,13.1,V Kohli,DJ Bravo,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,13.2,AB de Villiers,DJ Bravo,NA,V Kohli,1,0,1,0,NA,NA,NA
1,13.3,V Kohli,DJ Bravo,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,13.4,AB de Villiers,DJ Bravo,NA,V Kohli,1,0,1,0,NA,NA,NA
1,13.5,V Kohli,DJ Bravo,NA,AB de Villiers,2,0,2,0,NA,NA,NA
1,13.6,V Kohli,DJ Bravo,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,14.1,V Kohli,PV Tambe,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,14.2,AB de Villiers,PV Tambe,NA,V Kohli,1,0,1,0,NA,NA,NA
1,14.3,V Kohli,PV Tambe,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,14.4,AB de Villiers,PV Tambe,NA,V Kohli,6,0,6,0,NA,NA,NA
1,14.5,AB de Villiers,PV Tambe,NA,V Kohli,4,0,4,0,NA,NA,NA
1,14.6,AB de Villiers,PV Tambe,NA,V Kohli,1,0,1,0,NA,NA,NA
1,15.1,AB de Villiers,P Kumar,NA,V Kohli,0,0,0,0,NA,NA,NA
1,15.2,AB de Villiers,P Kumar,NA,V Kohli,6,0,6,0,NA,NA,NA
1,15.3,AB de Villiers,P Kumar,NA,V Kohli,6,0,6,0,NA,NA,NA
1,15.4,AB de Villiers,P Kumar,NA,V Kohli,4,0,4,0,NA,NA,NA
1,15.5,AB de Villiers,P Kumar,NA,V Kohli,6,0,6,0,NA,NA,NA
1,15.6,AB de Villiers,P Kumar,NA,V Kohli,1,0,1,0,NA,NA,NA
1,16.1,AB de Villiers,RA Jadeja,NA,V Kohli,0,0,0,0,NA,NA,NA
1,16.2,AB de Villiers,RA Jadeja,NA,V Kohli,0,0,0,0,NA,NA,NA
1,16.3,AB de Villiers,RA Jadeja,1byes,V Kohli,0,1,1,0,NA,NA,NA
1,16.4,V Kohli,RA Jadeja,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,16.5,AB de Villiers,RA Jadeja,NA,V Kohli,6,0,6,0,NA,NA,NA
1,16.6,AB de Villiers,RA Jadeja,NA,V Kohli,6,0,6,0,NA,NA,NA
1,17.1,V Kohli,DJ Bravo,NA,AB de Villiers,4,0,4,0,NA,NA,NA
1,17.2,V Kohli,DJ Bravo,NA,AB de Villiers,6,0,6,0,NA,NA,NA
1,17.3,V Kohli,DJ Bravo,NA,AB de Villiers,2,0,2,0,NA,NA,NA
1,17.4,V Kohli,DJ Bravo,NA,AB de Villiers,1,0,1,0,NA,NA,NA
1,17.5,AB de Villiers,DJ Bravo,1noballs,V Kohli,4,1,5,0,NA,NA,NA
1,17.6,AB de Villiers,DJ Bravo,NA,V Kohli,6,0,6,0,NA,NA,NA
1,17.7,AB de Villiers,DJ Bravo,NA,V Kohli,6,0,6,0,NA,NA,NA
1,18.1,V Kohli,S Kaushik,NA,AB de Villiers,6,0,6,0,NA,NA,NA
1,18.2,V Kohli,S Kaushik,NA,AB de Villiers,4,0,4,0,NA,NA,NA
1,18.3,V Kohli,S Kaushik,NA,AB de Villiers,6,0,6,0,NA,NA,NA
1,18.4,V Kohli,S Kaushik,NA,AB de Villiers,6,0,6,0,NA,NA,NA
1,18.5,V Kohli,S Kaushik,NA,AB de Villiers,6,0,6,0,NA,NA,NA
1,18.6,V Kohli,S Kaushik,NA,AB de Villiers,2,0,2,0,NA,NA,NA
1,19.1,AB de Villiers,P Kumar,NA,V Kohli,1,0,1,0,NA,NA,NA
1,19.2,V Kohli,P Kumar,NA,AB de Villiers,2,0,2,0,NA,NA,NA
1,19.3,V Kohli,P Kumar,NA,AB de Villiers,6,0,6,0,NA,NA,NA
1,19.4,V Kohli,P Kumar,NA,AB de Villiers,6,0,6,0,NA,NA,NA
1,19.5,V Kohli,P Kumar,NA,AB de Villiers,0,0,0,1,DJ Bravo,caught,V Kohli
1,19.6,SR Watson,P Kumar,NA,AB de Villiers,0,0,0,1,KD Karthik,caught,SR Watson
2,0.1,DR Smith,STR Binny,NA,BB McCullum,0,0,0,0,NA,NA,NA
2,0.2,DR Smith,STR Binny,NA,BB McCullum,1,0,1,0,NA,NA,NA
2,0.3,BB McCullum,STR Binny,NA,DR Smith,1,0,1,0,NA,NA,NA
2,0.4,DR Smith,STR Binny,NA,BB McCullum,4,0,4,0,NA,NA,NA
2,0.5,DR Smith,STR Binny,NA,BB McCullum,1,0,1,0,NA,NA,NA
2,0.6,BB McCullum,STR Binny,NA,DR Smith,0,0,0,0,NA,NA,NA
2,1.1,DR Smith,S Aravind,NA,BB McCullum,1,0,1,0,NA,NA,NA
2,1.2,BB McCullum,S Aravind,NA,DR Smith,0,0,0,0,NA,NA,NA
2,1.3,BB McCullum,S Aravind,NA,DR Smith,0,0,0,0,NA,NA,NA
2,1.4,BB McCullum,S Aravind,NA,DR Smith,1,0,1,0,NA,NA,NA
