innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,MA Agarwal,P Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,0.2,MA Agarwal,P Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,0.3,MA Agarwal,P Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,0.4,MA Agarwal,P Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,0.5,MA Agarwal,P Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,0.6,MA Agarwal,P Kumar,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,1.1,MA Agarwal,RJ Harris,NA,CH Gayle,6,0,6,0,NA,NA,NA
1,1.2,MA Agarwal,RJ Harris,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,1.3,MA Agarwal,RJ Harris,NA,CH Gayle,0,0,0,1,NA,bowled,MA Agarwal
1,1.4,V Kohli,RJ Harris,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,1.5,V Kohli,RJ Harris,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,1.6,CH Gayle,RJ Harris,NA,V Kohli,0,0,0,0,NA,NA,NA
1,2.1,V Kohli,P Kumar,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,2.2,CH Gayle,P Kumar,NA,V Kohli,0,0,0,0,NA,NA,NA
1,2.3,CH Gayle,P Kumar,NA,V Kohli,0,0,0,0,NA,NA,NA
1,2.4,CH Gayle,P Kumar,NA,V Kohli,1,0,1,0,NA,NA,NA
1,2.5,V Kohli,P Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,2.6,V Kohli,P Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,3.1,CH Gayle,RJ Harris,NA,V Kohli,0,0,0,0,NA,NA,NA
1,3.2,CH Gayle,RJ Harris,NA,V Kohli,1,0,1,0,NA,NA,NA
1,3.3,V Kohli,RJ Harris,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,3.4,CH Gayle,RJ Harris,NA,V Kohli,4,0,4,0,NA,NA,NA
