innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,M Klinger,Z Khan,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,0.2,BB McCullum,Z Khan,NA,M Klinger,1,0,1,0,NA,NA,NA
1,0.3,M Klinger,Z Khan,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,0.4,M Klinger,Z Khan,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,0.5,M Klinger,Z Khan,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,0.6,M Klinger,Z Khan,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,1.1,M Klinger,S Aravind,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.2,M Klinger,S Aravind,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.3,M Klinger,S Aravind,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,1.4,BB McCullum,S Aravind,NA,M Klinger,0,0,0,0,NA,NA,NA
1,1.5,BB McCullum,S Aravind,NA,M Klinger,4,0,4,0,NA,NA,NA
1,1.6,BB McCullum,S Aravind,NA,M Klinger,0,0,0,0,NA,NA,NA
1,2.1,M Klinger,Z Khan,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,2.2,BB McCullum,Z Khan,NA,M Klinger,2,0,2,0,NA,NA,NA
1,2.3,BB McCullum,Z Khan,NA,M Klinger,1,0,1,0,NA,NA,NA
1,2.4,M Klinger,Z Khan,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,2.5,M Klinger,Z Khan,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,2.6,M Klinger,Z Khan,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,3.1,M Klinger,S Aravind,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,3.2,M Klinger,S Aravind,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,3.3,BB McCullum,S Aravind,NA,M Klinger,0,0,0,0,NA,NA,NA
1,3.4,BB McCullum,S Aravind,NA,M Klinger,1,0,1,0,NA,NA,NA
1,3.5,M Klinger,S Aravind,NA,BB McCullum,2,0,2,0,NA,NA,NA
1,3.6,M Klinger,S Aravind,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,4.1,BB McCullum,CH Gayle,NA,M Klinger,0,0,0,0,NA,NA,NA
1,4.2,BB McCullum,CH Gayle,NA,M Klinger,4,0,4,0,NA,NA,NA
1,4.3,BB McCullum,CH Gayle,NA,M Klinger,0,0,0,0,NA,NA,NA
1,4.4,BB McCullum,CH Gayle,NA,M Klinger,4,0,4,0,NA,NA,NA
1,4.5,BB McCullum,CH Gayle,1wides,M Klinger,0,1,1,0,NA,NA,NA
1,4.6,BB McCullum,CH Gayle,NA,M Klinger,3,0,3,0,NA,NA,NA
1,4.7,M Klinger,CH Gayle,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,5.1,BB McCullum,DL Vettori,NA,M Klinger,0,0,0,0,NA,NA,NA
1,5.2,BB McCullum,DL Vettori,NA,M Klinger,2,0,2,0,NA,NA,NA
1,5.3,BB McCullum,DL Vettori,NA,M Klinger,0,0,0,1,KB Arun Karthik (sub),caught,BB McCullum
