innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,SC Ganguly,P Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,0.2,SC Ganguly,P Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,0.3,SC Ganguly,P Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,0.4,SC Ganguly,P Kumar,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,0.5,CH Gayle,P Kumar,1wides,SC Ganguly,0,1,1,0,NA,NA,NA
1,0.6,CH Gayle,P Kumar,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,0.7,SC Ganguly,P Kumar,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,1.1,CH Gayle,DW Steyn,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,1.2,CH Gayle,DW Steyn,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,1.3,CH Gayle,DW Steyn,NA,SC Ganguly,4,0,4,0,NA,NA,NA
1,1.4,CH Gayle,DW Steyn,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,1.5,SC Ganguly,DW Steyn,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,1.6,SC Ganguly,DW Steyn,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,2.1,CH Gayle,P Kumar,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,2.2,CH Gayle,P Kumar,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,2.3,SC Ganguly,P Kumar,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,2.4,CH Gayle,P Kumar,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,2.5,SC Ganguly,P Kumar,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,2.6,CH Gayle,P Kumar,1wides,SC Ganguly,0,1,1,0,NA,NA,NA
1,2.7,CH Gayle,P Kumar,NA,SC Ganguly,4,0,4,0,NA,NA,NA
1,3.1,SC Ganguly,DW Steyn,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,3.2,SC Ganguly,DW Steyn,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,3.3,SC Ganguly,DW Steyn,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,3.4,SC Ganguly,DW Steyn,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,3.5,CH Gayle,DW Steyn,NA,SC Ganguly,4,0,4,0,NA,NA,NA
1,3.6,CH Gayle,DW Steyn,NA,SC Ganguly,4,0,4,0,NA,NA,NA
1,4.1,SC Ganguly,P Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,4.2,SC Ganguly,P Kumar,NA,CH Gayle,6,0,6,0,NA,NA,NA
1,4.3,SC Ganguly,P Kumar,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,4.4,CH Gayle,P Kumar,NA,SC Ganguly,4,0,4,0,NA,NA,NA
1,4.5,CH Gayle,P Kumar,NA,SC Ganguly,6,0,6,0,NA,NA,NA
1,4.6,CH Gayle,P Kumar,NA,SC Ganguly,4,0,4,0,NA,NA,NA
1,5.1,SC Ganguly,JH Kallis,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,5.2,CH Gayle,JH Kallis,NA,SC Ganguly,0,0,0,1,R Dravid,caught,CH Gayle
1,5.3,BB McCullum,JH Kallis,1wides,SC Ganguly,0,1,1,0,NA,NA,NA
1,5.4,BB McCullum,JH Kallis,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,5.5,BB McCullum,JH Kallis,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,5.6,SC Ganguly,JH Kallis,NA,BB McCullum,6,0,6,0,NA,NA,NA
1,5.7,SC Ganguly,JH Kallis,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,6.1,SC Ganguly,A Kumble,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,6.2,SC Ganguly,A Kumble,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,6.3,SC Ganguly,A Kumble,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,6.4,SC Ganguly,A Kumble,1legbyes,BB McCullum,0,1,1,0,NA,NA,NA
1,6.5,BB McCullum,A Kumble,5wides,SC Ganguly,0,5,5,0,NA,NA,NA
1,6.6,BB McCullum,A Kumble,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,6.7,BB McCullum,A Kumble,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,7.1,BB McCullum,JH Kallis,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,7.2,BB McCullum,JH Kallis,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,7.3,SC Ganguly,JH Kallis,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,7.4,BB McCullum,JH Kallis,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,7.5,SC Ganguly,JH Kallis,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,7.6,BB McCullum,JH Kallis,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,8.1,SC Ganguly,S Sriram,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,8.2,BB McCullum,S Sriram,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,8.3,SC Ganguly,S Sriram,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,8.4,BB McCullum,S Sriram,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,8.5,SC Ganguly,S Sriram,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,8.6,BB McCullum,S Sriram,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,9.1,BB McCullum,A Kumble,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,9.2,BB McCullum,A Kumble,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,9.3,BB McCullum,A Kumble,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,9.4,BB McCullum,A Kumble,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,9.5,BB McCullum,A Kumble,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,9.6,SC Ganguly,A Kumble,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,10.1,BB McCullum,S Sriram,NA,SC Ganguly,4,0,4,0,NA,NA,NA
1,10.2,BB McCullum,S Sriram,NA,SC Ganguly,6,0,6,0,NA,NA,NA
1,10.3,BB McCullum,S Sriram,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,10.4,BB McCullum,S Sriram,NA,SC Ganguly,4,0,4,0,NA,NA,NA
1,10.5,BB McCullum,S Sriram,NA,SC Ganguly,4,0,4,0,NA,NA,NA
1,10.6,BB McCullum,S Sriram,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,11.1,SC Ganguly,R Vinay Kumar,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,11.2,BB McCullum,R Vinay Kumar,NA,SC Ganguly,0,0,0,0,NA,NA,NA
1,11.3,BB McCullum,R Vinay Kumar,NA,SC Ganguly,1,0,1,0,NA,NA,NA
1,11.4,SC Ganguly,R Vinay Kumar,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,11.5,SC Ganguly,R Vinay Kumar,NA,BB McCullum,0,0,0,1,A Kumble,caught,SC Ganguly
1,11.6,BB McCullum,R Vinay Kumar,NA,MK Tiwary,0,0,0,0,NA,NA,NA
1,12.1,MK Tiwary,JH Kallis,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,12.2,MK Tiwary,JH Kallis,NA,BB McCullum,0,0,0,1,CL White,caught,MK Tiwary
1,12.3,BB McCullum,JH Kallis,NA,AD Mathews,1,0,1,0,NA,NA,NA
1,12.4,AD Mathews,JH Kallis,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,12.5,BB McCullum,JH Kallis,NA,AD Mathews,0,0,0,0,NA,NA,NA
1,12.6,BB McCullum,JH Kallis,NA,AD Mathews,0,0,0,0,NA,NA,NA
1,13.1,AD Mathews,R Vinay Kumar,NA,BB McCullum,0,0,0,1,LRPL Taylor,caught,AD Mathews
1,13.2,BB McCullum,R Vinay Kumar,NA,WP Saha,0,0,0,0,NA,NA,NA
1,13.3,BB McCullum,R Vinay Kumar,NA,WP Saha,4,0,4,0,NA,NA,NA
1,13.4,BB McCullum,R Vinay Kumar,NA,WP Saha,6,0,6,0,NA,NA,NA
1,13.5,BB McCullum,R Vinay Kumar,NA,WP Saha,4,0,4,0,NA,NA,NA
1,13.6,BB McCullum,R Vinay Kumar,NA,WP Saha,2,0,2,0,NA,NA,NA
1,14.1,WP Saha,A Kumble,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,14.2,BB McCullum,A Kumble,NA,WP Saha,1,0,1,0,NA,NA,NA
1,14.3,WP Saha,A Kumble,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,14.4,WP Saha,A Kumble,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,14.5,WP Saha,A Kumble,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,14.6,BB McCullum,A Kumble,NA,WP Saha,0,0,0,0,NA,NA,NA
1,15.1,WP Saha,DW Steyn,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,15.2,WP Saha,DW Steyn,NA,BB McCullum,2,0,2,0,NA,NA,NA
1,15.3,WP Saha,DW Steyn,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,15.4,WP Saha,DW Steyn,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,15.5,WP Saha,DW Steyn,NA,BB McCullum,6,0,6,0,NA,NA,NA
1,15.6,WP Saha,DW Steyn,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,16.1,WP Saha,A Kumble,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,16.2,WP Saha,A Kumble,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,16.3,BB McCullum,A Kumble,NA,WP Saha,0,0,0,1,R Vinay Kumar,caught,BB McCullum
1,16.4,WP Saha,A Kumble,NA,CA Pujara,1,0,1,0,NA,NA,NA
1,16.5,CA Pujara,A Kumble,NA,WP Saha,1,0,1,0,NA,NA,NA
1,16.6,WP Saha,A Kumble,NA,CA Pujara,0,0,0,0,NA,NA,NA
1,17.1,CA Pujara,DW Steyn,NA,WP Saha,0,0,0,0,NA,NA,NA
1,17.2,CA Pujara,DW Steyn,NA,WP Saha,1,0,1,0,NA,NA,NA
1,17.3,WP Saha,DW Steyn,NA,CA Pujara,0,0,0,1,R Vinay Kumar,caught,WP Saha
1,17.4,CA Pujara,DW Steyn,1wides,AB Agarkar,0,1,1,0,NA,NA,NA
1,17.5,CA Pujara,DW Steyn,NA,AB Agarkar,1,0,1,0,NA,NA,NA
1,17.6,AB Agarkar,DW Steyn,NA,CA Pujara,0,0,0,0,NA,NA,NA
1,17.7,AB Agarkar,DW Steyn,NA,CA Pujara,1,0,1,0,NA,NA,NA
1,18.1,AB Agarkar,JH Kallis,NA,CA Pujara,1,0,1,0,NA,NA,NA
