innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,MA Agarwal,AN Ahmed,2wides,CH Gayle,0,2,2,0,NA,NA,NA
1,0.2,CH Gayle,AN Ahmed,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,0.3,CH Gayle,AN Ahmed,NA,MA Agarwal,4,0,4,0,NA,NA,NA
1,0.4,CH Gayle,AN Ahmed,NA,MA Agarwal,4,0,4,0,NA,NA,NA
1,0.5,CH Gayle,AN Ahmed,5wides,MA Agarwal,0,5,5,0,NA,NA,NA
1,0.6,CH Gayle,AN Ahmed,NA,MA Agarwal,6,0,6,0,NA,NA,NA
1,0.7,CH Gayle,AN Ahmed,NA,MA Agarwal,2,0,2,0,NA,NA,NA
1,0.8,CH Gayle,AN Ahmed,NA,MA Agarwal,4,0,4,0,NA,NA,NA
1,1.1,MA Agarwal,Harbhajan Singh,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,1.2,MA Agarwal,Harbhajan Singh,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,1.3,MA Agarwal,Harbhajan Singh,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,1.4,MA Agarwal,Harbhajan Singh,1wides,CH Gayle,0,1,1,0,NA,NA,NA
1,1.5,MA Agarwal,Harbhajan Singh,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,1.6,MA Agarwal,Harbhajan Singh,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,1.7,MA Agarwal,Harbhajan Singh,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,2.1,CH Gayle,SL Malinga,NA,MA Agarwal,4,0,4,0,NA,NA,NA
1,2.2,CH Gayle,SL Malinga,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,2.3,CH Gayle,SL Malinga,NA,MA Agarwal,4,0,4,0,NA,NA,NA
1,2.4,CH Gayle,SL Malinga,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,2.5,CH Gayle,SL Malinga,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,2.6,MA Agarwal,SL Malinga,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,3.1,MA Agarwal,Harbhajan Singh,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,3.2,MA Agarwal,Harbhajan Singh,NA,CH Gayle,6,0,6,0,NA,NA,NA
1,3.3,MA Agarwal,Harbhajan Singh,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,3.4,MA Agarwal,Harbhajan Singh,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,3.5,MA Agarwal,Harbhajan Singh,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,3.6,CH Gayle,Harbhajan Singh,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,4.1,MA Agarwal,MM Patel,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,4.2,MA Agarwal,MM Patel,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,4.3,CH Gayle,MM Patel,NA,MA Agarwal,4,0,4,0,NA,NA,NA
1,4.4,CH Gayle,MM Patel,NA,MA Agarwal,4,0,4,0,NA,NA,NA
1,4.5,CH Gayle,MM Patel,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,4.6,MA Agarwal,MM Patel,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,5.1,CH Gayle,SL Malinga,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,5.2,CH Gayle,SL Malinga,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,5.3,CH Gayle,SL Malinga,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,5.4,CH Gayle,SL Malinga,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,5.5,MA Agarwal,SL Malinga,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,5.6,MA Agarwal,SL Malinga,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,6.1,CH Gayle,MM Patel,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,6.2,MA Agarwal,MM Patel,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,6.3,CH Gayle,MM Patel,NA,MA Agarwal,4,0,4,0,NA,NA,NA
1,6.4,CH Gayle,MM Patel,NA,MA Agarwal,0,0,0,0,NA,NA,NA
1,6.5,CH Gayle,MM Patel,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,6.6,MA Agarwal,MM Patel,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,7.1,MA Agarwal,RG Sharma,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,7.2,MA Agarwal,RG Sharma,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,7.3,MA Agarwal,RG Sharma,NA,CH Gayle,6,0,6,0,NA,NA,NA
1,7.4,MA Agarwal,RG Sharma,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,7.5,CH Gayle,RG Sharma,NA,MA Agarwal,1,0,1,0,NA,NA,NA
1,7.6,MA Agarwal,RG Sharma,NA,CH Gayle,2,0,2,0,NA,NA,NA
1,8.1,CH Gayle,KA Pollard,NA,MA Agarwal,1,0,1,0,NA,NA,NA
