innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,CH Gayle,B Kumar,NA,TM Dilshan,0,0,0,0,NA,NA,NA
1,0.2,CH Gayle,B Kumar,NA,TM Dilshan,0,0,0,0,NA,NA,NA
1,0.3,CH Gayle,B Kumar,NA,TM Dilshan,1,0,1,0,NA,NA,NA
1,0.4,TM Dilshan,B Kumar,NA,CH Gayle,2,0,2,0,NA,NA,NA
1,0.5,TM Dilshan,B Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,0.6,TM Dilshan,B Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,1.1,CH Gayle,IC Pandey,NA,TM Dilshan,4,0,4,0,NA,NA,NA
1,1.2,CH Gayle,IC Pandey,NA,TM Dilshan,4,0,4,0,NA,NA,NA
1,1.3,CH Gayle,IC Pandey,NA,TM Dilshan,0,0,0,0,NA,NA,NA
1,1.4,CH Gayle,IC Pandey,1noballs,TM Dilshan,4,1,5,0,NA,NA,NA
1,1.5,CH Gayle,IC Pandey,NA,TM Dilshan,4,0,4,0,NA,NA,NA
1,1.6,CH Gayle,IC Pandey,NA,TM Dilshan,0,0,0,0,NA,NA,NA
1,1.7,CH Gayle,IC Pandey,NA,TM Dilshan,4,0,4,0,NA,NA,NA
1,2.1,TM Dilshan,B Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,2.2,TM Dilshan,B Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,2.3,TM Dilshan,B Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,2.4,TM Dilshan,B Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,2.5,TM Dilshan,B Kumar,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,2.6,TM Dilshan,B Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,3.1,CH Gayle,AB Dinda,NA,TM Dilshan,1,0,1,0,NA,NA,NA
1,3.2,TM Dilshan,AB Dinda,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,3.3,TM Dilshan,AB Dinda,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,3.4,TM Dilshan,AB Dinda,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,3.5,TM Dilshan,AB Dinda,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,3.6,TM Dilshan,AB Dinda,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,4.1,CH Gayle,MR Marsh,NA,TM Dilshan,6,0,6,0,NA,NA,NA
1,4.2,CH Gayle,MR Marsh,NA,TM Dilshan,6,0,6,0,NA,NA,NA
1,4.3,CH Gayle,MR Marsh,NA,TM Dilshan,4,0,4,0,NA,NA,NA
1,4.4,CH Gayle,MR Marsh,NA,TM Dilshan,0,0,0,0,NA,NA,NA
1,4.5,CH Gayle,MR Marsh,NA,TM Dilshan,6,0,6,0,NA,NA,NA
1,4.6,CH Gayle,MR Marsh,NA,TM Dilshan,6,0,6,0,NA,NA,NA
1,5.1,TM Dilshan,B Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,5.2,TM Dilshan,B Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,5.3,TM Dilshan,B Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,5.4,TM Dilshan,B Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,5.5,TM Dilshan,B Kumar,1wides,CH Gayle,0,1,1,0,NA,NA,NA
1,5.6,TM Dilshan,B Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,5.7,TM Dilshan,B Kumar,NA,CH Gayle,0,0,0,0,NA,NA,NA
1,6.1,CH Gayle,AG Murtaza,NA,TM Dilshan,4,0,4,0,NA,NA,NA
1,6.2,CH Gayle,AG Murtaza,NA,TM Dilshan,6,0,6,0,NA,NA,NA
1,6.3,CH Gayle,AG Murtaza,NA,TM Dilshan,1,0,1,0,NA,NA,NA
1,6.4,TM Dilshan,AG Murtaza,1legbyes,CH Gayle,0,1,1,0,NA,NA,NA
1,6.5,CH Gayle,AG Murtaza,NA,TM Dilshan,6,0,6,0,NA,NA,NA
1,6.6,CH Gayle,AG Murtaza,NA,TM Dilshan,0,0,0,0,NA,NA,NA
1,7.1,TM Dilshan,AJ Finch,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,7.2,CH Gayle,AJ Finch,NA,TM Dilshan,6,0,6,0,NA,NA,NA
1,7.3,CH Gayle,AJ Finch,NA,TM Dilshan,6,0,6,0,NA,NA,NA
1,7.4,CH Gayle,AJ Finch,NA,TM Dilshan,4,0,4,0,NA,NA,NA
1,7.5,CH Gayle,AJ Finch,NA,TM Dilshan,6,0,6,0,NA,NA,NA
1,7.6,CH Gayle,AJ Finch,NA,TM Dilshan,6,0,6,0,NA,NA,NA
1,8.1,TM Dilshan,AB Dinda,NA,CH Gayle,4,0,4,0,NA,NA,NA
1,8.2,TM Dilshan,AB Dinda,NA,CH Gayle,1,0,1,0,NA,NA,NA
1,8.3,CH Gayle,AB Dinda,NA,TM Dilshan,0,0,0,0,NA,NA,NA
