innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,SR Watson,R Rampaul,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,0.2,SR Watson,R Rampaul,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,0.3,SR Watson,R Rampaul,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,0.4,SR Watson,R Rampaul,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,0.5,AM Rahane,R Rampaul,NA,SR Watson,0,0,0,0,NA,NA,NA
1,0.6,AM Rahane,R Rampaul,NA,SR Watson,0,0,0,0,NA,NA,NA
1,1.1,SR Watson,RP Singh,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.2,SR Watson,RP Singh,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.3,SR Watson,RP Singh,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,1.4,AM Rahane,RP Singh,NA,SR Watson,4,0,4,0,NA,NA,NA
1,1.5,AM Rahane,RP Singh,NA,SR Watson,0,0,0,0,NA,NA,NA
1,1.6,AM Rahane,RP Singh,NA,SR Watson,0,0,0,0,NA,NA,NA
1,2.1,SR Watson,R Rampaul,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,2.2,SR Watson,R Rampaul,NA,AM Rahane,0,0,0,1,M Kartik,caught,SR Watson
1,2.3,R Dravid,R Rampaul,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,2.4,R Dravid,R Rampaul,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,2.5,R Dravid,R Rampaul,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,2.6,R Dravid,R Rampaul,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,3.1,AM Rahane,RP Singh,NA,R Dravid,0,0,0,0,NA,NA,NA
1,3.2,AM Rahane,RP Singh,NA,R Dravid,0,0,0,0,NA,NA,NA
1,3.3,AM Rahane,RP Singh,NA,R Dravid,4,0,4,0,NA,NA,NA
1,3.4,AM Rahane,RP Singh,NA,R Dravid,0,0,0,0,NA,NA,NA
1,3.5,AM Rahane,RP Singh,NA,R Dravid,0,0,0,0,NA,NA,NA
1,3.6,AM Rahane,RP Singh,NA,R Dravid,0,0,0,0,NA,NA,NA
1,4.1,R Dravid,R Rampaul,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,4.2,R Dravid,R Rampaul,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,4.3,R Dravid,R Rampaul,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,4.4,R Dravid,R Rampaul,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,4.5,R Dravid,R Rampaul,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,4.6,AM Rahane,R Rampaul,NA,R Dravid,6,0,6,0,NA,NA,NA
1,5.1,R Dravid,JD Unadkat,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,5.2,AM Rahane,JD Unadkat,NA,R Dravid,0,0,0,1,TM Dilshan,caught,AM Rahane
1,5.3,STR Binny,JD Unadkat,NA,R Dravid,0,0,0,0,NA,NA,NA
1,5.4,STR Binny,JD Unadkat,NA,R Dravid,0,0,0,0,NA,NA,NA
1,5.5,STR Binny,JD Unadkat,NA,R Dravid,4,0,4,0,NA,NA,NA
1,5.6,STR Binny,JD Unadkat,NA,R Dravid,1,0,1,0,NA,NA,NA
