innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AM Rahane,AF Milne,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,0.2,AM Rahane,AF Milne,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,0.3,AM Rahane,AF Milne,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,0.4,AM Rahane,AF Milne,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,0.5,RA Tripathi,AF Milne,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,0.6,AM Rahane,AF Milne,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,1.1,AM Rahane,S Badree,NA,RA Tripathi,4,0,4,0,NA,NA,NA
1,1.2,AM Rahane,S Badree,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,1.3,RA Tripathi,S Badree,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,1.4,AM Rahane,S Badree,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,1.5,RA Tripathi,S Badree,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,1.6,AM Rahane,S Badree,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,2.1,RA Tripathi,AF Milne,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,2.2,RA Tripathi,AF Milne,4legbyes,AM Rahane,0,4,4,0,NA,NA,NA
1,2.3,RA Tripathi,AF Milne,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,2.4,AM Rahane,AF Milne,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,2.5,AM Rahane,AF Milne,NA,RA Tripathi,4,0,4,0,NA,NA,NA
1,2.6,AM Rahane,AF Milne,NA,RA Tripathi,4,0,4,0,NA,NA,NA
1,3.1,RA Tripathi,S Aravind,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,3.2,RA Tripathi,S Aravind,NA,AM Rahane,6,0,6,0,NA,NA,NA
1,3.3,RA Tripathi,S Aravind,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,3.4,RA Tripathi,S Aravind,NA,AM Rahane,2,0,2,0,NA,NA,NA
1,3.5,RA Tripathi,S Aravind,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,3.6,RA Tripathi,S Aravind,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,4.1,RA Tripathi,SR Watson,NA,AM Rahane,0,0,0,0,NA,NA,NA
