innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AM Rahane,STR Binny,NA,UT Khawaja,0,0,0,0,NA,NA,NA
1,0.2,AM Rahane,STR Binny,NA,UT Khawaja,4,0,4,0,NA,NA,NA
1,0.3,AM Rahane,STR Binny,NA,UT Khawaja,0,0,0,0,NA,NA,NA
1,0.4,AM Rahane,STR Binny,NA,UT Khawaja,0,0,0,0,NA,NA,NA
1,0.5,AM Rahane,STR Binny,NA,UT Khawaja,1,0,1,0,NA,NA,NA
1,0.6,UT Khawaja,STR Binny,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,1.1,AM Rahane,Parvez Rasool,NA,UT Khawaja,1,0,1,0,NA,NA,NA
1,1.2,UT Khawaja,Parvez Rasool,NA,AM Rahane,2,0,2,0,NA,NA,NA
1,1.3,UT Khawaja,Parvez Rasool,NA,AM Rahane,6,0,6,0,NA,NA,NA
1,1.4,UT Khawaja,Parvez Rasool,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,1.5,UT Khawaja,Parvez Rasool,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.6,UT Khawaja,Parvez Rasool,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,2.1,AM Rahane,CJ Jordan,NA,UT Khawaja,4,0,4,0,NA,NA,NA
1,2.2,AM Rahane,CJ Jordan,NA,UT Khawaja,0,0,0,1,SR Watson,run out,UT Khawaja
1,2.3,AM Rahane,CJ Jordan,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,2.4,SS Tiwary,CJ Jordan,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,2.5,SS Tiwary,CJ Jordan,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,2.6,SS Tiwary,CJ Jordan,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,3.1,AM Rahane,SR Watson,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,3.2,AM Rahane,SR Watson,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,3.3,SS Tiwary,SR Watson,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,3.4,SS Tiwary,SR Watson,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,3.5,SS Tiwary,SR Watson,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,3.6,SS Tiwary,SR Watson,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,4.1,SS Tiwary,Parvez Rasool,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,4.2,SS Tiwary,Parvez Rasool,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,4.3,SS Tiwary,Parvez Rasool,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,4.4,AM Rahane,Parvez Rasool,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,4.5,SS Tiwary,Parvez Rasool,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,4.6,AM Rahane,Parvez Rasool,NA,SS Tiwary,4,0,4,0,NA,NA,NA
1,5.1,SS Tiwary,VR Aaron,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,5.2,SS Tiwary,VR Aaron,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,5.3,SS Tiwary,VR Aaron,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,5.4,SS Tiwary,VR Aaron,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,5.5,AM Rahane,VR Aaron,NA,SS Tiwary,6,0,6,0,NA,NA,NA
1,5.6,AM Rahane,VR Aaron,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,6.1,AM Rahane,YS Chahal,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,6.2,AM Rahane,YS Chahal,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,6.3,AM Rahane,YS Chahal,NA,SS Tiwary,3,0,3,0,NA,NA,NA
1,6.4,SS Tiwary,YS Chahal,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,6.5,SS Tiwary,YS Chahal,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,6.6,SS Tiwary,YS Chahal,NA,AM Rahane,4,0,4,0,NA,NA,NA
1,7.1,AM Rahane,VR Aaron,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,7.2,AM Rahane,VR Aaron,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,7.3,SS Tiwary,VR Aaron,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,7.4,AM Rahane,VR Aaron,NA,SS Tiwary,4,0,4,0,NA,NA,NA
1,7.5,AM Rahane,VR Aaron,NA,SS Tiwary,0,0,0,0,NA,NA,NA
1,7.6,AM Rahane,VR Aaron,NA,SS Tiwary,2,0,2,0,NA,NA,NA
1,8.1,SS Tiwary,YS Chahal,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,8.2,SS Tiwary,YS Chahal,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,8.3,AM Rahane,YS Chahal,NA,SS Tiwary,1,0,1,0,NA,NA,NA
1,8.4,SS Tiwary,YS Chahal,NA,AM Rahane,0,0,0,0,NA,NA,NA
